Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:14:59 2016 UTC-Fri Oct 21 01:14:59 2016 UTC (0.001 )  Time stamp start 1477012499562845520 end 1477012499561845345  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:00 2016 UTC-Fri Oct 21 01:15:00 2016 UTC (0.001 )  Time stamp start 1477012500013083325 end 1477012500012083325  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:00 2016 UTC-Fri Oct 21 01:15:00 2016 UTC (0.001 )  Time stamp start 1477012500703040275 end 1477012500702040275  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:01 2016 UTC-Fri Oct 21 01:15:01 2016 UTC (0.001 )  Time stamp start 1477012501682224985 end 1477012501681224985  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:02 2016 UTC-Fri Oct 21 01:15:02 2016 UTC (0.001 )  Time stamp start 1477012502398701285 end 1477012502397701285  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:03 2016 UTC-Fri Oct 21 01:15:03 2016 UTC (0.001 )  Time stamp start 1477012503245225105 end 1477012503244225105  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:03 2016 UTC-Fri Oct 21 01:15:03 2016 UTC (0.001 )  Time stamp start 1477012503751789030 end 1477012503750789030  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:06 2016 UTC-Fri Oct 21 01:15:06 2016 UTC (0.001 )  Time stamp start 1477012506225115850 end 1477012506224115850  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:07 2016 UTC-Fri Oct 21 01:15:07 2016 UTC (0.001 )  Time stamp start 1477012507247025160 end 1477012507246025160  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:08 2016 UTC-Fri Oct 21 01:15:08 2016 UTC (0.001 )  Time stamp start 1477012508346305090 end 1477012508345305090  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:16 2016 UTC-Fri Oct 21 01:15:16 2016 UTC (0.001 )  Time stamp start 1477012516016054570 end 1477012516015054570  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:16 2016 UTC-Fri Oct 21 01:15:16 2016 UTC (0.001 )  Time stamp start 1477012516683224260 end 1477012516682224260  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:17 2016 UTC-Fri Oct 21 01:15:17 2016 UTC (0.001 )  Time stamp start 1477012517816815655 end 1477012517815815655  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:18 2016 UTC-Fri Oct 21 01:15:18 2016 UTC (0.002 )  Time stamp start 1477012518145415205 end 1477012518143898625  Run 311071, LB 145, lumi 18.14
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:19 2016 UTC-Fri Oct 21 01:15:19 2016 UTC (0.001 )  Time stamp start 1477012519045643200 end 1477012519044643200  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:19 2016 UTC-Fri Oct 21 01:15:19 2016 UTC (0.001 )  Time stamp start 1477012519813485660 end 1477012519812485660  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:20 2016 UTC-Fri Oct 21 01:15:20 2016 UTC (0.001 )  Time stamp start 1477012520816511925 end 1477012520815511925  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:21 2016 UTC-Fri Oct 21 01:15:21 2016 UTC (0.001 )  Time stamp start 1477012521575586845 end 1477012521574586845  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:23 2016 UTC-Fri Oct 21 01:15:23 2016 UTC (0.001 )  Time stamp start 1477012523378690450 end 1477012523377690450  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:24 2016 UTC-Fri Oct 21 01:15:24 2016 UTC (0.001 )  Time stamp start 1477012524345609680 end 1477012524344609680  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:25 2016 UTC-Fri Oct 21 01:15:25 2016 UTC (0.001 )  Time stamp start 1477012525421538340 end 1477012525420538340  Run 311071, LB 145, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:15:26 2016 UTC-Fri Oct 21 01:15:26 2016 UTC (0.001 )  Time stamp start 1477012526195172490 end 1477012526194172490  Run 311071, LB 145, lumi 11.96
