Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310738 to 310738
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310738 to run 310738  lasting from Sun Oct 16 18:18:32 2016 UTC to Mon Oct 17 10:22:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:18 2016 UTC-Sun Oct 16 19:54:18 2016 UTC (0.001 )  Time stamp start 1476647658431891055 end 1476647658430891055  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:19 2016 UTC-Sun Oct 16 19:54:19 2016 UTC (0.001 )  Time stamp start 1476647659831544870 end 1476647659830544870  Run 310738, LB 101, lumi 13.42
Event Veto ['NoiseBurst'], Sun Oct 16 19:54:21 2016 UTC-Sun Oct 16 19:54:21 2016 UTC (0.015 )  Time stamp start 1476647661326900575 end 1476647661312005615  Run 310738, LB 101, lumi 199.87
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:23 2016 UTC-Sun Oct 16 19:54:23 2016 UTC (0.001 )  Time stamp start 1476647663137498535 end 1476647663136498535  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:24 2016 UTC-Sun Oct 16 19:54:24 2016 UTC (0.001 )  Time stamp start 1476647664098485510 end 1476647664097485510  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:26 2016 UTC-Sun Oct 16 19:54:26 2016 UTC (0.001 )  Time stamp start 1476647666775406295 end 1476647666774406295  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:28 2016 UTC-Sun Oct 16 19:54:28 2016 UTC (0.001 )  Time stamp start 1476647668805261830 end 1476647668804261705  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:29 2016 UTC-Sun Oct 16 19:54:29 2016 UTC (0.001 )  Time stamp start 1476647669806584945 end 1476647669805584945  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:31 2016 UTC-Sun Oct 16 19:54:31 2016 UTC (0.001 )  Time stamp start 1476647671124029170 end 1476647671123029170  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:32 2016 UTC-Sun Oct 16 19:54:32 2016 UTC (0.001 )  Time stamp start 1476647672028574675 end 1476647672027574675  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:33 2016 UTC-Sun Oct 16 19:54:33 2016 UTC (0.001 )  Time stamp start 1476647673725513490 end 1476647673724513490  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:35 2016 UTC-Sun Oct 16 19:54:35 2016 UTC (0.001 )  Time stamp start 1476647675586027030 end 1476647675585027030  Run 310738, LB 101, lumi 13.42
Event Veto ['NoiseBurst'], Sun Oct 16 19:54:37 2016 UTC-Sun Oct 16 19:54:37 2016 UTC (0.010 )  Time stamp start 1476647677604815205 end 1476647677594814705  Run 310738, LB 101, lumi 134.19
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:39 2016 UTC-Sun Oct 16 19:54:39 2016 UTC (0.001 )  Time stamp start 1476647679033057320 end 1476647679032057020  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:40 2016 UTC-Sun Oct 16 19:54:40 2016 UTC (0.001 )  Time stamp start 1476647680590342995 end 1476647680589342995  Run 310738, LB 101, lumi 13.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:54:41 2016 UTC-Sun Oct 16 19:54:41 2016 UTC (0.001 )  Time stamp start 1476647681852280060 end 1476647681851280060  Run 310738, LB 101, lumi 13.42
