Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:57 2016 UTC-Thu Oct 13 04:58:57 2016 UTC (0.016 )  Time stamp start 1476334737140634410 end 1476334737124200885  Run 310473, LB 90, lumi 208.60
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:58 2016 UTC-Thu Oct 13 04:58:58 2016 UTC (0.010 )  Time stamp start 1476334738047610195 end 1476334738037610195  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:59 2016 UTC-Thu Oct 13 04:58:59 2016 UTC (0.014 )  Time stamp start 1476334739429801765 end 1476334739415478230  Run 310473, LB 91, lumi 181.56
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:00 2016 UTC-Thu Oct 13 04:59:00 2016 UTC (0.029 )  Time stamp start 1476334740703956360 end 1476334740675314465  Run 310473, LB 91, lumi 363.06
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:02 2016 UTC-Thu Oct 13 04:59:02 2016 UTC (0.010 )  Time stamp start 1476334742349535925 end 1476334742339535925  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:03 2016 UTC-Thu Oct 13 04:59:03 2016 UTC (0.015 )  Time stamp start 1476334743520225635 end 1476334743505559375  Run 310473, LB 91, lumi 185.91
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:05 2016 UTC-Thu Oct 13 04:59:05 2016 UTC (0.010 )  Time stamp start 1476334745014845340 end 1476334745004845340  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:06 2016 UTC-Thu Oct 13 04:59:06 2016 UTC (0.010 )  Time stamp start 1476334746051657265 end 1476334746041657265  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:07 2016 UTC-Thu Oct 13 04:59:07 2016 UTC (0.010 )  Time stamp start 1476334747015935845 end 1476334747005935845  Run 310473, LB 91, lumi 126.76
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:08 2016 UTC-Thu Oct 13 04:59:08 2016 UTC (0.014 )  Time stamp start 1476334748169934260 end 1476334748156294470  Run 310473, LB 91, lumi 172.90
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:59:09 2016 UTC-Thu Oct 13 04:59:09 2016 UTC (0.010 )  Time stamp start 1476334749125887005 end 1476334749115887005  Run 310473, LB 91, lumi 126.76
