Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:01 2017 UTC-Wed Jun 28 17:36:01 2017 UTC (0.001 )  Time stamp start 1498671361918421005 end 1498671361917421005  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:03 2017 UTC-Wed Jun 28 17:36:03 2017 UTC (0.001 )  Time stamp start 1498671363065711905 end 1498671363064711905  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:04 2017 UTC-Wed Jun 28 17:36:04 2017 UTC (0.001 )  Time stamp start 1498671364736467870 end 1498671364735467870  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:05 2017 UTC-Wed Jun 28 17:36:05 2017 UTC (0.001 )  Time stamp start 1498671365920185420 end 1498671365919185420  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:06 2017 UTC-Wed Jun 28 17:36:06 2017 UTC (0.001 )  Time stamp start 1498671366606520310 end 1498671366605520310  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:11 2017 UTC-Wed Jun 28 17:36:11 2017 UTC (0.001 )  Time stamp start 1498671371109782315 end 1498671371108782315  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:12 2017 UTC-Wed Jun 28 17:36:12 2017 UTC (0.001 )  Time stamp start 1498671372784013370 end 1498671372783013370  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:14 2017 UTC-Wed Jun 28 17:36:14 2017 UTC (0.001 )  Time stamp start 1498671374303717460 end 1498671374302695630  Run 328263, LB 108, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:14 2017 UTC-Wed Jun 28 17:36:14 2017 UTC (0.001 )  Time stamp start 1498671374399325200 end 1498671374398325200  Run 328263, LB 108, lumi 7.86
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:36:14 2017 UTC-Wed Jun 28 17:36:14 2017 UTC (0.001 )  Time stamp start 1498671374418905295 end 1498671374417905295  Run 328263, LB 108, lumi 7.86
