Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:10:38 2016 UTC-Wed Oct 19 04:10:38 2016 UTC (0.001 )  Time stamp start 1476850238444787885 end 1476850238443787710  Run 310872, LB 153, lumi 12.25
Event Veto ['NoiseBurst'], Wed Oct 19 04:11:17 2016 UTC-Wed Oct 19 04:11:17 2016 UTC (0.010 )  Time stamp start 1476850277507545035 end 1476850277497544415  Run 310872, LB 154, lumi 119.01
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:18 2016 UTC-Wed Oct 19 04:11:18 2016 UTC (0.001 )  Time stamp start 1476850278200222180 end 1476850278199222180  Run 310872, LB 154, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:19 2016 UTC-Wed Oct 19 04:11:19 2016 UTC (0.000 )  Time stamp start 1476850279206157475 end 1476850279206157300  Run 310872, LB 154, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:20 2016 UTC-Wed Oct 19 04:11:20 2016 UTC (0.001 )  Time stamp start 1476850280870196530 end 1476850280869196530  Run 310872, LB 154, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:23 2016 UTC-Wed Oct 19 04:11:23 2016 UTC (0.001 )  Time stamp start 1476850283413850795 end 1476850283412850795  Run 310872, LB 154, lumi 11.90
Event Veto ['NoiseBurst'], Wed Oct 19 04:11:25 2016 UTC-Wed Oct 19 04:11:25 2016 UTC (0.010 )  Time stamp start 1476850285699410900 end 1476850285689410700  Run 310872, LB 154, lumi 119.01
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:51 2016 UTC-Wed Oct 19 04:11:51 2016 UTC (0.001 )  Time stamp start 1476850311143395130 end 1476850311142395130  Run 310872, LB 154, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:52 2016 UTC-Wed Oct 19 04:11:52 2016 UTC (0.001 )  Time stamp start 1476850312359662415 end 1476850312358662415  Run 310872, LB 154, lumi 11.90
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:11:53 2016 UTC-Wed Oct 19 04:11:53 2016 UTC (0.001 )  Time stamp start 1476850313313901595 end 1476850313312901595  Run 310872, LB 154, lumi 11.90
