Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:36 2016 UTC-Fri Oct 14 18:33:36 2016 UTC (0.001 )  Time stamp start 1476470016415311010 end 1476470016414311010  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:39 2016 UTC-Fri Oct 14 18:33:39 2016 UTC (0.001 )  Time stamp start 1476470019237494785 end 1476470019236494785  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:40 2016 UTC-Fri Oct 14 18:33:40 2016 UTC (0.001 )  Time stamp start 1476470020594840210 end 1476470020593840210  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:41 2016 UTC-Fri Oct 14 18:33:41 2016 UTC (0.001 )  Time stamp start 1476470021884896305 end 1476470021883896155  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:44 2016 UTC-Fri Oct 14 18:33:44 2016 UTC (0.001 )  Time stamp start 1476470024339831040 end 1476470024338831040  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:46 2016 UTC-Fri Oct 14 18:33:46 2016 UTC (0.001 )  Time stamp start 1476470026366986585 end 1476470026365986585  Run 310634, LB 36, lumi 12.50
Event Veto ['NoiseBurst'], Fri Oct 14 18:33:48 2016 UTC-Fri Oct 14 18:33:48 2016 UTC (0.010 )  Time stamp start 1476470028570247975 end 1476470028560247555  Run 310634, LB 36, lumi 124.96
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:50 2016 UTC-Fri Oct 14 18:33:50 2016 UTC (0.001 )  Time stamp start 1476470030574516200 end 1476470030573516200  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:51 2016 UTC-Fri Oct 14 18:33:51 2016 UTC (0.001 )  Time stamp start 1476470031816402425 end 1476470031815402425  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:53 2016 UTC-Fri Oct 14 18:33:53 2016 UTC (0.001 )  Time stamp start 1476470033464191600 end 1476470033463191600  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:55 2016 UTC-Fri Oct 14 18:33:55 2016 UTC (0.001 )  Time stamp start 1476470035992626895 end 1476470035991626895  Run 310634, LB 36, lumi 12.50
