Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['NoiseBurst'], Sun Oct  9 12:48:51 2016 UTC-Sun Oct  9 12:48:51 2016 UTC (0.010 )  Time stamp start 1476017331966839685 end 1476017331956824190  Run 310249, LB 188, lumi 133.98
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:48:56 2016 UTC-Sun Oct  9 12:48:56 2016 UTC (0.010 )  Time stamp start 1476017336770926265 end 1476017336760926265  Run 310249, LB 188, lumi 133.77
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:17 2016 UTC-Sun Oct  9 12:49:17 2016 UTC (0.004 )  Time stamp start 1476017357167337455 end 1476017357162837455  Run 310249, LB 188, lumi 60.20
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:18 2016 UTC-Sun Oct  9 12:49:18 2016 UTC (0.011 )  Time stamp start 1476017358848165810 end 1476017358837353260  Run 310249, LB 189, lumi 144.10
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:20 2016 UTC-Sun Oct  9 12:49:20 2016 UTC (0.010 )  Time stamp start 1476017360247140615 end 1476017360237140615  Run 310249, LB 189, lumi 133.27
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:22 2016 UTC-Sun Oct  9 12:49:22 2016 UTC (0.010 )  Time stamp start 1476017362057282010 end 1476017362047282010  Run 310249, LB 189, lumi 133.27
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:35 2016 UTC-Sun Oct  9 12:49:35 2016 UTC (0.010 )  Time stamp start 1476017375266822225 end 1476017375256822225  Run 310249, LB 189, lumi 133.27
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:38 2016 UTC-Sun Oct  9 12:49:38 2016 UTC (0.001 )  Time stamp start 1476017378801455665 end 1476017378800681620  Run 310249, LB 189, lumi 10.32
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:41 2016 UTC-Sun Oct  9 12:49:41 2016 UTC (0.019 )  Time stamp start 1476017381273735145 end 1476017381254436805  Run 310249, LB 189, lumi 257.20
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:49:43 2016 UTC-Sun Oct  9 12:49:43 2016 UTC (0.010 )  Time stamp start 1476017383562432675 end 1476017383552432675  Run 310249, LB 189, lumi 133.27
