Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:09 2016 UTC-Sun Oct  9 12:46:09 2016 UTC (0.021 )  Time stamp start 1476017169929946930 end 1476017169909126765  Run 310249, LB 185, lumi 281.83
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:20 2016 UTC-Sun Oct  9 12:46:20 2016 UTC (0.001 )  Time stamp start 1476017180381056820 end 1476017180380056820  Run 310249, LB 185, lumi 13.54
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:24 2016 UTC-Sun Oct  9 12:46:24 2016 UTC (0.010 )  Time stamp start 1476017184870573910 end 1476017184860573910  Run 310249, LB 185, lumi 135.36
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:34 2016 UTC-Sun Oct  9 12:46:34 2016 UTC (0.010 )  Time stamp start 1476017194940111425 end 1476017194930111425  Run 310249, LB 185, lumi 135.36
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:46:40 2016 UTC-Sun Oct  9 12:46:40 2016 UTC (0.011 )  Time stamp start 1476017200831012660 end 1476017200819514195  Run 310249, LB 185, lumi 155.65
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:02 2016 UTC-Sun Oct  9 12:47:02 2016 UTC (0.010 )  Time stamp start 1476017222834620500 end 1476017222824619875  Run 310249, LB 186, lumi 134.49
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:04 2016 UTC-Sun Oct  9 12:47:04 2016 UTC (0.010 )  Time stamp start 1476017224819422360 end 1476017224809422360  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:07 2016 UTC-Sun Oct  9 12:47:07 2016 UTC (0.004 )  Time stamp start 1476017227694445260 end 1476017227689945260  Run 310249, LB 186, lumi 60.52
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:10 2016 UTC-Sun Oct  9 12:47:10 2016 UTC (0.010 )  Time stamp start 1476017230252326045 end 1476017230242326045  Run 310249, LB 186, lumi 134.48
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:11 2016 UTC-Sun Oct  9 12:47:11 2016 UTC (0.010 )  Time stamp start 1476017231906316975 end 1476017231896316975  Run 310249, LB 186, lumi 134.48
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:14 2016 UTC-Sun Oct  9 12:47:14 2016 UTC (0.000 )  Time stamp start 1476017234554254680 end 1476017234554245875  Run 310249, LB 186, lumi 0.12
Event Veto ['NoiseBurst'], Sun Oct  9 12:47:18 2016 UTC-Sun Oct  9 12:47:18 2016 UTC (0.010 )  Time stamp start 1476017238677855570 end 1476017238667854945  Run 310249, LB 186, lumi 134.49
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:47:38 2016 UTC-Sun Oct  9 12:47:38 2016 UTC (0.010 )  Time stamp start 1476017258492976755 end 1476017258482976755  Run 310249, LB 186, lumi 134.48
