Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:03 2016 UTC-Wed Oct 19 04:09:03 2016 UTC (0.001 )  Time stamp start 1476850143180083915 end 1476850143179083915  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:04 2016 UTC-Wed Oct 19 04:09:04 2016 UTC (0.001 )  Time stamp start 1476850144583616560 end 1476850144582616560  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:06 2016 UTC-Wed Oct 19 04:09:06 2016 UTC (0.001 )  Time stamp start 1476850146504391145 end 1476850146503391145  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:07 2016 UTC-Wed Oct 19 04:09:07 2016 UTC (0.001 )  Time stamp start 1476850147518075860 end 1476850147517075860  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:09 2016 UTC-Wed Oct 19 04:09:09 2016 UTC (0.001 )  Time stamp start 1476850149198146095 end 1476850149197146095  Run 310872, LB 151, lumi 12.62
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:11 2016 UTC-Wed Oct 19 04:09:11 2016 UTC (0.001 )  Time stamp start 1476850151316282805 end 1476850151315282805  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:12 2016 UTC-Wed Oct 19 04:09:12 2016 UTC (0.001 )  Time stamp start 1476850152208514130 end 1476850152207514130  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:13 2016 UTC-Wed Oct 19 04:09:13 2016 UTC (0.001 )  Time stamp start 1476850153116043030 end 1476850153115043030  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:23 2016 UTC-Wed Oct 19 04:09:23 2016 UTC (0.001 )  Time stamp start 1476850163340013280 end 1476850163339013280  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:25 2016 UTC-Wed Oct 19 04:09:25 2016 UTC (0.001 )  Time stamp start 1476850165407469200 end 1476850165406469200  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:26 2016 UTC-Wed Oct 19 04:09:26 2016 UTC (0.001 )  Time stamp start 1476850166082385445 end 1476850166081385445  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:28 2016 UTC-Wed Oct 19 04:09:28 2016 UTC (0.001 )  Time stamp start 1476850168113363260 end 1476850168112363260  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:29 2016 UTC-Wed Oct 19 04:09:29 2016 UTC (0.001 )  Time stamp start 1476850169696720755 end 1476850169695720755  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:33 2016 UTC-Wed Oct 19 04:09:33 2016 UTC (0.001 )  Time stamp start 1476850173132588130 end 1476850173131588130  Run 310872, LB 152, lumi 12.31
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:09:34 2016 UTC-Wed Oct 19 04:09:34 2016 UTC (0.001 )  Time stamp start 1476850174263486210 end 1476850174262486210  Run 310872, LB 152, lumi 12.31
