Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630169782475 end 1500017630169682475  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630202148700 end 1500017630202048550  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630253965895 end 1500017630253865895  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630286089550 end 1500017630285989325  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630347648535 end 1500017630347548535  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630403540890 end 1500017630403440890  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630463140195 end 1500017630463040195  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630502540030 end 1500017630502440030  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630551440985 end 1500017630551340760  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630575366175 end 1500017630575266175  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630600684940 end 1500017630600584940  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630652730710 end 1500017630652630710  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630695657605 end 1500017630695557605  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630764636595 end 1500017630764536595  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630809474970 end 1500017630809374970  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630837311240 end 1500017630837211240  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:50 2017 UTC-Fri Jul 14 07:33:50 2017 UTC (0.000 )  Time stamp start 1500017630859073050 end 1500017630858973050  Run 329716, LB 259, lumi 0.71
