Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303059 to 303059
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303059 to run 303059  lasting from Thu Jun 30 15:29:51 2016 UTC to Thu Jun 30 20:18:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:02:42 2016 UTC-Thu Jun 30 17:02:42 2016 UTC (0.001 )  Time stamp start 1467306162572638660 end 1467306162571638660  Run 303059, LB 98, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:02:53 2016 UTC-Thu Jun 30 17:02:53 2016 UTC (0.001 )  Time stamp start 1467306173010921325 end 1467306173009921080  Run 303059, LB 98, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:03:35 2016 UTC-Thu Jun 30 17:03:35 2016 UTC (0.001 )  Time stamp start 1467306215558579690 end 1467306215557579690  Run 303059, LB 100, lumi 10.52
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:04:36 2016 UTC-Thu Jun 30 17:04:36 2016 UTC (0.001 )  Time stamp start 1467306276288610690 end 1467306276287610315  Run 303059, LB 101, lumi 10.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:04:47 2016 UTC-Thu Jun 30 17:04:47 2016 UTC (0.001 )  Time stamp start 1467306287439613750 end 1467306287438613600  Run 303059, LB 101, lumi 10.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:04:58 2016 UTC-Thu Jun 30 17:04:58 2016 UTC (0.001 )  Time stamp start 1467306298803884165 end 1467306298802884165  Run 303059, LB 101, lumi 10.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:05:09 2016 UTC-Thu Jun 30 17:05:09 2016 UTC (0.001 )  Time stamp start 1467306309681683275 end 1467306309680682900  Run 303059, LB 101, lumi 10.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:05:21 2016 UTC-Thu Jun 30 17:05:21 2016 UTC (0.001 )  Time stamp start 1467306321061007520 end 1467306321060007520  Run 303059, LB 101, lumi 10.51
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:05:37 2016 UTC-Thu Jun 30 17:05:37 2016 UTC (0.001 )  Time stamp start 1467306337766283010 end 1467306337765283010  Run 303059, LB 102, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:05:44 2016 UTC-Thu Jun 30 17:05:44 2016 UTC (0.001 )  Time stamp start 1467306344084529660 end 1467306344083529660  Run 303059, LB 102, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:05:55 2016 UTC-Thu Jun 30 17:05:55 2016 UTC (0.001 )  Time stamp start 1467306355763210675 end 1467306355762210675  Run 303059, LB 102, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:06:00 2016 UTC-Thu Jun 30 17:06:00 2016 UTC (0.001 )  Time stamp start 1467306360351464660 end 1467306360350464485  Run 303059, LB 102, lumi 10.49
Event Veto ['NoiseBurst'], Thu Jun 30 17:06:34 2016 UTC-Thu Jun 30 17:06:34 2016 UTC (0.010 )  Time stamp start 1467306394472666525 end 1467306394462665775  Run 303059, LB 103, lumi 104.84
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:07:28 2016 UTC-Thu Jun 30 17:07:28 2016 UTC (0.001 )  Time stamp start 1467306448351116170 end 1467306448350115775  Run 303059, LB 104, lumi 10.47
Event Veto ['NoiseBurst'], Thu Jun 30 17:07:42 2016 UTC-Thu Jun 30 17:07:42 2016 UTC (0.010 )  Time stamp start 1467306462559634315 end 1467306462549510560  Run 303059, LB 104, lumi 105.98
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:07:45 2016 UTC-Thu Jun 30 17:07:45 2016 UTC (0.001 )  Time stamp start 1467306465016892195 end 1467306465015891820  Run 303059, LB 104, lumi 10.47
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:08:02 2016 UTC-Thu Jun 30 17:08:02 2016 UTC (0.001 )  Time stamp start 1467306482141630395 end 1467306482140630395  Run 303059, LB 104, lumi 10.47
Event Veto ['NoiseBurst'], Thu Jun 30 17:08:14 2016 UTC-Thu Jun 30 17:08:14 2016 UTC (0.010 )  Time stamp start 1467306494127752720 end 1467306494117752095  Run 303059, LB 104, lumi 104.69
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:08:23 2016 UTC-Thu Jun 30 17:08:23 2016 UTC (0.001 )  Time stamp start 1467306503926318650 end 1467306503925318350  Run 303059, LB 105, lumi 10.47
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:08:40 2016 UTC-Thu Jun 30 17:08:40 2016 UTC (0.001 )  Time stamp start 1467306520868698160 end 1467306520867698035  Run 303059, LB 105, lumi 10.46
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:09:12 2016 UTC-Thu Jun 30 17:09:12 2016 UTC (0.001 )  Time stamp start 1467306552752664595 end 1467306552751664345  Run 303059, LB 105, lumi 10.47
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:09:23 2016 UTC-Thu Jun 30 17:09:23 2016 UTC (0.001 )  Time stamp start 1467306563740796815 end 1467306563739796540  Run 303059, LB 106, lumi 10.46
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:09:29 2016 UTC-Thu Jun 30 17:09:29 2016 UTC (0.001 )  Time stamp start 1467306569787079120 end 1467306569786079120  Run 303059, LB 106, lumi 10.46
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:10:05 2016 UTC-Thu Jun 30 17:10:05 2016 UTC (0.001 )  Time stamp start 1467306605571946145 end 1467306605570945770  Run 303059, LB 106, lumi 10.46
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:10:17 2016 UTC-Thu Jun 30 17:10:17 2016 UTC (0.001 )  Time stamp start 1467306617108865615 end 1467306617107865615  Run 303059, LB 106, lumi 10.46
Event Veto ['NoiseBurst'], Thu Jun 30 17:10:20 2016 UTC-Thu Jun 30 17:10:20 2016 UTC (0.011 )  Time stamp start 1467306620796377395 end 1467306620785853380  Run 303059, LB 106, lumi 110.08
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:10:51 2016 UTC-Thu Jun 30 17:10:51 2016 UTC (0.001 )  Time stamp start 1467306651254357310 end 1467306651253357065  Run 303059, LB 107, lumi 10.44
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:08 2016 UTC-Thu Jun 30 17:11:08 2016 UTC (0.001 )  Time stamp start 1467306668371208905 end 1467306668370208905  Run 303059, LB 107, lumi 10.44
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:21 2016 UTC-Thu Jun 30 17:11:21 2016 UTC (0.001 )  Time stamp start 1467306681101552495 end 1467306681100552495  Run 303059, LB 107, lumi 10.44
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:21 2016 UTC-Thu Jun 30 17:11:21 2016 UTC (0.001 )  Time stamp start 1467306681852786070 end 1467306681851786070  Run 303059, LB 107, lumi 10.44
Event Veto ['NoiseBurst'], Thu Jun 30 17:11:40 2016 UTC-Thu Jun 30 17:11:40 2016 UTC (0.010 )  Time stamp start 1467306700396542440 end 1467306700386541945  Run 303059, LB 109, lumi 104.20
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:42 2016 UTC-Thu Jun 30 17:11:42 2016 UTC (0.001 )  Time stamp start 1467306702957294765 end 1467306702956294765  Run 303059, LB 109, lumi 10.42
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:44 2016 UTC-Thu Jun 30 17:11:44 2016 UTC (0.001 )  Time stamp start 1467306704264176450 end 1467306704263176450  Run 303059, LB 109, lumi 10.42
Event Veto ['MiniNoiseBurst'], Thu Jun 30 17:11:45 2016 UTC-Thu Jun 30 17:11:45 2016 UTC (0.001 )  Time stamp start 1467306705524687610 end 1467306705523687610  Run 303059, LB 109, lumi 10.42
