Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362445 to 362445
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362445 to run 362445  lasting from Mon Oct  1 20:29:17 2018 UTC to Tue Oct  2 05:04:34 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:50:04 2018 UTC-Tue Oct  2 00:50:04 2018 UTC (0.001 )  Time stamp start 1538441404732096870 end 1538441404731096870  Run 362445, LB 301, lumi 15.90
Event Veto ['NoiseBurst'], Tue Oct  2 00:50:30 2018 UTC-Tue Oct  2 00:50:30 2018 UTC (0.001 )  Time stamp start 1538441430510428065 end 1538441430509427940  Run 362445, LB 301, lumi 15.90
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:51:37 2018 UTC-Tue Oct  2 00:51:37 2018 UTC (0.001 )  Time stamp start 1538441497464492675 end 1538441497463492675  Run 362445, LB 302, lumi 15.85
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:56:58 2018 UTC-Tue Oct  2 00:56:58 2018 UTC (0.001 )  Time stamp start 1538441818984808930 end 1538441818983808255  Run 362445, LB 308, lumi 15.60
Event Veto ['NoiseBurst'], Tue Oct  2 00:58:05 2018 UTC-Tue Oct  2 00:58:05 2018 UTC (0.001 )  Time stamp start 1538441885006283885 end 1538441885005283265  Run 362445, LB 309, lumi 15.56
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:59:19 2018 UTC-Tue Oct  2 00:59:19 2018 UTC (0.001 )  Time stamp start 1538441959984479895 end 1538441959983479645  Run 362445, LB 310, lumi 15.53
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:01:20 2018 UTC-Tue Oct  2 01:01:20 2018 UTC (0.001 )  Time stamp start 1538442080416399170 end 1538442080415399170  Run 362445, LB 312, lumi 15.54
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:01:25 2018 UTC-Tue Oct  2 01:01:25 2018 UTC (0.001 )  Time stamp start 1538442085575771610 end 1538442085574771610  Run 362445, LB 312, lumi 15.54
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:02:24 2018 UTC-Tue Oct  2 01:02:24 2018 UTC (0.001 )  Time stamp start 1538442144044712815 end 1538442144043712265  Run 362445, LB 313, lumi 15.52
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:03:29 2018 UTC-Tue Oct  2 01:03:29 2018 UTC (0.001 )  Time stamp start 1538442209498151755 end 1538442209497151755  Run 362445, LB 314, lumi 15.48
Event Veto ['NoiseBurst'], Tue Oct  2 01:06:07 2018 UTC-Tue Oct  2 01:06:07 2018 UTC (0.001 )  Time stamp start 1538442367742473165 end 1538442367741473040  Run 362445, LB 317, lumi 15.36
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:07:05 2018 UTC-Tue Oct  2 01:07:05 2018 UTC (0.001 )  Time stamp start 1538442425744672765 end 1538442425743672765  Run 362445, LB 318, lumi 15.32
Event Veto ['NoiseBurst'], Tue Oct  2 01:09:26 2018 UTC-Tue Oct  2 01:09:26 2018 UTC (0.001 )  Time stamp start 1538442566562713775 end 1538442566561713150  Run 362445, LB 321, lumi 15.23
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:09:49 2018 UTC-Tue Oct  2 01:09:49 2018 UTC (0.001 )  Time stamp start 1538442589351038455 end 1538442589350038455  Run 362445, LB 321, lumi 15.22
Event Veto ['NoiseBurst'], Tue Oct  2 01:10:33 2018 UTC-Tue Oct  2 01:10:33 2018 UTC (0.001 )  Time stamp start 1538442633901564785 end 1538442633900564385  Run 362445, LB 322, lumi 15.19
Event Veto ['MiniNoiseBurst'], Tue Oct  2 01:11:10 2018 UTC-Tue Oct  2 01:11:10 2018 UTC (0.001 )  Time stamp start 1538442670240397055 end 1538442670239397055  Run 362445, LB 322, lumi 15.19
Event Veto ['NoiseBurst'], Tue Oct  2 01:14:17 2018 UTC-Tue Oct  2 01:14:17 2018 UTC (0.001 )  Time stamp start 1538442857845797720 end 1538442857844796845  Run 362445, LB 325, lumi 15.10
