Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349944 to 349944
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349944 to run 349944  lasting from Wed May  9 16:58:10 2018 UTC to Thu May 10 10:37:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:35 2018 UTC-Wed May  9 20:53:35 2018 UTC (0.001 )  Time stamp start 1525899215512500755 end 1525899215511391645  Run 349944, LB 246, lumi 21.15
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:39 2018 UTC-Wed May  9 20:53:39 2018 UTC (0.001 )  Time stamp start 1525899219315635965 end 1525899219314635965  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:44 2018 UTC-Wed May  9 20:53:44 2018 UTC (0.001 )  Time stamp start 1525899224675160250 end 1525899224674160250  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:44 2018 UTC-Wed May  9 20:53:44 2018 UTC (0.001 )  Time stamp start 1525899224815058420 end 1525899224814058420  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:49 2018 UTC-Wed May  9 20:53:49 2018 UTC (0.001 )  Time stamp start 1525899229980521815 end 1525899229979521815  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:53:51 2018 UTC-Wed May  9 20:53:51 2018 UTC (0.001 )  Time stamp start 1525899231638451785 end 1525899231637451785  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:54:00 2018 UTC-Wed May  9 20:54:00 2018 UTC (0.001 )  Time stamp start 1525899240463481800 end 1525899240462481800  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:54:03 2018 UTC-Wed May  9 20:54:03 2018 UTC (0.001 )  Time stamp start 1525899243589301060 end 1525899243588301060  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:54:03 2018 UTC-Wed May  9 20:54:03 2018 UTC (0.001 )  Time stamp start 1525899243999739420 end 1525899243998739420  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:54:08 2018 UTC-Wed May  9 20:54:08 2018 UTC (0.001 )  Time stamp start 1525899248665147645 end 1525899248664147645  Run 349944, LB 246, lumi 19.07
Event Veto ['MiniNoiseBurst'], Wed May  9 20:54:23 2018 UTC-Wed May  9 20:54:23 2018 UTC (0.001 )  Time stamp start 1525899263211595115 end 1525899263210595115  Run 349944, LB 246, lumi 19.07
