Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309390 to 309390
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309390 to run 309390  lasting from Mon Sep 26 13:01:35 2016 UTC to Tue Sep 27 07:15:36 2016 UTC
Event Veto ['NoiseBurst'], Mon Sep 26 14:38:48 2016 UTC-Mon Sep 26 14:38:48 2016 UTC (0.010 )  Time stamp start 1474900728903330960 end 1474900728893330360  Run 309390, LB 103, lumi 106.89
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:52 2016 UTC-Mon Sep 26 14:38:52 2016 UTC (0.010 )  Time stamp start 1474900732375099160 end 1474900732365099160  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:38:56 2016 UTC-Mon Sep 26 14:38:56 2016 UTC (0.010 )  Time stamp start 1474900736516438225 end 1474900736506438225  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:00 2016 UTC-Mon Sep 26 14:39:00 2016 UTC (0.010 )  Time stamp start 1474900740648557340 end 1474900740638556240  Run 309390, LB 103, lumi 106.90
Event Veto ['NoiseBurst'], Mon Sep 26 14:39:03 2016 UTC-Mon Sep 26 14:39:03 2016 UTC (0.010 )  Time stamp start 1474900743648577415 end 1474900743638547250  Run 309390, LB 103, lumi 107.21
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:04 2016 UTC-Mon Sep 26 14:39:04 2016 UTC (0.010 )  Time stamp start 1474900744888167485 end 1474900744878167485  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:09 2016 UTC-Mon Sep 26 14:39:09 2016 UTC (0.010 )  Time stamp start 1474900749283333715 end 1474900749273333715  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:13 2016 UTC-Mon Sep 26 14:39:13 2016 UTC (0.010 )  Time stamp start 1474900753923443305 end 1474900753913443305  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:27 2016 UTC-Mon Sep 26 14:39:27 2016 UTC (0.010 )  Time stamp start 1474900767695850790 end 1474900767685850415  Run 309390, LB 103, lumi 106.89
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:31 2016 UTC-Mon Sep 26 14:39:31 2016 UTC (0.018 )  Time stamp start 1474900771609871900 end 1474900771592228040  Run 309390, LB 103, lumi 188.58
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:32 2016 UTC-Mon Sep 26 14:39:32 2016 UTC (0.019 )  Time stamp start 1474900772793858250 end 1474900772774407660  Run 309390, LB 103, lumi 207.90
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:34 2016 UTC-Mon Sep 26 14:39:34 2016 UTC (0.017 )  Time stamp start 1474900774995565660 end 1474900774978181265  Run 309390, LB 103, lumi 185.81
Event Veto ['NoiseBurst'], Mon Sep 26 14:39:35 2016 UTC-Mon Sep 26 14:39:35 2016 UTC (0.013 )  Time stamp start 1474900775155338570 end 1474900775142507160  Run 309390, LB 103, lumi 137.15
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:38 2016 UTC-Mon Sep 26 14:39:38 2016 UTC (0.010 )  Time stamp start 1474900778304190005 end 1474900778294190005  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:40 2016 UTC-Mon Sep 26 14:39:40 2016 UTC (0.010 )  Time stamp start 1474900780733570770 end 1474900780723570770  Run 309390, LB 103, lumi 106.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:41 2016 UTC-Mon Sep 26 14:39:41 2016 UTC (0.016 )  Time stamp start 1474900781676316030 end 1474900781660312180  Run 309390, LB 103, lumi 171.06
Event Veto ['NoiseBurst'], Mon Sep 26 14:39:41 2016 UTC-Mon Sep 26 14:39:41 2016 UTC (0.010 )  Time stamp start 1474900781715527065 end 1474900781705523695  Run 309390, LB 103, lumi 106.92
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:45 2016 UTC-Mon Sep 26 14:39:45 2016 UTC (0.010 )  Time stamp start 1474900785100242510 end 1474900785090242510  Run 309390, LB 104, lumi 132.68
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:48 2016 UTC-Mon Sep 26 14:39:48 2016 UTC (0.010 )  Time stamp start 1474900788459226730 end 1474900788449226730  Run 309390, LB 104, lumi 132.68
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:39:51 2016 UTC-Mon Sep 26 14:39:51 2016 UTC (0.010 )  Time stamp start 1474900791712359605 end 1474900791702359605  Run 309390, LB 104, lumi 132.68
