Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302831 to 302831
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302831 to run 302831  lasting from Sun Jun 26 04:30:12 2016 UTC to Sun Jun 26 06:30:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:00:57 2016 UTC-Sun Jun 26 05:00:57 2016 UTC (0.001 )  Time stamp start 1466917257623785915 end 1466917257622785665  Run 302831, LB 33, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:01:11 2016 UTC-Sun Jun 26 05:01:11 2016 UTC (0.001 )  Time stamp start 1466917271420952140 end 1466917271419951040  Run 302831, LB 33, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:01:48 2016 UTC-Sun Jun 26 05:01:48 2016 UTC (0.002 )  Time stamp start 1466917308538700070 end 1466917308536978820  Run 302831, LB 34, lumi 6.83
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:02:05 2016 UTC-Sun Jun 26 05:02:05 2016 UTC (0.001 )  Time stamp start 1466917325212525040 end 1466917325211524565  Run 302831, LB 34, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:02:29 2016 UTC-Sun Jun 26 05:02:29 2016 UTC (0.001 )  Time stamp start 1466917349214735120 end 1466917349213735120  Run 302831, LB 34, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:02:39 2016 UTC-Sun Jun 26 05:02:39 2016 UTC (0.001 )  Time stamp start 1466917359911579840 end 1466917359910579340  Run 302831, LB 34, lumi 3.97
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:02:53 2016 UTC-Sun Jun 26 05:02:53 2016 UTC (0.001 )  Time stamp start 1466917373527248155 end 1466917373526247780  Run 302831, LB 35, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:03:07 2016 UTC-Sun Jun 26 05:03:07 2016 UTC (0.001 )  Time stamp start 1466917387400235085 end 1466917387399235085  Run 302831, LB 35, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:03:07 2016 UTC-Sun Jun 26 05:03:07 2016 UTC (0.001 )  Time stamp start 1466917387983412040 end 1466917387982412040  Run 302831, LB 35, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:03:21 2016 UTC-Sun Jun 26 05:03:21 2016 UTC (0.001 )  Time stamp start 1466917401206130150 end 1466917401205129855  Run 302831, LB 35, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:04:43 2016 UTC-Sun Jun 26 05:04:43 2016 UTC (0.001 )  Time stamp start 1466917483055712795 end 1466917483054712795  Run 302831, LB 36, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:05:28 2016 UTC-Sun Jun 26 05:05:28 2016 UTC (0.001 )  Time stamp start 1466917528207028180 end 1466917528206028180  Run 302831, LB 37, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:05:45 2016 UTC-Sun Jun 26 05:05:45 2016 UTC (0.001 )  Time stamp start 1466917545306372680 end 1466917545305372555  Run 302831, LB 37, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:06:02 2016 UTC-Sun Jun 26 05:06:02 2016 UTC (0.001 )  Time stamp start 1466917562411882630 end 1466917562410882455  Run 302831, LB 38, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:06:12 2016 UTC-Sun Jun 26 05:06:12 2016 UTC (0.001 )  Time stamp start 1466917572834811105 end 1466917572833810730  Run 302831, LB 38, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:06:35 2016 UTC-Sun Jun 26 05:06:35 2016 UTC (0.001 )  Time stamp start 1466917595840863625 end 1466917595839863625  Run 302831, LB 38, lumi 3.96
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:06:49 2016 UTC-Sun Jun 26 05:06:49 2016 UTC (0.001 )  Time stamp start 1466917609480040300 end 1466917609479040300  Run 302831, LB 39, lumi 3.95
Event Veto ['NoiseBurst'], Sun Jun 26 05:07:23 2016 UTC-Sun Jun 26 05:07:23 2016 UTC (0.010 )  Time stamp start 1466917643162131600 end 1466917643151674080  Run 302831, LB 39, lumi 41.35
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:07:39 2016 UTC-Sun Jun 26 05:07:39 2016 UTC (0.001 )  Time stamp start 1466917659364993135 end 1466917659363993010  Run 302831, LB 39, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:07:45 2016 UTC-Sun Jun 26 05:07:45 2016 UTC (0.001 )  Time stamp start 1466917665067591765 end 1466917665066591615  Run 302831, LB 39, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:08:25 2016 UTC-Sun Jun 26 05:08:25 2016 UTC (0.001 )  Time stamp start 1466917705803553450 end 1466917705802553075  Run 302831, LB 40, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:08:38 2016 UTC-Sun Jun 26 05:08:38 2016 UTC (0.001 )  Time stamp start 1466917718979304040 end 1466917718978303915  Run 302831, LB 40, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:08:48 2016 UTC-Sun Jun 26 05:08:48 2016 UTC (0.001 )  Time stamp start 1466917728448418655 end 1466917728447417830  Run 302831, LB 41, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:08:52 2016 UTC-Sun Jun 26 05:08:52 2016 UTC (0.001 )  Time stamp start 1466917732892464780 end 1466917732891464280  Run 302831, LB 41, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:09:06 2016 UTC-Sun Jun 26 05:09:06 2016 UTC (0.001 )  Time stamp start 1466917746474863580 end 1466917746473863080  Run 302831, LB 41, lumi 3.95
Event Veto ['NoiseBurst'], Sun Jun 26 05:09:17 2016 UTC-Sun Jun 26 05:09:17 2016 UTC (0.010 )  Time stamp start 1466917757225051610 end 1466917757214731395  Run 302831, LB 41, lumi 40.75
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:09:34 2016 UTC-Sun Jun 26 05:09:34 2016 UTC (0.001 )  Time stamp start 1466917774158108205 end 1466917774157108205  Run 302831, LB 41, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:09:44 2016 UTC-Sun Jun 26 05:09:44 2016 UTC (0.001 )  Time stamp start 1466917784457371485 end 1466917784456371185  Run 302831, LB 41, lumi 3.95
Event Veto ['MiniNoiseBurst'], Sun Jun 26 05:09:55 2016 UTC-Sun Jun 26 05:09:55 2016 UTC (0.001 )  Time stamp start 1466917795146233165 end 1466917795145232640  Run 302831, LB 42, lumi 3.95
