Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350067 to 350067
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350067 to run 350067  lasting from Fri May 11 15:39:44 2018 UTC to Fri May 11 22:05:55 2018 UTC
Event Veto ['NoiseBurst'], Fri May 11 17:08:51 2018 UTC-Fri May 11 17:08:51 2018 UTC (0.001 )  Time stamp start 1526058531437761660 end 1526058531436558335  Run 350067, LB 100, lumi 21.81
Event Veto ['MiniNoiseBurst'], Fri May 11 17:09:11 2018 UTC-Fri May 11 17:09:11 2018 UTC (0.001 )  Time stamp start 1526058551130131775 end 1526058551129131775  Run 350067, LB 100, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri May 11 17:09:26 2018 UTC-Fri May 11 17:09:26 2018 UTC (0.001 )  Time stamp start 1526058566595608270 end 1526058566594608145  Run 350067, LB 100, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri May 11 17:09:45 2018 UTC-Fri May 11 17:09:45 2018 UTC (0.001 )  Time stamp start 1526058585040243640 end 1526058585039243640  Run 350067, LB 100, lumi 18.13
Event Veto ['MiniNoiseBurst'], Fri May 11 17:09:50 2018 UTC-Fri May 11 17:09:50 2018 UTC (0.001 )  Time stamp start 1526058590132252545 end 1526058590131252545  Run 350067, LB 101, lumi 18.09
Event Veto ['MiniNoiseBurst'], Fri May 11 17:09:53 2018 UTC-Fri May 11 17:09:53 2018 UTC (0.001 )  Time stamp start 1526058593282391175 end 1526058593281391175  Run 350067, LB 101, lumi 18.09
Event Veto ['MiniNoiseBurst'], Fri May 11 17:10:15 2018 UTC-Fri May 11 17:10:15 2018 UTC (0.001 )  Time stamp start 1526058615095492435 end 1526058615094492435  Run 350067, LB 101, lumi 18.09
Event Veto ['MiniNoiseBurst'], Fri May 11 17:10:22 2018 UTC-Fri May 11 17:10:22 2018 UTC (0.001 )  Time stamp start 1526058622772015150 end 1526058622771015150  Run 350067, LB 101, lumi 18.09
Event Veto ['MiniNoiseBurst'], Fri May 11 17:10:46 2018 UTC-Fri May 11 17:10:46 2018 UTC (0.001 )  Time stamp start 1526058646672029070 end 1526058646671029070  Run 350067, LB 102, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:05 2018 UTC-Fri May 11 17:11:05 2018 UTC (0.001 )  Time stamp start 1526058665649588005 end 1526058665648588005  Run 350067, LB 102, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:09 2018 UTC-Fri May 11 17:11:09 2018 UTC (0.001 )  Time stamp start 1526058669376418460 end 1526058669375418460  Run 350067, LB 102, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:09 2018 UTC-Fri May 11 17:11:09 2018 UTC (0.001 )  Time stamp start 1526058669675593670 end 1526058669674593495  Run 350067, LB 102, lumi 18.06
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:24 2018 UTC-Fri May 11 17:11:24 2018 UTC (0.001 )  Time stamp start 1526058684262740775 end 1526058684261740775  Run 350067, LB 102, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:29 2018 UTC-Fri May 11 17:11:29 2018 UTC (0.001 )  Time stamp start 1526058689345415030 end 1526058689344415030  Run 350067, LB 102, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:42 2018 UTC-Fri May 11 17:11:42 2018 UTC (0.001 )  Time stamp start 1526058702390101305 end 1526058702389101305  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:48 2018 UTC-Fri May 11 17:11:48 2018 UTC (0.001 )  Time stamp start 1526058708280915980 end 1526058708279915980  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:54 2018 UTC-Fri May 11 17:11:54 2018 UTC (0.001 )  Time stamp start 1526058714647575535 end 1526058714646575535  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:11:54 2018 UTC-Fri May 11 17:11:54 2018 UTC (0.001 )  Time stamp start 1526058714930003180 end 1526058714929003180  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:01 2018 UTC-Fri May 11 17:12:01 2018 UTC (0.001 )  Time stamp start 1526058721861846110 end 1526058721860846110  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:10 2018 UTC-Fri May 11 17:12:10 2018 UTC (0.001 )  Time stamp start 1526058730135032090 end 1526058730134031965  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:19 2018 UTC-Fri May 11 17:12:19 2018 UTC (0.001 )  Time stamp start 1526058739226764545 end 1526058739225764545  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:20 2018 UTC-Fri May 11 17:12:20 2018 UTC (0.001 )  Time stamp start 1526058740566737180 end 1526058740565737180  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:27 2018 UTC-Fri May 11 17:12:27 2018 UTC (0.001 )  Time stamp start 1526058747706981180 end 1526058747705981180  Run 350067, LB 103, lumi 18.01
Event Veto ['MiniNoiseBurst'], Fri May 11 17:12:30 2018 UTC-Fri May 11 17:12:30 2018 UTC (0.001 )  Time stamp start 1526058750432662655 end 1526058750431662655  Run 350067, LB 104, lumi 17.97
Event Veto ['MiniNoiseBurst'], Fri May 11 17:18:35 2018 UTC-Fri May 11 17:18:35 2018 UTC (0.001 )  Time stamp start 1526059115630579245 end 1526059115629579245  Run 350067, LB 142, lumi 17.90
Event Veto ['MiniNoiseBurst'], Fri May 11 17:18:35 2018 UTC-Fri May 11 17:18:35 2018 UTC (0.001 )  Time stamp start 1526059115797965520 end 1526059115796965520  Run 350067, LB 142, lumi 17.90
Event Veto ['MiniNoiseBurst'], Fri May 11 17:18:46 2018 UTC-Fri May 11 17:18:46 2018 UTC (0.001 )  Time stamp start 1526059126867315195 end 1526059126866315195  Run 350067, LB 142, lumi 17.90
Event Veto ['MiniNoiseBurst'], Fri May 11 17:19:07 2018 UTC-Fri May 11 17:19:07 2018 UTC (0.001 )  Time stamp start 1526059147601039075 end 1526059147600039075  Run 350067, LB 142, lumi 17.90
Event Veto ['MiniNoiseBurst'], Fri May 11 17:19:30 2018 UTC-Fri May 11 17:19:30 2018 UTC (0.001 )  Time stamp start 1526059170019320265 end 1526059170018320265  Run 350067, LB 142, lumi 17.90
Event Veto ['MiniNoiseBurst'], Fri May 11 17:19:38 2018 UTC-Fri May 11 17:19:38 2018 UTC (0.001 )  Time stamp start 1526059178908109895 end 1526059178907109895  Run 350067, LB 143, lumi 17.80
Event Veto ['MiniNoiseBurst'], Fri May 11 17:19:39 2018 UTC-Fri May 11 17:19:39 2018 UTC (0.001 )  Time stamp start 1526059179703172785 end 1526059179702172785  Run 350067, LB 143, lumi 17.80
