Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349268 to 349268
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349268 to run 349268  lasting from Mon Apr 30 20:02:10 2018 UTC to Tue May  1 07:14:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:33 2018 UTC-Mon Apr 30 20:07:33 2018 UTC (0.001 )  Time stamp start 1525118853582137975 end 1525118853581137675  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:34 2018 UTC-Mon Apr 30 20:07:34 2018 UTC (0.001 )  Time stamp start 1525118854032182775 end 1525118854031182475  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:34 2018 UTC-Mon Apr 30 20:07:34 2018 UTC (0.001 )  Time stamp start 1525118854184206200 end 1525118854183206200  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:34 2018 UTC-Mon Apr 30 20:07:34 2018 UTC (0.001 )  Time stamp start 1525118854269565945 end 1525118854268565945  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:34 2018 UTC-Mon Apr 30 20:07:34 2018 UTC (0.001 )  Time stamp start 1525118854337208215 end 1525118854336208215  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:34 2018 UTC-Mon Apr 30 20:07:34 2018 UTC (0.001 )  Time stamp start 1525118854704684010 end 1525118854703684010  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:35 2018 UTC-Mon Apr 30 20:07:35 2018 UTC (0.001 )  Time stamp start 1525118855224999965 end 1525118855223999670  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:35 2018 UTC-Mon Apr 30 20:07:35 2018 UTC (0.001 )  Time stamp start 1525118855694442190 end 1525118855693442190  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:36 2018 UTC-Mon Apr 30 20:07:36 2018 UTC (0.001 )  Time stamp start 1525118856032420425 end 1525118856031420425  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:37 2018 UTC-Mon Apr 30 20:07:37 2018 UTC (0.001 )  Time stamp start 1525118857861395560 end 1525118857860395560  Run 349268, LB 9, lumi 11.23
