Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310015 to 310015
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310015 to run 310015  lasting from Thu Oct  6 08:50:51 2016 UTC to Thu Oct  6 12:28:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:20 2016 UTC-Thu Oct  6 10:47:20 2016 UTC (0.010 )  Time stamp start 1475750840871513720 end 1475750840861513720  Run 310015, LB 121, lumi 0.00
Event Veto ['NoiseBurst'], Thu Oct  6 10:47:21 2016 UTC-Thu Oct  6 10:47:21 2016 UTC (0.010 )  Time stamp start 1475750841049911860 end 1475750841039910910  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:21 2016 UTC-Thu Oct  6 10:47:21 2016 UTC (0.010 )  Time stamp start 1475750841338025615 end 1475750841328025615  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:22 2016 UTC-Thu Oct  6 10:47:22 2016 UTC (0.013 )  Time stamp start 1475750842399547800 end 1475750842386731460  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:24 2016 UTC-Thu Oct  6 10:47:24 2016 UTC (0.010 )  Time stamp start 1475750844924628435 end 1475750844914628435  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:25 2016 UTC-Thu Oct  6 10:47:25 2016 UTC (0.010 )  Time stamp start 1475750845764236125 end 1475750845754236125  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:26 2016 UTC-Thu Oct  6 10:47:26 2016 UTC (0.010 )  Time stamp start 1475750846108799730 end 1475750846098799730  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:27 2016 UTC-Thu Oct  6 10:47:27 2016 UTC (0.016 )  Time stamp start 1475750847052588580 end 1475750847036266190  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:27 2016 UTC-Thu Oct  6 10:47:27 2016 UTC (0.010 )  Time stamp start 1475750847914865615 end 1475750847904865615  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:28 2016 UTC-Thu Oct  6 10:47:28 2016 UTC (0.020 )  Time stamp start 1475750848035053005 end 1475750848015178500  Run 310015, LB 121, lumi 0.00
