Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331462 to 331462
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331462 to run 331462  lasting from Tue Aug  1 21:31:30 2017 UTC to Wed Aug  2 08:35:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:16:16 2017 UTC-Wed Aug  2 05:16:16 2017 UTC (0.001 )  Time stamp start 1501650976779370190 end 1501650976778370190  Run 331462, LB 479, lumi 14.99
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:16:30 2017 UTC-Wed Aug  2 05:16:30 2017 UTC (0.001 )  Time stamp start 1501650990815259365 end 1501650990814259365  Run 331462, LB 480, lumi 14.95
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:17:09 2017 UTC-Wed Aug  2 05:17:09 2017 UTC (0.001 )  Time stamp start 1501651029613553205 end 1501651029612553205  Run 331462, LB 480, lumi 14.95
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:17:48 2017 UTC-Wed Aug  2 05:17:48 2017 UTC (0.001 )  Time stamp start 1501651068267568155 end 1501651068266568155  Run 331462, LB 481, lumi 14.90
Event Veto ['DataCorruption'], Wed Aug  2 05:18:39 2017 UTC-Wed Aug  2 05:18:40 2017 UTC (0.500 )  Time stamp start 1501651120363039465 end 1501651119862928510  Run 331462, LB 483, lumi 7462.94
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:19:45 2017 UTC-Wed Aug  2 05:19:45 2017 UTC (0.001 )  Time stamp start 1501651185658187635 end 1501651185657187635  Run 331462, LB 484, lumi 14.89
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:20:56 2017 UTC-Wed Aug  2 05:20:56 2017 UTC (0.001 )  Time stamp start 1501651256611567555 end 1501651256610567555  Run 331462, LB 485, lumi 14.86
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:21:15 2017 UTC-Wed Aug  2 05:21:15 2017 UTC (0.001 )  Time stamp start 1501651275951942335 end 1501651275950942335  Run 331462, LB 485, lumi 14.86
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:24:12 2017 UTC-Wed Aug  2 05:24:12 2017 UTC (0.001 )  Time stamp start 1501651452370590970 end 1501651452369590970  Run 331462, LB 489, lumi 14.77
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:24:49 2017 UTC-Wed Aug  2 05:24:49 2017 UTC (0.001 )  Time stamp start 1501651489872305275 end 1501651489871305275  Run 331462, LB 490, lumi 14.75
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:25:36 2017 UTC-Wed Aug  2 05:25:36 2017 UTC (0.001 )  Time stamp start 1501651536004306390 end 1501651536003306390  Run 331462, LB 490, lumi 14.75
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:26:15 2017 UTC-Wed Aug  2 05:26:15 2017 UTC (0.001 )  Time stamp start 1501651575118629065 end 1501651575117629065  Run 331462, LB 491, lumi 14.73
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:26:17 2017 UTC-Wed Aug  2 05:26:17 2017 UTC (0.001 )  Time stamp start 1501651577738121705 end 1501651577737121705  Run 331462, LB 491, lumi 14.73
Event Veto ['MiniNoiseBurst'], Wed Aug  2 05:26:29 2017 UTC-Wed Aug  2 05:26:29 2017 UTC (0.001 )  Time stamp start 1501651589979226065 end 1501651589978225565  Run 331462, LB 491, lumi 14.74
