Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['NoiseBurst'], Sun Jun 26 15:39:51 2016 UTC-Sun Jun 26 15:39:51 2016 UTC (0.010 )  Time stamp start 1466955591568457660 end 1466955591558284250  Run 302872, LB 183, lumi 102.14
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:39:52 2016 UTC-Sun Jun 26 15:39:52 2016 UTC (0.001 )  Time stamp start 1466955592365327530 end 1466955592364327085  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:19 2016 UTC-Sun Jun 26 15:40:19 2016 UTC (0.001 )  Time stamp start 1466955619740364960 end 1466955619739364835  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:22 2016 UTC-Sun Jun 26 15:40:22 2016 UTC (0.001 )  Time stamp start 1466955622364986315 end 1466955622363986315  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:25 2016 UTC-Sun Jun 26 15:40:25 2016 UTC (0.001 )  Time stamp start 1466955625889968055 end 1466955625888966710  Run 302872, LB 183, lumi 10.05
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:31 2016 UTC-Sun Jun 26 15:40:31 2016 UTC (0.001 )  Time stamp start 1466955631627884535 end 1466955631626884535  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:31 2016 UTC-Sun Jun 26 15:40:31 2016 UTC (0.001 )  Time stamp start 1466955631902582935 end 1466955631901582935  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:37 2016 UTC-Sun Jun 26 15:40:37 2016 UTC (0.001 )  Time stamp start 1466955637491701520 end 1466955637490701370  Run 302872, LB 183, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:40:53 2016 UTC-Sun Jun 26 15:40:53 2016 UTC (0.001 )  Time stamp start 1466955653007003845 end 1466955653006002920  Run 302872, LB 184, lumi 9.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:41:01 2016 UTC-Sun Jun 26 15:41:01 2016 UTC (0.001 )  Time stamp start 1466955661040084940 end 1466955661039083665  Run 302872, LB 184, lumi 9.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:41:38 2016 UTC-Sun Jun 26 15:41:39 2016 UTC (0.001 )  Time stamp start 1466955699000190870 end 1466955698999190870  Run 302872, LB 184, lumi 9.55
Event Veto ['NoiseBurst'], Sun Jun 26 15:41:40 2016 UTC-Sun Jun 26 15:41:40 2016 UTC (0.010 )  Time stamp start 1466955700587306200 end 1466955700577305675  Run 302872, LB 184, lumi 95.52
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:41:51 2016 UTC-Sun Jun 26 15:41:51 2016 UTC (0.001 )  Time stamp start 1466955711422487765 end 1466955711421487765  Run 302872, LB 185, lumi 10.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:42:02 2016 UTC-Sun Jun 26 15:42:02 2016 UTC (0.001 )  Time stamp start 1466955722634924030 end 1466955722633924030  Run 302872, LB 185, lumi 10.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:42:13 2016 UTC-Sun Jun 26 15:42:13 2016 UTC (0.001 )  Time stamp start 1466955733543782365 end 1466955733542782365  Run 302872, LB 185, lumi 10.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:42:13 2016 UTC-Sun Jun 26 15:42:13 2016 UTC (0.001 )  Time stamp start 1466955733954862180 end 1466955733953862055  Run 302872, LB 185, lumi 10.56
Event Veto ['NoiseBurst'], Sun Jun 26 15:42:15 2016 UTC-Sun Jun 26 15:42:15 2016 UTC (0.010 )  Time stamp start 1466955735358414025 end 1466955735348413105  Run 302872, LB 185, lumi 105.64
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:42:19 2016 UTC-Sun Jun 26 15:42:19 2016 UTC (0.001 )  Time stamp start 1466955739503580550 end 1466955739502580550  Run 302872, LB 185, lumi 10.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:42:41 2016 UTC-Sun Jun 26 15:42:41 2016 UTC (0.001 )  Time stamp start 1466955761785728375 end 1466955761784728375  Run 302872, LB 185, lumi 10.56
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:07 2016 UTC-Sun Jun 26 15:43:07 2016 UTC (0.001 )  Time stamp start 1466955787488942775 end 1466955787487942775  Run 302872, LB 186, lumi 10.66
Event Veto ['NoiseBurst'], Sun Jun 26 15:43:18 2016 UTC-Sun Jun 26 15:43:18 2016 UTC (0.010 )  Time stamp start 1466955798112952480 end 1466955798102951735  Run 302872, LB 186, lumi 106.64
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:43:26 2016 UTC-Sun Jun 26 15:43:26 2016 UTC (0.001 )  Time stamp start 1466955806388559985 end 1466955806387558490  Run 302872, LB 186, lumi 10.68
