Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337107 to 337107
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337107 to run 337107  lasting from Tue Oct  3 10:22:14 2017 UTC to Tue Oct  3 22:23:08 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:44 2017 UTC-Tue Oct  3 11:49:44 2017 UTC (0.001 )  Time stamp start 1507031384394434325 end 1507031384393434150  Run 337107, LB 94, lumi 16.86
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:46 2017 UTC-Tue Oct  3 11:49:46 2017 UTC (0.001 )  Time stamp start 1507031386651362430 end 1507031386650361310  Run 337107, LB 94, lumi 16.88
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:50 2017 UTC-Tue Oct  3 11:49:50 2017 UTC (0.001 )  Time stamp start 1507031390022728380 end 1507031390021727435  Run 337107, LB 95, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:52 2017 UTC-Tue Oct  3 11:49:52 2017 UTC (0.001 )  Time stamp start 1507031392331452975 end 1507031392330452975  Run 337107, LB 95, lumi 16.82
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:53 2017 UTC-Tue Oct  3 11:49:53 2017 UTC (0.001 )  Time stamp start 1507031393108802060 end 1507031393107800860  Run 337107, LB 95, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:55 2017 UTC-Tue Oct  3 11:49:55 2017 UTC (0.001 )  Time stamp start 1507031395261661280 end 1507031395260661280  Run 337107, LB 95, lumi 16.82
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:49:56 2017 UTC-Tue Oct  3 11:49:56 2017 UTC (0.001 )  Time stamp start 1507031396451400730 end 1507031396450399880  Run 337107, LB 95, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:00 2017 UTC-Tue Oct  3 11:50:00 2017 UTC (0.001 )  Time stamp start 1507031400570898745 end 1507031400569897825  Run 337107, LB 95, lumi 16.83
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:02 2017 UTC-Tue Oct  3 11:50:02 2017 UTC (0.001 )  Time stamp start 1507031402828812255 end 1507031402827811010  Run 337107, LB 95, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:06 2017 UTC-Tue Oct  3 11:50:06 2017 UTC (0.001 )  Time stamp start 1507031406197441935 end 1507031406196440740  Run 337107, LB 95, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:08 2017 UTC-Tue Oct  3 11:50:08 2017 UTC (0.001 )  Time stamp start 1507031408682372025 end 1507031408681371725  Run 337107, LB 95, lumi 16.82
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:11 2017 UTC-Tue Oct  3 11:50:11 2017 UTC (0.001 )  Time stamp start 1507031411891524455 end 1507031411890524155  Run 337107, LB 95, lumi 16.82
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:13 2017 UTC-Tue Oct  3 11:50:13 2017 UTC (0.001 )  Time stamp start 1507031413153717915 end 1507031413152717915  Run 337107, LB 95, lumi 16.82
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:50:14 2017 UTC-Tue Oct  3 11:50:14 2017 UTC (0.001 )  Time stamp start 1507031414195682390 end 1507031414194682265  Run 337107, LB 95, lumi 16.82
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:50:43 2017 UTC-Tue Oct  3 11:50:43 2017 UTC (0.001 )  Time stamp start 1507031443763827345 end 1507031443762827225  Run 337107, LB 95, lumi 16.82
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:44 2017 UTC-Tue Oct  3 11:50:44 2017 UTC (0.002 )  Time stamp start 1507031444553122020 end 1507031444551399650  Run 337107, LB 95, lumi 28.97
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:47 2017 UTC-Tue Oct  3 11:50:47 2017 UTC (0.001 )  Time stamp start 1507031447689635815 end 1507031447688634790  Run 337107, LB 95, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:49 2017 UTC-Tue Oct  3 11:50:49 2017 UTC (0.001 )  Time stamp start 1507031449830401810 end 1507031449829400610  Run 337107, LB 96, lumi 16.57
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:51 2017 UTC-Tue Oct  3 11:50:51 2017 UTC (0.001 )  Time stamp start 1507031451582898810 end 1507031451581898810  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:52 2017 UTC-Tue Oct  3 11:50:52 2017 UTC (0.001 )  Time stamp start 1507031452483473910 end 1507031452482472910  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:54 2017 UTC-Tue Oct  3 11:50:54 2017 UTC (0.001 )  Time stamp start 1507031454708262270 end 1507031454707261220  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:50:57 2017 UTC-Tue Oct  3 11:50:57 2017 UTC (0.001 )  Time stamp start 1507031457231707065 end 1507031457230706790  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:02 2017 UTC-Tue Oct  3 11:51:02 2017 UTC (0.001 )  Time stamp start 1507031462588954825 end 1507031462587953375  Run 337107, LB 96, lumi 16.57
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:06 2017 UTC-Tue Oct  3 11:51:06 2017 UTC (0.001 )  Time stamp start 1507031466131213605 end 1507031466130212535  Run 337107, LB 96, lumi 16.56
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:51:09 2017 UTC-Tue Oct  3 11:51:09 2017 UTC (0.001 )  Time stamp start 1507031469705406690 end 1507031469704406445  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:14 2017 UTC-Tue Oct  3 11:51:14 2017 UTC (0.002 )  Time stamp start 1507031474116532200 end 1507031474115024355  Run 337107, LB 96, lumi 24.95
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:15 2017 UTC-Tue Oct  3 11:51:15 2017 UTC (0.001 )  Time stamp start 1507031475979207975 end 1507031475978207975  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:16 2017 UTC-Tue Oct  3 11:51:16 2017 UTC (0.001 )  Time stamp start 1507031476176096635 end 1507031476175095315  Run 337107, LB 96, lumi 16.57
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:51:18 2017 UTC-Tue Oct  3 11:51:18 2017 UTC (0.001 )  Time stamp start 1507031478230519770 end 1507031478229519645  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:20 2017 UTC-Tue Oct  3 11:51:20 2017 UTC (0.001 )  Time stamp start 1507031480301250360 end 1507031480300249585  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:34 2017 UTC-Tue Oct  3 11:51:34 2017 UTC (0.001 )  Time stamp start 1507031494991299480 end 1507031494990298460  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:37 2017 UTC-Tue Oct  3 11:51:37 2017 UTC (0.001 )  Time stamp start 1507031497144951535 end 1507031497143950735  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:40 2017 UTC-Tue Oct  3 11:51:40 2017 UTC (0.001 )  Time stamp start 1507031500089036165 end 1507031500088035215  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:41 2017 UTC-Tue Oct  3 11:51:41 2017 UTC (0.001 )  Time stamp start 1507031501686554240 end 1507031501685554240  Run 337107, LB 96, lumi 16.55
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:43 2017 UTC-Tue Oct  3 11:51:43 2017 UTC (0.001 )  Time stamp start 1507031503237685350 end 1507031503236684525  Run 337107, LB 96, lumi 16.56
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:45 2017 UTC-Tue Oct  3 11:51:45 2017 UTC (0.001 )  Time stamp start 1507031505346514525 end 1507031505345228760  Run 337107, LB 96, lumi 21.27
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:48 2017 UTC-Tue Oct  3 11:51:48 2017 UTC (0.001 )  Time stamp start 1507031508680032845 end 1507031508679031700  Run 337107, LB 97, lumi 15.41
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:51:53 2017 UTC-Tue Oct  3 11:51:53 2017 UTC (0.001 )  Time stamp start 1507031513072279500 end 1507031513071278430  Run 337107, LB 97, lumi 15.41
