Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 18 00:36:37 2018 UTC-Fri May 18 00:36:37 2018 UTC (0.001 )  Time stamp start 1526603797500140505 end 1526603797499140505  Run 350531, LB 84, lumi 18.81
Event Veto ['NoiseBurst'], Fri May 18 00:37:13 2018 UTC-Fri May 18 00:37:13 2018 UTC (0.001 )  Time stamp start 1526603833432654390 end 1526603833431654265  Run 350531, LB 85, lumi 18.81
Event Veto ['MiniNoiseBurst'], Fri May 18 00:38:48 2018 UTC-Fri May 18 00:38:48 2018 UTC (0.001 )  Time stamp start 1526603928938682555 end 1526603928937682555  Run 350531, LB 86, lumi 18.79
Event Veto ['MiniNoiseBurst'], Fri May 18 00:39:03 2018 UTC-Fri May 18 00:39:03 2018 UTC (0.001 )  Time stamp start 1526603943306919285 end 1526603943305919285  Run 350531, LB 87, lumi 18.79
Event Veto ['MiniNoiseBurst'], Fri May 18 00:39:08 2018 UTC-Fri May 18 00:39:08 2018 UTC (0.001 )  Time stamp start 1526603948931902865 end 1526603948930902865  Run 350531, LB 87, lumi 18.79
Event Veto ['MiniNoiseBurst'], Fri May 18 00:39:08 2018 UTC-Fri May 18 00:39:08 2018 UTC (0.001 )  Time stamp start 1526603948935850375 end 1526603948934850375  Run 350531, LB 87, lumi 18.79
Event Veto ['MiniNoiseBurst'], Fri May 18 00:39:21 2018 UTC-Fri May 18 00:39:21 2018 UTC (0.001 )  Time stamp start 1526603961041168030 end 1526603961040168030  Run 350531, LB 87, lumi 18.79
Event Veto ['MiniNoiseBurst'], Fri May 18 00:45:50 2018 UTC-Fri May 18 00:45:50 2018 UTC (0.001 )  Time stamp start 1526604350762877865 end 1526604350761877865  Run 350531, LB 126, lumi 18.63
Event Veto ['MiniNoiseBurst'], Fri May 18 00:47:13 2018 UTC-Fri May 18 00:47:13 2018 UTC (0.001 )  Time stamp start 1526604433731475685 end 1526604433730475685  Run 350531, LB 128, lumi 18.22
Event Veto ['MiniNoiseBurst'], Fri May 18 00:48:07 2018 UTC-Fri May 18 00:48:07 2018 UTC (0.001 )  Time stamp start 1526604487738219600 end 1526604487737219600  Run 350531, LB 129, lumi 18.05
Event Veto ['NoiseBurst'], Fri May 18 00:48:15 2018 UTC-Fri May 18 00:48:15 2018 UTC (0.001 )  Time stamp start 1526604495438926340 end 1526604495437631200  Run 350531, LB 129, lumi 23.37
Event Veto ['MiniNoiseBurst'], Fri May 18 00:48:34 2018 UTC-Fri May 18 00:48:34 2018 UTC (0.001 )  Time stamp start 1526604514577538190 end 1526604514576538190  Run 350531, LB 129, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 18 00:48:44 2018 UTC-Fri May 18 00:48:44 2018 UTC (0.001 )  Time stamp start 1526604524384089750 end 1526604524383089750  Run 350531, LB 129, lumi 18.05
Event Veto ['MiniNoiseBurst'], Fri May 18 00:48:52 2018 UTC-Fri May 18 00:48:52 2018 UTC (0.001 )  Time stamp start 1526604532419112460 end 1526604532418112460  Run 350531, LB 129, lumi 18.05
Event Veto ['NoiseBurst'], Fri May 18 00:50:00 2018 UTC-Fri May 18 00:50:00 2018 UTC (0.001 )  Time stamp start 1526604600395955590 end 1526604600394954720  Run 350531, LB 130, lumi 17.98
Event Veto ['NoiseBurst'], Fri May 18 00:50:13 2018 UTC-Fri May 18 00:50:13 2018 UTC (0.001 )  Time stamp start 1526604613613874615 end 1526604613612874370  Run 350531, LB 131, lumi 17.91
Event Veto ['MiniNoiseBurst'], Fri May 18 00:50:28 2018 UTC-Fri May 18 00:50:28 2018 UTC (0.001 )  Time stamp start 1526604628282176290 end 1526604628281176290  Run 350531, LB 131, lumi 17.91
Event Veto ['MiniNoiseBurst'], Fri May 18 00:50:53 2018 UTC-Fri May 18 00:50:53 2018 UTC (0.001 )  Time stamp start 1526604653506412835 end 1526604653505412835  Run 350531, LB 131, lumi 17.91
Event Veto ['MiniNoiseBurst'], Fri May 18 00:51:39 2018 UTC-Fri May 18 00:51:39 2018 UTC (0.001 )  Time stamp start 1526604699082368910 end 1526604699081368910  Run 350531, LB 132, lumi 17.84
Event Veto ['MiniNoiseBurst'], Fri May 18 00:52:10 2018 UTC-Fri May 18 00:52:10 2018 UTC (0.001 )  Time stamp start 1526604730403716890 end 1526604730402716890  Run 350531, LB 133, lumi 17.75
Event Veto ['MiniNoiseBurst'], Fri May 18 00:53:07 2018 UTC-Fri May 18 00:53:07 2018 UTC (0.001 )  Time stamp start 1526604787058280180 end 1526604787057280180  Run 350531, LB 133, lumi 17.75
Event Veto ['MiniNoiseBurst'], Fri May 18 00:53:13 2018 UTC-Fri May 18 00:53:13 2018 UTC (0.001 )  Time stamp start 1526604793535921795 end 1526604793534921795  Run 350531, LB 134, lumi 17.78
Event Veto ['NoiseBurst'], Fri May 18 00:53:13 2018 UTC-Fri May 18 00:53:13 2018 UTC (0.002 )  Time stamp start 1526604793586852440 end 1526604793584949275  Run 350531, LB 134, lumi 33.83
Event Veto ['NoiseBurst'], Fri May 18 00:53:13 2018 UTC-Fri May 18 00:53:13 2018 UTC (0.002 )  Time stamp start 1526604793592761845 end 1526604793590990070  Run 350531, LB 134, lumi 31.50
Event Veto ['NoiseBurst'], Fri May 18 00:53:13 2018 UTC-Fri May 18 00:53:13 2018 UTC (0.002 )  Time stamp start 1526604793604165085 end 1526604793602242405  Run 350531, LB 134, lumi 34.18
Event Veto ['MiniNoiseBurst'], Fri May 18 00:53:22 2018 UTC-Fri May 18 00:53:22 2018 UTC (0.001 )  Time stamp start 1526604802597619650 end 1526604802596135630  Run 350531, LB 134, lumi 26.38
Event Veto ['MiniNoiseBurst'], Fri May 18 00:53:24 2018 UTC-Fri May 18 00:53:24 2018 UTC (0.001 )  Time stamp start 1526604804037620295 end 1526604804036620295  Run 350531, LB 134, lumi 17.78
Event Veto ['MiniNoiseBurst'], Fri May 18 00:54:24 2018 UTC-Fri May 18 00:54:24 2018 UTC (0.001 )  Time stamp start 1526604864934751870 end 1526604864933748025  Run 350531, LB 135, lumi 17.76
Event Veto ['MiniNoiseBurst'], Fri May 18 00:54:26 2018 UTC-Fri May 18 00:54:26 2018 UTC (0.001 )  Time stamp start 1526604866131327945 end 1526604866130327945  Run 350531, LB 135, lumi 17.69
Event Veto ['MiniNoiseBurst'], Fri May 18 00:54:49 2018 UTC-Fri May 18 00:54:49 2018 UTC (0.001 )  Time stamp start 1526604889958981320 end 1526604889957981320  Run 350531, LB 135, lumi 17.69
Event Veto ['MiniNoiseBurst'], Fri May 18 00:54:51 2018 UTC-Fri May 18 00:54:51 2018 UTC (0.001 )  Time stamp start 1526604891924448115 end 1526604891923448115  Run 350531, LB 135, lumi 17.69
