Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349327 to 349327
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349327 to run 349327  lasting from Tue May  1 23:00:17 2018 UTC to Wed May  2 06:30:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 04:31:14 2018 UTC-Wed May  2 04:31:14 2018 UTC (0.001 )  Time stamp start 1525235474763944535 end 1525235474762944535  Run 349327, LB 342, lumi 14.32
Event Veto ['MiniNoiseBurst'], Wed May  2 04:31:17 2018 UTC-Wed May  2 04:31:17 2018 UTC (0.001 )  Time stamp start 1525235477945063725 end 1525235477944063725  Run 349327, LB 343, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:31:28 2018 UTC-Wed May  2 04:31:28 2018 UTC (0.001 )  Time stamp start 1525235488529329375 end 1525235488528329375  Run 349327, LB 343, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:31:51 2018 UTC-Wed May  2 04:31:51 2018 UTC (0.001 )  Time stamp start 1525235511540420200 end 1525235511539420200  Run 349327, LB 343, lumi 14.31
Event Veto ['NoiseBurst'], Wed May  2 04:32:19 2018 UTC-Wed May  2 04:32:19 2018 UTC (0.001 )  Time stamp start 1525235539109409745 end 1525235539108408995  Run 349327, LB 344, lumi 14.32
Event Veto ['MiniNoiseBurst'], Wed May  2 04:32:23 2018 UTC-Wed May  2 04:32:23 2018 UTC (0.001 )  Time stamp start 1525235543104762465 end 1525235543103762465  Run 349327, LB 344, lumi 14.31
Event Veto ['NoiseBurst'], Wed May  2 04:32:39 2018 UTC-Wed May  2 04:32:39 2018 UTC (0.001 )  Time stamp start 1525235559747374160 end 1525235559746283965  Run 349327, LB 344, lumi 15.60
Event Veto ['MiniNoiseBurst'], Wed May  2 04:33:15 2018 UTC-Wed May  2 04:33:15 2018 UTC (0.001 )  Time stamp start 1525235595713856470 end 1525235595712856470  Run 349327, LB 345, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed May  2 04:34:07 2018 UTC-Wed May  2 04:34:07 2018 UTC (0.001 )  Time stamp start 1525235647427111265 end 1525235647426111265  Run 349327, LB 346, lumi 14.32
Event Veto ['MiniNoiseBurst'], Wed May  2 04:34:19 2018 UTC-Wed May  2 04:34:19 2018 UTC (0.001 )  Time stamp start 1525235659752104285 end 1525235659751104285  Run 349327, LB 346, lumi 14.32
