Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355273 to 355273
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355273 to run 355273  lasting from Sun Jul  8 18:03:20 2018 UTC to Mon Jul  9 02:08:27 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:11:22 2018 UTC-Sun Jul  8 21:11:22 2018 UTC (0.001 )  Time stamp start 1531084282617251910 end 1531084282616251910  Run 355273, LB 264, lumi 16.19
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:11:52 2018 UTC-Sun Jul  8 21:11:52 2018 UTC (0.001 )  Time stamp start 1531084312335869340 end 1531084312334869340  Run 355273, LB 265, lumi 16.17
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:12:37 2018 UTC-Sun Jul  8 21:12:37 2018 UTC (0.001 )  Time stamp start 1531084357885026510 end 1531084357884026510  Run 355273, LB 266, lumi 16.12
Event Veto ['NoiseBurst'], Sun Jul  8 21:13:20 2018 UTC-Sun Jul  8 21:13:20 2018 UTC (0.001 )  Time stamp start 1531084400579257475 end 1531084400578256950  Run 355273, LB 266, lumi 16.13
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:13:25 2018 UTC-Sun Jul  8 21:13:25 2018 UTC (0.001 )  Time stamp start 1531084405066528405 end 1531084405065528405  Run 355273, LB 266, lumi 16.12
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:13:27 2018 UTC-Sun Jul  8 21:13:27 2018 UTC (0.001 )  Time stamp start 1531084407898077260 end 1531084407897077260  Run 355273, LB 266, lumi 16.12
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:14:08 2018 UTC-Sun Jul  8 21:14:08 2018 UTC (0.001 )  Time stamp start 1531084448897458330 end 1531084448896458330  Run 355273, LB 268, lumi 16.06
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:14:44 2018 UTC-Sun Jul  8 21:14:44 2018 UTC (0.001 )  Time stamp start 1531084484534107525 end 1531084484533107525  Run 355273, LB 268, lumi 16.06
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:15:09 2018 UTC-Sun Jul  8 21:15:09 2018 UTC (0.001 )  Time stamp start 1531084509575796390 end 1531084509574796390  Run 355273, LB 269, lumi 16.07
Event Veto ['MiniNoiseBurst'], Sun Jul  8 21:15:10 2018 UTC-Sun Jul  8 21:15:10 2018 UTC (0.001 )  Time stamp start 1531084510484085675 end 1531084510483085675  Run 355273, LB 269, lumi 16.07
