Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359872 to 359872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359872 to run 359872  lasting from Tue Sep  4 05:16:22 2018 UTC to Tue Sep  4 18:30:31 2018 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 06:58:42 2018 UTC-Tue Sep  4 06:58:42 2018 UTC (0.001 )  Time stamp start 1536044322545802805 end 1536044322544802805  Run 359872, LB 109, lumi 17.89
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:59:00 2018 UTC-Tue Sep  4 06:59:00 2018 UTC (0.001 )  Time stamp start 1536044340522438545 end 1536044340521438545  Run 359872, LB 109, lumi 17.89
Event Veto ['NoiseBurst'], Tue Sep  4 06:59:27 2018 UTC-Tue Sep  4 06:59:27 2018 UTC (0.001 )  Time stamp start 1536044367213987995 end 1536044367212987470  Run 359872, LB 110, lumi 17.86
Event Veto ['NoiseBurst'], Tue Sep  4 06:59:31 2018 UTC-Tue Sep  4 06:59:31 2018 UTC (0.001 )  Time stamp start 1536044371579677420 end 1536044371578676295  Run 359872, LB 110, lumi 17.87
Event Veto ['NoiseBurst'], Tue Sep  4 06:59:48 2018 UTC-Tue Sep  4 06:59:48 2018 UTC (0.001 )  Time stamp start 1536044388292674205 end 1536044388291597235  Run 359872, LB 110, lumi 19.23
Event Veto ['NoiseBurst'], Tue Sep  4 07:00:51 2018 UTC-Tue Sep  4 07:00:51 2018 UTC (0.002 )  Time stamp start 1536044451113519470 end 1536044451111465230  Run 359872, LB 111, lumi 36.60
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:01:09 2018 UTC-Tue Sep  4 07:01:09 2018 UTC (0.001 )  Time stamp start 1536044469554330455 end 1536044469553330455  Run 359872, LB 111, lumi 17.82
Event Veto ['DataCorruption'], Tue Sep  4 07:02:29 2018 UTC-Tue Sep  4 07:02:32 2018 UTC (2.420 )  Time stamp start 1536044552151579555 end 1536044549731905495  Run 359872, LB 113, lumi 42837.69
Event Veto ['NoiseBurst'], Tue Sep  4 07:03:19 2018 UTC-Tue Sep  4 07:03:19 2018 UTC (0.001 )  Time stamp start 1536044599770179710 end 1536044599769099795  Run 359872, LB 113, lumi 19.12
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:04:08 2018 UTC-Tue Sep  4 07:04:08 2018 UTC (0.001 )  Time stamp start 1536044648781157760 end 1536044648780157760  Run 359872, LB 114, lumi 17.73
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:06:37 2018 UTC-Tue Sep  4 07:06:37 2018 UTC (0.001 )  Time stamp start 1536044797914633650 end 1536044797913633650  Run 359872, LB 117, lumi 17.63
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:07:13 2018 UTC-Tue Sep  4 07:07:13 2018 UTC (0.001 )  Time stamp start 1536044833211123280 end 1536044833210123280  Run 359872, LB 117, lumi 17.63
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:11:08 2018 UTC-Tue Sep  4 07:11:08 2018 UTC (0.001 )  Time stamp start 1536045068263341795 end 1536045068262341795  Run 359872, LB 121, lumi 17.47
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:12:19 2018 UTC-Tue Sep  4 07:12:19 2018 UTC (0.001 )  Time stamp start 1536045139962110215 end 1536045139961110215  Run 359872, LB 122, lumi 17.43
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 07:13:45 2018 UTC-Tue Sep  4 07:13:45 2018 UTC (0.001 )  Time stamp start 1536045225971678775 end 1536045225970678775  Run 359872, LB 124, lumi 17.36
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:15:31 2018 UTC-Tue Sep  4 07:15:31 2018 UTC (0.001 )  Time stamp start 1536045331324770815 end 1536045331323770815  Run 359872, LB 126, lumi 17.30
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:16:56 2018 UTC-Tue Sep  4 07:16:56 2018 UTC (0.001 )  Time stamp start 1536045416334786845 end 1536045416333786845  Run 359872, LB 128, lumi 17.23
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 07:19:46 2018 UTC-Tue Sep  4 07:19:46 2018 UTC (0.001 )  Time stamp start 1536045586897569985 end 1536045586896569985  Run 359872, LB 130, lumi 17.22
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:20:20 2018 UTC-Tue Sep  4 07:20:20 2018 UTC (0.001 )  Time stamp start 1536045620105851405 end 1536045620104851405  Run 359872, LB 131, lumi 17.16
Event Veto ['NoiseBurst'], Tue Sep  4 07:20:39 2018 UTC-Tue Sep  4 07:20:40 2018 UTC (0.227 )  Time stamp start 1536045640016162315 end 1536045639789080290  Run 359872, LB 131, lumi 3897.80
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:21:03 2018 UTC-Tue Sep  4 07:21:03 2018 UTC (0.001 )  Time stamp start 1536045663955583425 end 1536045663954583425  Run 359872, LB 132, lumi 17.12
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:24:49 2018 UTC-Tue Sep  4 07:24:49 2018 UTC (0.001 )  Time stamp start 1536045889198512440 end 1536045889197512440  Run 359872, LB 135, lumi 17.03
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:25:03 2018 UTC-Tue Sep  4 07:25:03 2018 UTC (0.001 )  Time stamp start 1536045903008940070 end 1536045903007940070  Run 359872, LB 136, lumi 16.98
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:25:53 2018 UTC-Tue Sep  4 07:25:53 2018 UTC (0.001 )  Time stamp start 1536045953750321060 end 1536045953749321060  Run 359872, LB 136, lumi 16.98
Event Veto ['NoiseBurst'], Tue Sep  4 07:29:44 2018 UTC-Tue Sep  4 07:29:44 2018 UTC (0.001 )  Time stamp start 1536046184738499700 end 1536046184737498955  Run 359872, LB 141, lumi 16.85
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:29:49 2018 UTC-Tue Sep  4 07:29:49 2018 UTC (0.001 )  Time stamp start 1536046189084799310 end 1536046189083799310  Run 359872, LB 141, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:29:50 2018 UTC-Tue Sep  4 07:29:50 2018 UTC (0.001 )  Time stamp start 1536046190053163965 end 1536046190052163965  Run 359872, LB 141, lumi 16.84
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:30:06 2018 UTC-Tue Sep  4 07:30:06 2018 UTC (0.001 )  Time stamp start 1536046206858025230 end 1536046206857025230  Run 359872, LB 141, lumi 16.84
Event Veto ['NoiseBurst'], Tue Sep  4 07:30:54 2018 UTC-Tue Sep  4 07:30:54 2018 UTC (0.001 )  Time stamp start 1536046254721138290 end 1536046254720137665  Run 359872, LB 142, lumi 16.80
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:32:40 2018 UTC-Tue Sep  4 07:32:40 2018 UTC (0.001 )  Time stamp start 1536046360989437435 end 1536046360988437435  Run 359872, LB 144, lumi 16.79
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:34:07 2018 UTC-Tue Sep  4 07:34:07 2018 UTC (0.001 )  Time stamp start 1536046447776923460 end 1536046447775923460  Run 359872, LB 145, lumi 16.74
Event Veto ['NoiseBurst'], Tue Sep  4 07:35:47 2018 UTC-Tue Sep  4 07:35:47 2018 UTC (0.001 )  Time stamp start 1536046547463791910 end 1536046547462791540  Run 359872, LB 147, lumi 16.68
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:38:13 2018 UTC-Tue Sep  4 07:38:13 2018 UTC (0.001 )  Time stamp start 1536046693516268020 end 1536046693515268020  Run 359872, LB 149, lumi 16.61
Event Veto ['NoiseBurst'], Tue Sep  4 07:38:31 2018 UTC-Tue Sep  4 07:38:31 2018 UTC (0.001 )  Time stamp start 1536046711477352280 end 1536046711476351780  Run 359872, LB 150, lumi 16.40
Event Veto ['NoiseBurst'], Tue Sep  4 07:42:03 2018 UTC-Tue Sep  4 07:42:03 2018 UTC (0.002 )  Time stamp start 1536046923149724800 end 1536046923147772105  Run 359872, LB 154, lumi 32.28
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 07:44:53 2018 UTC-Tue Sep  4 07:44:53 2018 UTC (0.001 )  Time stamp start 1536047093026681640 end 1536047093025681640  Run 359872, LB 157, lumi 16.48
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:45:17 2018 UTC-Tue Sep  4 07:45:17 2018 UTC (0.001 )  Time stamp start 1536047117684311215 end 1536047117683311215  Run 359872, LB 157, lumi 16.48
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:45:29 2018 UTC-Tue Sep  4 07:45:29 2018 UTC (0.001 )  Time stamp start 1536047129150294920 end 1536047129149294545  Run 359872, LB 157, lumi 16.49
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Sep  4 07:46:14 2018 UTC-Tue Sep  4 07:46:14 2018 UTC (0.001 )  Time stamp start 1536047174049343910 end 1536047174048343910  Run 359872, LB 158, lumi 16.46
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:46:34 2018 UTC-Tue Sep  4 07:46:34 2018 UTC (0.001 )  Time stamp start 1536047194252967100 end 1536047194251967100  Run 359872, LB 159, lumi 16.42
Event Veto ['NoiseBurst'], Tue Sep  4 07:47:11 2018 UTC-Tue Sep  4 07:47:11 2018 UTC (0.003 )  Time stamp start 1536047231396840855 end 1536047231394082155  Run 359872, LB 159, lumi 45.29
Event Veto ['NoiseBurst'], Tue Sep  4 07:47:11 2018 UTC-Tue Sep  4 07:47:11 2018 UTC (0.002 )  Time stamp start 1536047231400679905 end 1536047231399179390  Run 359872, LB 159, lumi 24.64
Event Veto ['NoiseBurst'], Tue Sep  4 07:47:11 2018 UTC-Tue Sep  4 07:47:11 2018 UTC (0.005 )  Time stamp start 1536047231407112925 end 1536047231402029115  Run 359872, LB 159, lumi 83.47
Event Veto ['NoiseBurst'], Tue Sep  4 07:47:11 2018 UTC-Tue Sep  4 07:47:11 2018 UTC (0.003 )  Time stamp start 1536047231411390255 end 1536047231408517380  Run 359872, LB 159, lumi 47.17
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:47:37 2018 UTC-Tue Sep  4 07:47:37 2018 UTC (0.001 )  Time stamp start 1536047257612946900 end 1536047257611927685  Run 359872, LB 160, lumi 16.71
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:49:06 2018 UTC-Tue Sep  4 07:49:06 2018 UTC (0.001 )  Time stamp start 1536047346791548730 end 1536047346790548730  Run 359872, LB 161, lumi 16.37
Event Veto ['NoiseBurst'], Tue Sep  4 07:49:46 2018 UTC-Tue Sep  4 07:49:46 2018 UTC (0.001 )  Time stamp start 1536047386580580035 end 1536047386579579910  Run 359872, LB 162, lumi 16.38
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:51:43 2018 UTC-Tue Sep  4 07:51:43 2018 UTC (0.001 )  Time stamp start 1536047503320009160 end 1536047503319009160  Run 359872, LB 164, lumi 16.29
Event Veto ['MiniNoiseBurst'], Tue Sep  4 07:53:02 2018 UTC-Tue Sep  4 07:53:02 2018 UTC (0.001 )  Time stamp start 1536047582368531020 end 1536047582367531020  Run 359872, LB 165, lumi 16.28
