Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:12 2018 UTC-Sat May 12 03:02:12 2018 UTC (0.001 )  Time stamp start 1526094132820828855 end 1526094132819828855  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:15 2018 UTC-Sat May 12 03:02:15 2018 UTC (0.001 )  Time stamp start 1526094135836608085 end 1526094135835608085  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:15 2018 UTC-Sat May 12 03:02:15 2018 UTC (0.001 )  Time stamp start 1526094135921857475 end 1526094135920857475  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:18 2018 UTC-Sat May 12 03:02:18 2018 UTC (0.001 )  Time stamp start 1526094138835950045 end 1526094138834950045  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:27 2018 UTC-Sat May 12 03:02:27 2018 UTC (0.001 )  Time stamp start 1526094147675090320 end 1526094147674090320  Run 350121, LB 70, lumi 19.71
Event Veto ['MiniNoiseBurst'], Sat May 12 03:02:34 2018 UTC-Sat May 12 03:02:34 2018 UTC (0.001 )  Time stamp start 1526094154522624265 end 1526094154521624265  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:06 2018 UTC-Sat May 12 03:03:06 2018 UTC (0.001 )  Time stamp start 1526094186316302200 end 1526094186315302200  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:08 2018 UTC-Sat May 12 03:03:08 2018 UTC (0.001 )  Time stamp start 1526094188300393315 end 1526094188299393315  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:09 2018 UTC-Sat May 12 03:03:09 2018 UTC (0.001 )  Time stamp start 1526094189989794155 end 1526094189988794155  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:12 2018 UTC-Sat May 12 03:03:12 2018 UTC (0.001 )  Time stamp start 1526094192741715580 end 1526094192740715580  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:17 2018 UTC-Sat May 12 03:03:17 2018 UTC (0.001 )  Time stamp start 1526094197589029005 end 1526094197588029005  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:25 2018 UTC-Sat May 12 03:03:25 2018 UTC (0.001 )  Time stamp start 1526094205724941970 end 1526094205723941970  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:28 2018 UTC-Sat May 12 03:03:28 2018 UTC (0.001 )  Time stamp start 1526094208563288615 end 1526094208562288615  Run 350121, LB 71, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:39 2018 UTC-Sat May 12 03:03:39 2018 UTC (0.001 )  Time stamp start 1526094219253772965 end 1526094219252772965  Run 350121, LB 72, lumi 19.64
Event Veto ['MiniNoiseBurst'], Sat May 12 03:03:56 2018 UTC-Sat May 12 03:03:56 2018 UTC (0.001 )  Time stamp start 1526094236710874700 end 1526094236709874700  Run 350121, LB 72, lumi 19.64
Event Veto ['MiniNoiseBurst'], Sat May 12 03:04:09 2018 UTC-Sat May 12 03:04:09 2018 UTC (0.001 )  Time stamp start 1526094249112781785 end 1526094249111387740  Run 350121, LB 72, lumi 27.38
