Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331975 to 331975
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331975 to run 331975  lasting from Wed Aug  9 03:25:56 2017 UTC to Wed Aug  9 19:24:48 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:48:43 2017 UTC-Wed Aug  9 04:48:43 2017 UTC (0.001 )  Time stamp start 1502254123892596295 end 1502254123891596295  Run 331975, LB 89, lumi 13.80
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:45 2017 UTC-Wed Aug  9 04:48:45 2017 UTC (0.001 )  Time stamp start 1502254125389322900 end 1502254125388322080  Run 331975, LB 89, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:48:47 2017 UTC-Wed Aug  9 04:48:47 2017 UTC (0.001 )  Time stamp start 1502254127148791945 end 1502254127147791770  Run 331975, LB 89, lumi 13.81
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:25 2017 UTC-Wed Aug  9 04:49:25 2017 UTC (0.001 )  Time stamp start 1502254165602747430 end 1502254165601747305  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:32 2017 UTC-Wed Aug  9 04:49:32 2017 UTC (0.001 )  Time stamp start 1502254172440865865 end 1502254172439864740  Run 331975, LB 90, lumi 15.04
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:33 2017 UTC-Wed Aug  9 04:49:33 2017 UTC (0.001 )  Time stamp start 1502254173969064910 end 1502254173968064910  Run 331975, LB 90, lumi 15.02
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:35 2017 UTC-Wed Aug  9 04:49:35 2017 UTC (0.001 )  Time stamp start 1502254175502240150 end 1502254175501240150  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:37 2017 UTC-Wed Aug  9 04:49:37 2017 UTC (0.001 )  Time stamp start 1502254177137950960 end 1502254177136949685  Run 331975, LB 90, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:38 2017 UTC-Wed Aug  9 04:49:38 2017 UTC (0.001 )  Time stamp start 1502254178557224580 end 1502254178556223510  Run 331975, LB 90, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:40 2017 UTC-Wed Aug  9 04:49:40 2017 UTC (0.001 )  Time stamp start 1502254180155646310 end 1502254180154646010  Run 331975, LB 90, lumi 15.02
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:45 2017 UTC-Wed Aug  9 04:49:45 2017 UTC (0.001 )  Time stamp start 1502254185429808815 end 1502254185428808690  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:47 2017 UTC-Wed Aug  9 04:49:47 2017 UTC (0.001 )  Time stamp start 1502254187067180695 end 1502254187066180345  Run 331975, LB 90, lumi 15.03
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:48 2017 UTC-Wed Aug  9 04:49:48 2017 UTC (0.001 )  Time stamp start 1502254188722099205 end 1502254188721099205  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:50 2017 UTC-Wed Aug  9 04:49:50 2017 UTC (0.001 )  Time stamp start 1502254190429735855 end 1502254190428734905  Run 331975, LB 90, lumi 15.03
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:51 2017 UTC-Wed Aug  9 04:49:51 2017 UTC (0.001 )  Time stamp start 1502254191313363790 end 1502254191312363465  Run 331975, LB 90, lumi 15.03
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:52 2017 UTC-Wed Aug  9 04:49:52 2017 UTC (0.001 )  Time stamp start 1502254192042443005 end 1502254192041443005  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:53 2017 UTC-Wed Aug  9 04:49:53 2017 UTC (0.001 )  Time stamp start 1502254193706035660 end 1502254193705034415  Run 331975, LB 90, lumi 15.04
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:55 2017 UTC-Wed Aug  9 04:49:55 2017 UTC (0.001 )  Time stamp start 1502254195318425960 end 1502254195317425960  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:49:57 2017 UTC-Wed Aug  9 04:49:57 2017 UTC (0.001 )  Time stamp start 1502254197367602250 end 1502254197366600880  Run 331975, LB 90, lumi 15.04
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:49:58 2017 UTC-Wed Aug  9 04:49:58 2017 UTC (0.001 )  Time stamp start 1502254198976691690 end 1502254198975691570  Run 331975, LB 90, lumi 15.02
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:50:00 2017 UTC-Wed Aug  9 04:50:00 2017 UTC (0.001 )  Time stamp start 1502254200550694930 end 1502254200549694930  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:50:02 2017 UTC-Wed Aug  9 04:50:02 2017 UTC (0.001 )  Time stamp start 1502254202297470160 end 1502254202296470160  Run 331975, LB 90, lumi 15.02
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:50:03 2017 UTC-Wed Aug  9 04:50:03 2017 UTC (0.001 )  Time stamp start 1502254203896763165 end 1502254203895762095  Run 331975, LB 90, lumi 15.04
