Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303291 to 303291
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303291 to run 303291  lasting from Mon Jul  4 10:20:26 2016 UTC to Mon Jul  4 17:57:04 2016 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:34:45 2016 UTC-Mon Jul  4 11:34:45 2016 UTC (0.001 )  Time stamp start 1467632085717953640 end 1467632085716953640  Run 303291, LB 86, lumi 9.54
Event Veto ['NoiseBurst'], Mon Jul  4 11:34:50 2016 UTC-Mon Jul  4 11:34:50 2016 UTC (0.010 )  Time stamp start 1467632090510306905 end 1467632090500306155  Run 303291, LB 86, lumi 95.39
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:34:52 2016 UTC-Mon Jul  4 11:34:52 2016 UTC (0.001 )  Time stamp start 1467632092462189550 end 1467632092461188475  Run 303291, LB 86, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:35:04 2016 UTC-Mon Jul  4 11:35:04 2016 UTC (0.001 )  Time stamp start 1467632104491669495 end 1467632104490669370  Run 303291, LB 86, lumi 9.54
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:35:10 2016 UTC-Mon Jul  4 11:35:10 2016 UTC (0.001 )  Time stamp start 1467632110677365760 end 1467632110676365760  Run 303291, LB 86, lumi 9.54
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:35:22 2016 UTC-Mon Jul  4 11:35:22 2016 UTC (0.001 )  Time stamp start 1467632122410133880 end 1467632122409133755  Run 303291, LB 87, lumi 9.53
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:35:33 2016 UTC-Mon Jul  4 11:35:33 2016 UTC (0.001 )  Time stamp start 1467632133995729390 end 1467632133994729090  Run 303291, LB 87, lumi 9.53
Event Veto ['NoiseBurst'], Mon Jul  4 11:35:34 2016 UTC-Mon Jul  4 11:35:34 2016 UTC (0.010 )  Time stamp start 1467632134841334685 end 1467632134831067190  Run 303291, LB 87, lumi 97.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:35:40 2016 UTC-Mon Jul  4 11:35:40 2016 UTC (0.001 )  Time stamp start 1467632140316019775 end 1467632140315019775  Run 303291, LB 87, lumi 9.53
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:35:52 2016 UTC-Mon Jul  4 11:35:52 2016 UTC (0.001 )  Time stamp start 1467632152248052860 end 1467632152247052735  Run 303291, LB 87, lumi 9.53
