Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357409 to 357409
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357409 to run 357409  lasting from Thu Aug  2 21:25:56 2018 UTC to Fri Aug  3 20:38:29 2018 UTC
Event Veto ['NoiseBurst'], Fri Aug  3 09:16:24 2018 UTC-Fri Aug  3 09:16:24 2018 UTC (0.001 )  Time stamp start 1533287784096688280 end 1533287784095573830  Run 357409, LB 753, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:18:38 2018 UTC-Fri Aug  3 09:18:38 2018 UTC (0.001 )  Time stamp start 1533287918878129910 end 1533287918877129910  Run 357409, LB 755, lumi 13.61
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:22:24 2018 UTC-Fri Aug  3 09:22:24 2018 UTC (0.001 )  Time stamp start 1533288144277462435 end 1533288144276462435  Run 357409, LB 759, lumi 13.45
Event Veto ['NoiseBurst'], Fri Aug  3 09:30:30 2018 UTC-Fri Aug  3 09:30:30 2018 UTC (0.001 )  Time stamp start 1533288630561298045 end 1533288630560297720  Run 357409, LB 767, lumi 13.28
Event Veto ['NoiseBurst'], Fri Aug  3 09:32:06 2018 UTC-Fri Aug  3 09:32:06 2018 UTC (0.001 )  Time stamp start 1533288726306194965 end 1533288726305194840  Run 357409, LB 769, lumi 13.18
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:32:31 2018 UTC-Fri Aug  3 09:32:31 2018 UTC (0.001 )  Time stamp start 1533288751021601530 end 1533288751020601530  Run 357409, LB 769, lumi 13.18
Event Veto ['NoiseBurst'], Fri Aug  3 09:34:50 2018 UTC-Fri Aug  3 09:34:50 2018 UTC (0.001 )  Time stamp start 1533288890276570085 end 1533288890275498430  Run 357409, LB 771, lumi 14.05
Event Veto ['NoiseBurst'], Fri Aug  3 09:34:57 2018 UTC-Fri Aug  3 09:34:57 2018 UTC (0.001 )  Time stamp start 1533288897760660840 end 1533288897759598735  Run 357409, LB 772, lumi 13.89
Event Veto ['NoiseBurst'], Fri Aug  3 09:44:11 2018 UTC-Fri Aug  3 09:44:11 2018 UTC (0.002 )  Time stamp start 1533289451725999980 end 1533289451724490885  Run 357409, LB 781, lumi 19.29
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:45:15 2018 UTC-Fri Aug  3 09:45:15 2018 UTC (0.001 )  Time stamp start 1533289515872828475 end 1533289515871828105  Run 357409, LB 782, lumi 12.74
Event Veto ['NoiseBurst'], Fri Aug  3 09:46:56 2018 UTC-Fri Aug  3 09:46:56 2018 UTC (0.001 )  Time stamp start 1533289616262923245 end 1533289616261922695  Run 357409, LB 784, lumi 12.70
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:48:50 2018 UTC-Fri Aug  3 09:48:50 2018 UTC (0.001 )  Time stamp start 1533289730743808570 end 1533289730742808570  Run 357409, LB 786, lumi 12.60
Event Veto ['NoiseBurst'], Fri Aug  3 09:52:08 2018 UTC-Fri Aug  3 09:52:08 2018 UTC (0.001 )  Time stamp start 1533289928923327655 end 1533289928922326655  Run 357409, LB 790, lumi 12.51
Event Veto ['NoiseBurst'], Fri Aug  3 09:52:12 2018 UTC-Fri Aug  3 09:52:12 2018 UTC (0.001 )  Time stamp start 1533289932107129835 end 1533289932106128960  Run 357409, LB 790, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:55:48 2018 UTC-Fri Aug  3 09:55:48 2018 UTC (0.001 )  Time stamp start 1533290148678435415 end 1533290148677435415  Run 357409, LB 793, lumi 12.33
Event Veto ['MiniNoiseBurst'], Fri Aug  3 09:56:08 2018 UTC-Fri Aug  3 09:56:08 2018 UTC (0.001 )  Time stamp start 1533290168500141865 end 1533290168499141865  Run 357409, LB 793, lumi 12.33
Event Veto ['NoiseBurst'], Fri Aug  3 09:56:56 2018 UTC-Fri Aug  3 09:56:56 2018 UTC (0.001 )  Time stamp start 1533290216771286920 end 1533290216770250465  Run 357409, LB 794, lumi 12.78
Event Veto ['MiniNoiseBurst'], Fri Aug  3 10:02:55 2018 UTC-Fri Aug  3 10:02:55 2018 UTC (0.001 )  Time stamp start 1533290575176957345 end 1533290575175957345  Run 357409, LB 800, lumi 12.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  3 10:05:14 2018 UTC-Fri Aug  3 10:05:14 2018 UTC (0.001 )  Time stamp start 1533290714346888330 end 1533290714345888330  Run 357409, LB 803, lumi 12.09
Event Veto ['NoiseBurst'], Fri Aug  3 10:06:52 2018 UTC-Fri Aug  3 10:06:52 2018 UTC (0.001 )  Time stamp start 1533290812949846085 end 1533290812948845960  Run 357409, LB 806, lumi 13.00
Event Veto ['NoiseBurst'], Fri Aug  3 10:08:31 2018 UTC-Fri Aug  3 10:08:31 2018 UTC (0.001 )  Time stamp start 1533290911979044330 end 1533290911978044205  Run 357409, LB 807, lumi 12.97
Event Veto ['MiniNoiseBurst'], Fri Aug  3 10:13:47 2018 UTC-Fri Aug  3 10:13:47 2018 UTC (0.001 )  Time stamp start 1533291227451406700 end 1533291227450406700  Run 357409, LB 813, lumi 12.81
Event Veto ['MiniNoiseBurst'], Fri Aug  3 10:20:23 2018 UTC-Fri Aug  3 10:20:23 2018 UTC (0.001 )  Time stamp start 1533291623766602550 end 1533291623765602550  Run 357409, LB 819, lumi 12.72
Event Veto ['NoiseBurst'], Fri Aug  3 10:21:28 2018 UTC-Fri Aug  3 10:21:28 2018 UTC (0.001 )  Time stamp start 1533291688050643375 end 1533291688049642600  Run 357409, LB 820, lumi 12.70
Event Veto ['NoiseBurst'], Fri Aug  3 10:24:57 2018 UTC-Fri Aug  3 10:24:57 2018 UTC (0.001 )  Time stamp start 1533291897118108080 end 1533291897117107335  Run 357409, LB 824, lumi 12.61
Event Veto ['NoiseBurst'], Fri Aug  3 10:25:22 2018 UTC-Fri Aug  3 10:25:22 2018 UTC (0.001 )  Time stamp start 1533291922111556045 end 1533291922110555420  Run 357409, LB 824, lumi 12.61
Event Veto ['NoiseBurst'], Fri Aug  3 10:28:30 2018 UTC-Fri Aug  3 10:28:30 2018 UTC (0.002 )  Time stamp start 1533292110849747140 end 1533292110848059995  Run 357409, LB 827, lumi 21.13
Event Veto ['NoiseBurst'], Fri Aug  3 10:28:37 2018 UTC-Fri Aug  3 10:28:37 2018 UTC (0.138 )  Time stamp start 1533292117724537740 end 1533292117586800575  Run 357409, LB 827, lumi 1725.24
Event Veto ['NoiseBurst'], Fri Aug  3 10:28:41 2018 UTC-Fri Aug  3 10:28:41 2018 UTC (0.255 )  Time stamp start 1533292121476350345 end 1533292121220858365  Run 357409, LB 827, lumi 3200.19
