Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 327265 to 327265
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 327265 to run 327265  lasting from Mon Jun 19 16:45:53 2017 UTC to Tue Jun 20 10:09:16 2017 UTC
Event Veto ['NoiseBurst'], Mon Jun 19 18:08:58 2017 UTC-Mon Jun 19 18:08:58 2017 UTC (0.001 )  Time stamp start 1497895738853081980 end 1497895738851993155  Run 327265, LB 91, lumi 11.74
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:09:17 2017 UTC-Mon Jun 19 18:09:17 2017 UTC (0.001 )  Time stamp start 1497895757482702035 end 1497895757481702035  Run 327265, LB 91, lumi 10.78
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:09:31 2017 UTC-Mon Jun 19 18:09:31 2017 UTC (0.001 )  Time stamp start 1497895771799790985 end 1497895771798790985  Run 327265, LB 92, lumi 10.73
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:09:36 2017 UTC-Mon Jun 19 18:09:36 2017 UTC (0.001 )  Time stamp start 1497895776085965475 end 1497895776084965475  Run 327265, LB 92, lumi 10.73
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:09:40 2017 UTC-Mon Jun 19 18:09:40 2017 UTC (0.001 )  Time stamp start 1497895780731601375 end 1497895780730601375  Run 327265, LB 92, lumi 10.73
Event Veto ['NoiseBurst'], Mon Jun 19 18:09:57 2017 UTC-Mon Jun 19 18:09:57 2017 UTC (0.001 )  Time stamp start 1497895797667689730 end 1497895797666618970  Run 327265, LB 92, lumi 11.48
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:11:10 2017 UTC-Mon Jun 19 18:11:10 2017 UTC (0.001 )  Time stamp start 1497895870828344535 end 1497895870827344535  Run 327265, LB 93, lumi 10.70
Event Veto ['NoiseBurst'], Mon Jun 19 18:11:51 2017 UTC-Mon Jun 19 18:11:51 2017 UTC (0.001 )  Time stamp start 1497895911828093630 end 1497895911826923045  Run 327265, LB 94, lumi 12.50
Event Veto ['NoiseBurst'], Mon Jun 19 18:12:09 2017 UTC-Mon Jun 19 18:12:09 2017 UTC (0.001 )  Time stamp start 1497895929682630475 end 1497895929681629600  Run 327265, LB 94, lumi 10.68
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:12:19 2017 UTC-Mon Jun 19 18:12:19 2017 UTC (0.001 )  Time stamp start 1497895939821822935 end 1497895939820822935  Run 327265, LB 94, lumi 10.67
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:13:02 2017 UTC-Mon Jun 19 18:13:02 2017 UTC (0.001 )  Time stamp start 1497895982181971840 end 1497895982180950980  Run 327265, LB 96, lumi 10.87
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:13:13 2017 UTC-Mon Jun 19 18:13:13 2017 UTC (0.001 )  Time stamp start 1497895993999789205 end 1497895993998789205  Run 327265, LB 97, lumi 10.64
Event Veto ['NoiseBurst'], Mon Jun 19 18:13:55 2017 UTC-Mon Jun 19 18:13:55 2017 UTC (0.001 )  Time stamp start 1497896035076020330 end 1497896035075007330  Run 327265, LB 97, lumi 10.78
Event Veto ['NoiseBurst'], Mon Jun 19 18:13:56 2017 UTC-Mon Jun 19 18:13:56 2017 UTC (0.001 )  Time stamp start 1497896036388804220 end 1497896036387803600  Run 327265, LB 97, lumi 10.64
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:14:03 2017 UTC-Mon Jun 19 18:14:03 2017 UTC (0.001 )  Time stamp start 1497896043559244025 end 1497896043558244025  Run 327265, LB 97, lumi 10.64
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:15:02 2017 UTC-Mon Jun 19 18:15:02 2017 UTC (0.001 )  Time stamp start 1497896102502711765 end 1497896102501711765  Run 327265, LB 98, lumi 10.61
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:15:15 2017 UTC-Mon Jun 19 18:15:15 2017 UTC (0.001 )  Time stamp start 1497896115044389250 end 1497896115043389250  Run 327265, LB 99, lumi 10.59
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:15:57 2017 UTC-Mon Jun 19 18:15:57 2017 UTC (0.001 )  Time stamp start 1497896157162253605 end 1497896157161253605  Run 327265, LB 99, lumi 10.59
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jun 19 18:16:05 2017 UTC-Mon Jun 19 18:16:05 2017 UTC (0.001 )  Time stamp start 1497896165145703365 end 1497896165144703365  Run 327265, LB 99, lumi 10.59
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:18:07 2017 UTC-Mon Jun 19 18:18:07 2017 UTC (0.001 )  Time stamp start 1497896287462775785 end 1497896287461775785  Run 327265, LB 102, lumi 10.54
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:18:16 2017 UTC-Mon Jun 19 18:18:16 2017 UTC (0.001 )  Time stamp start 1497896296340213330 end 1497896296339213330  Run 327265, LB 102, lumi 10.54
Event Veto ['NoiseBurst'], Mon Jun 19 18:18:26 2017 UTC-Mon Jun 19 18:18:26 2017 UTC (0.002 )  Time stamp start 1497896306727886380 end 1497896306726147065  Run 327265, LB 102, lumi 18.34
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:18:55 2017 UTC-Mon Jun 19 18:18:55 2017 UTC (0.001 )  Time stamp start 1497896335276895605 end 1497896335275895605  Run 327265, LB 103, lumi 10.52
Event Veto ['MiniNoiseBurst'], Mon Jun 19 18:18:57 2017 UTC-Mon Jun 19 18:18:57 2017 UTC (0.001 )  Time stamp start 1497896337500020545 end 1497896337499020545  Run 327265, LB 103, lumi 10.52
Event Veto ['NoiseBurst'], Mon Jun 19 18:19:31 2017 UTC-Mon Jun 19 18:19:31 2017 UTC (0.001 )  Time stamp start 1497896371519293240 end 1497896371518292615  Run 327265, LB 103, lumi 10.52
Event Veto ['NoiseBurst'], Mon Jun 19 18:20:17 2017 UTC-Mon Jun 19 18:20:17 2017 UTC (0.001 )  Time stamp start 1497896417592552405 end 1497896417591525930  Run 327265, LB 104, lumi 10.77
