Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351698 to 351698
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351698 to run 351698  lasting from Sat Jun  2 09:51:16 2018 UTC to Sat Jun  2 15:03:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:05:55 2018 UTC-Sat Jun  2 11:05:55 2018 UTC (0.001 )  Time stamp start 1527937555494248655 end 1527937555493248655  Run 351698, LB 90, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:06:45 2018 UTC-Sat Jun  2 11:06:45 2018 UTC (0.001 )  Time stamp start 1527937605138282485 end 1527937605137282485  Run 351698, LB 91, lumi 8.13
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:07:06 2018 UTC-Sat Jun  2 11:07:06 2018 UTC (0.001 )  Time stamp start 1527937626323241690 end 1527937626322241690  Run 351698, LB 91, lumi 8.13
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:07:11 2018 UTC-Sat Jun  2 11:07:11 2018 UTC (0.001 )  Time stamp start 1527937631005540955 end 1527937631004540955  Run 351698, LB 91, lumi 8.13
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:07:39 2018 UTC-Sat Jun  2 11:07:39 2018 UTC (0.001 )  Time stamp start 1527937659358684825 end 1527937659357684825  Run 351698, LB 92, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:08:58 2018 UTC-Sat Jun  2 11:08:58 2018 UTC (0.001 )  Time stamp start 1527937738367396165 end 1527937738366396165  Run 351698, LB 93, lumi 8.12
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:09:00 2018 UTC-Sat Jun  2 11:09:00 2018 UTC (0.001 )  Time stamp start 1527937740545364130 end 1527937740543957385  Run 351698, LB 93, lumi 11.42
Event Veto ['NoiseBurst'], Sat Jun  2 11:09:15 2018 UTC-Sat Jun  2 11:09:15 2018 UTC (0.001 )  Time stamp start 1527937755077660905 end 1527937755076562250  Run 351698, LB 94, lumi 8.92
Event Veto ['NoiseBurst'], Sat Jun  2 11:09:15 2018 UTC-Sat Jun  2 11:09:15 2018 UTC (0.001 )  Time stamp start 1527937755084470460 end 1527937755083273400  Run 351698, LB 94, lumi 9.72
Event Veto ['MiniNoiseBurst'], Sat Jun  2 11:09:44 2018 UTC-Sat Jun  2 11:09:44 2018 UTC (0.001 )  Time stamp start 1527937784794974450 end 1527937784793974450  Run 351698, LB 94, lumi 8.12
