Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337335 to 337335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337335 to run 337335  lasting from Fri Oct  6 11:09:41 2017 UTC to Fri Oct  6 17:51:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:01:44 2017 UTC-Fri Oct  6 13:01:44 2017 UTC (0.001 )  Time stamp start 1507294904421543190 end 1507294904420542265  Run 337335, LB 127, lumi 14.93
Event Veto ['DataCorruption'], Fri Oct  6 13:01:44 2017 UTC-Fri Oct  6 13:01:45 2017 UTC (0.500 )  Time stamp start 1507294905249702990 end 1507294904749306120  Run 337335, LB 127, lumi 7463.86
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:52 2017 UTC-Fri Oct  6 13:01:52 2017 UTC (0.001 )  Time stamp start 1507294912387102515 end 1507294912386102165  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:55 2017 UTC-Fri Oct  6 13:01:55 2017 UTC (0.001 )  Time stamp start 1507294915797395425 end 1507294915796395425  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:01:59 2017 UTC-Fri Oct  6 13:01:59 2017 UTC (0.001 )  Time stamp start 1507294919711881060 end 1507294919710881060  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:02:04 2017 UTC-Fri Oct  6 13:02:04 2017 UTC (0.001 )  Time stamp start 1507294924233779625 end 1507294924232779625  Run 337335, LB 127, lumi 14.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:02:07 2017 UTC-Fri Oct  6 13:02:07 2017 UTC (0.001 )  Time stamp start 1507294927348553810 end 1507294927347553635  Run 337335, LB 127, lumi 14.92
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:02:42 2017 UTC-Fri Oct  6 13:02:42 2017 UTC (0.001 )  Time stamp start 1507294962904588470 end 1507294962903588470  Run 337335, LB 128, lumi 14.91
Event Veto ['MiniNoiseBurst'], Fri Oct  6 13:02:44 2017 UTC-Fri Oct  6 13:02:44 2017 UTC (0.001 )  Time stamp start 1507294964999669490 end 1507294964998669490  Run 337335, LB 128, lumi 14.91
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:09 2017 UTC-Fri Oct  6 13:03:09 2017 UTC (0.001 )  Time stamp start 1507294989856409010 end 1507294989855408835  Run 337335, LB 128, lumi 14.91
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:13 2017 UTC-Fri Oct  6 13:03:13 2017 UTC (0.001 )  Time stamp start 1507294993602168085 end 1507294993601167910  Run 337335, LB 129, lumi 14.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:16 2017 UTC-Fri Oct  6 13:03:16 2017 UTC (0.001 )  Time stamp start 1507294996425177475 end 1507294996424177475  Run 337335, LB 129, lumi 14.88
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:19 2017 UTC-Fri Oct  6 13:03:19 2017 UTC (0.001 )  Time stamp start 1507294999926284895 end 1507294999924875255  Run 337335, LB 129, lumi 20.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:22 2017 UTC-Fri Oct  6 13:03:22 2017 UTC (0.001 )  Time stamp start 1507295002243702555 end 1507295002242702555  Run 337335, LB 129, lumi 14.88
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:23 2017 UTC-Fri Oct  6 13:03:23 2017 UTC (0.001 )  Time stamp start 1507295003364558865 end 1507295003363558690  Run 337335, LB 129, lumi 14.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 13:03:26 2017 UTC-Fri Oct  6 13:03:26 2017 UTC (0.001 )  Time stamp start 1507295006317375055 end 1507295006316374880  Run 337335, LB 129, lumi 14.89
