Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349582 to 349582
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349582 to run 349582  lasting from Sat May  5 14:43:19 2018 UTC to Sat May  5 17:46:20 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:07 2018 UTC-Sat May  5 16:10:07 2018 UTC (0.001 )  Time stamp start 1525536607725428040 end 1525536607724428040  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:10 2018 UTC-Sat May  5 16:10:10 2018 UTC (0.001 )  Time stamp start 1525536610184029930 end 1525536610183029930  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:26 2018 UTC-Sat May  5 16:10:26 2018 UTC (0.001 )  Time stamp start 1525536626051683105 end 1525536626050683105  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:27 2018 UTC-Sat May  5 16:10:27 2018 UTC (0.001 )  Time stamp start 1525536627530309320 end 1525536627529309320  Run 349582, LB 126, lumi 19.03
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:43 2018 UTC-Sat May  5 16:10:43 2018 UTC (0.001 )  Time stamp start 1525536643792237790 end 1525536643791237790  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:49 2018 UTC-Sat May  5 16:10:49 2018 UTC (0.001 )  Time stamp start 1525536649755053700 end 1525536649754053700  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:10:53 2018 UTC-Sat May  5 16:10:53 2018 UTC (0.001 )  Time stamp start 1525536653949175705 end 1525536653948175705  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:00 2018 UTC-Sat May  5 16:11:00 2018 UTC (0.001 )  Time stamp start 1525536660845921295 end 1525536660844921295  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:04 2018 UTC-Sat May  5 16:11:04 2018 UTC (0.001 )  Time stamp start 1525536664035379600 end 1525536664034379600  Run 349582, LB 127, lumi 20.14
Event Veto ['MiniNoiseBurst'], Sat May  5 16:11:04 2018 UTC-Sat May  5 16:11:04 2018 UTC (0.001 )  Time stamp start 1525536664537880465 end 1525536664536880465  Run 349582, LB 127, lumi 20.14
