Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339957 to 339957
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339957 to run 339957  lasting from Fri Nov  3 10:55:13 2017 UTC to Sat Nov  4 13:33:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:12:24 2017 UTC-Fri Nov  3 14:12:24 2017 UTC (0.001 )  Time stamp start 1509718344328552110 end 1509718344327552110  Run 339957, LB 237, lumi 14.83
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:12:29 2017 UTC-Fri Nov  3 14:12:29 2017 UTC (0.001 )  Time stamp start 1509718349107509395 end 1509718349106509395  Run 339957, LB 237, lumi 14.83
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:12:42 2017 UTC-Fri Nov  3 14:12:42 2017 UTC (0.001 )  Time stamp start 1509718362610953565 end 1509718362609953565  Run 339957, LB 237, lumi 14.83
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:12:51 2017 UTC-Fri Nov  3 14:12:51 2017 UTC (0.001 )  Time stamp start 1509718371762677180 end 1509718371761677180  Run 339957, LB 237, lumi 14.83
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:12:55 2017 UTC-Fri Nov  3 14:12:55 2017 UTC (0.001 )  Time stamp start 1509718375042074735 end 1509718375041074735  Run 339957, LB 237, lumi 14.83
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:13:04 2017 UTC-Fri Nov  3 14:13:04 2017 UTC (0.001 )  Time stamp start 1509718384698453625 end 1509718384697453625  Run 339957, LB 237, lumi 14.83
Event Veto ['NoiseBurst'], Fri Nov  3 14:14:26 2017 UTC-Fri Nov  3 14:14:26 2017 UTC (0.002 )  Time stamp start 1509718466253170900 end 1509718466250960590  Run 339957, LB 239, lumi 32.53
Event Veto ['NoiseBurst'], Fri Nov  3 14:14:26 2017 UTC-Fri Nov  3 14:14:26 2017 UTC (0.006 )  Time stamp start 1509718466260317665 end 1509718466254023720  Run 339957, LB 239, lumi 92.63
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:14:43 2017 UTC-Fri Nov  3 14:14:43 2017 UTC (0.002 )  Time stamp start 1509718483328465280 end 1509718483326707475  Run 339957, LB 240, lumi 26.71
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:14:45 2017 UTC-Fri Nov  3 14:14:45 2017 UTC (0.001 )  Time stamp start 1509718485147096090 end 1509718485146096090  Run 339957, LB 240, lumi 15.20
