Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305727 to 305727
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305727 to run 305727  lasting from Sun Aug  7 01:31:39 2016 UTC to Sun Aug  7 05:36:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:16:00 2016 UTC-Sun Aug  7 02:16:00 2016 UTC (0.001 )  Time stamp start 1470536160194570530 end 1470536160193570405  Run 305727, LB 53, lumi 5.27
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:17:06 2016 UTC-Sun Aug  7 02:17:06 2016 UTC (0.001 )  Time stamp start 1470536226535887850 end 1470536226534887850  Run 305727, LB 54, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:17:17 2016 UTC-Sun Aug  7 02:17:17 2016 UTC (0.001 )  Time stamp start 1470536237002616945 end 1470536237001616945  Run 305727, LB 54, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:17:27 2016 UTC-Sun Aug  7 02:17:27 2016 UTC (0.001 )  Time stamp start 1470536247969390455 end 1470536247968389930  Run 305727, LB 55, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:18:23 2016 UTC-Sun Aug  7 02:18:23 2016 UTC (0.001 )  Time stamp start 1470536303634050445 end 1470536303633050120  Run 305727, LB 56, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:18:45 2016 UTC-Sun Aug  7 02:18:45 2016 UTC (0.001 )  Time stamp start 1470536325917483945 end 1470536325916483570  Run 305727, LB 56, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:18:56 2016 UTC-Sun Aug  7 02:18:56 2016 UTC (0.001 )  Time stamp start 1470536336937733205 end 1470536336936732955  Run 305727, LB 56, lumi 5.26
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:19:41 2016 UTC-Sun Aug  7 02:19:41 2016 UTC (0.001 )  Time stamp start 1470536381276150880 end 1470536381275150755  Run 305727, LB 57, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:19:52 2016 UTC-Sun Aug  7 02:19:52 2016 UTC (0.001 )  Time stamp start 1470536392675343495 end 1470536392674343495  Run 305727, LB 57, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:20:03 2016 UTC-Sun Aug  7 02:20:03 2016 UTC (0.001 )  Time stamp start 1470536403286175415 end 1470536403285175290  Run 305727, LB 57, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:20:14 2016 UTC-Sun Aug  7 02:20:14 2016 UTC (0.001 )  Time stamp start 1470536414970376320 end 1470536414969376195  Run 305727, LB 57, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:20:37 2016 UTC-Sun Aug  7 02:20:37 2016 UTC (0.001 )  Time stamp start 1470536437994580420 end 1470536437993580420  Run 305727, LB 58, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:21:09 2016 UTC-Sun Aug  7 02:21:09 2016 UTC (0.001 )  Time stamp start 1470536469273775855 end 1470536469272775730  Run 305727, LB 58, lumi 5.25
Event Veto ['NoiseBurst'], Sun Aug  7 02:21:10 2016 UTC-Sun Aug  7 02:21:10 2016 UTC (0.010 )  Time stamp start 1470536470592241230 end 1470536470581981145  Run 305727, LB 58, lumi 53.85
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:21:20 2016 UTC-Sun Aug  7 02:21:20 2016 UTC (0.001 )  Time stamp start 1470536480434342365 end 1470536480433342365  Run 305727, LB 59, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:21:42 2016 UTC-Sun Aug  7 02:21:42 2016 UTC (0.001 )  Time stamp start 1470536502688949725 end 1470536502687949600  Run 305727, LB 59, lumi 5.25
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:22:04 2016 UTC-Sun Aug  7 02:22:04 2016 UTC (0.001 )  Time stamp start 1470536524519747410 end 1470536524518747285  Run 305727, LB 59, lumi 5.25
