Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311321 to 311321
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311321 to run 311321  lasting from Sun Oct 23 20:48:42 2016 UTC to Mon Oct 24 13:46:58 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:18 2016 UTC-Sun Oct 23 22:24:18 2016 UTC (0.001 )  Time stamp start 1477261458879933045 end 1477261458878933045  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:19 2016 UTC-Sun Oct 23 22:24:19 2016 UTC (0.001 )  Time stamp start 1477261459108673495 end 1477261459107673495  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:20 2016 UTC-Sun Oct 23 22:24:20 2016 UTC (0.001 )  Time stamp start 1477261460721525420 end 1477261460720525420  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:21 2016 UTC-Sun Oct 23 22:24:21 2016 UTC (0.001 )  Time stamp start 1477261461267629270 end 1477261461266629270  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:21 2016 UTC-Sun Oct 23 22:24:21 2016 UTC (0.001 )  Time stamp start 1477261461720135165 end 1477261461719135015  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:23 2016 UTC-Sun Oct 23 22:24:23 2016 UTC (0.001 )  Time stamp start 1477261463565379900 end 1477261463564379605  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:24 2016 UTC-Sun Oct 23 22:24:24 2016 UTC (0.001 )  Time stamp start 1477261464953798300 end 1477261464952798300  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:26 2016 UTC-Sun Oct 23 22:24:26 2016 UTC (0.001 )  Time stamp start 1477261466239245620 end 1477261466238245620  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:27 2016 UTC-Sun Oct 23 22:24:27 2016 UTC (0.001 )  Time stamp start 1477261467005602700 end 1477261467004602700  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:27 2016 UTC-Sun Oct 23 22:24:27 2016 UTC (0.001 )  Time stamp start 1477261467244574975 end 1477261467243574975  Run 311321, LB 100, lumi 12.13
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:27 2016 UTC-Sun Oct 23 22:24:27 2016 UTC (0.001 )  Time stamp start 1477261467822968800 end 1477261467821968800  Run 311321, LB 100, lumi 12.13
