Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338498 to 338498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338498 to run 338498  lasting from Wed Oct 18 09:58:38 2017 UTC to Wed Oct 18 19:17:53 2017 UTC
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086578783510 end 1508321086577782685  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086584722225 end 1508321086583721450  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086590697590 end 1508321086589696790  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086596852575 end 1508321086595851805  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086608880555 end 1508321086607879630  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086614829920 end 1508321086613829100  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086626764535 end 1508321086625763710  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086632795220 end 1508321086631794420  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086650756320 end 1508321086649755545  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086656779890 end 1508321086655779095  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086662692530 end 1508321086661691730  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086668741180 end 1508321086667740630  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086674772410 end 1508321086673771610  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086680730880 end 1508321086679730110  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086692667965 end 1508321086691667195  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086704686290 end 1508321086703685490  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086710853475 end 1508321086709852655  Run 338498, LB 10, lumi 0.00
