Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311287 to 311287
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311287 to run 311287  lasting from Sun Oct 23 02:42:08 2016 UTC to Sun Oct 23 19:40:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:59 2016 UTC-Sun Oct 23 03:34:59 2016 UTC (0.001 )  Time stamp start 1477193699877360795 end 1477193699876360795  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:00 2016 UTC-Sun Oct 23 03:35:00 2016 UTC (0.001 )  Time stamp start 1477193700932224640 end 1477193700931224640  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:01 2016 UTC-Sun Oct 23 03:35:01 2016 UTC (0.001 )  Time stamp start 1477193701624229525 end 1477193701623229525  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:04 2016 UTC-Sun Oct 23 03:35:04 2016 UTC (0.001 )  Time stamp start 1477193704062707145 end 1477193704061707145  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:07 2016 UTC-Sun Oct 23 03:35:07 2016 UTC (0.000 )  Time stamp start 1477193707103640120 end 1477193707103639045  Run 311287, LB 64, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:07 2016 UTC-Sun Oct 23 03:35:07 2016 UTC (0.001 )  Time stamp start 1477193707104640120 end 1477193707103640120  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:07 2016 UTC-Sun Oct 23 03:35:07 2016 UTC (0.001 )  Time stamp start 1477193707525375315 end 1477193707524375315  Run 311287, LB 64, lumi 12.29
Event Veto ['NoiseBurst'], Sun Oct 23 03:35:09 2016 UTC-Sun Oct 23 03:35:09 2016 UTC (0.011 )  Time stamp start 1477193709316907900 end 1477193709306189120  Run 311287, LB 64, lumi 131.75
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:09 2016 UTC-Sun Oct 23 03:35:09 2016 UTC (0.001 )  Time stamp start 1477193709417488665 end 1477193709416488665  Run 311287, LB 64, lumi 12.29
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:10 2016 UTC-Sun Oct 23 03:35:10 2016 UTC (0.001 )  Time stamp start 1477193710589621665 end 1477193710588621665  Run 311287, LB 64, lumi 12.29
Event Veto ['NoiseBurst'], Sun Oct 23 03:35:11 2016 UTC-Sun Oct 23 03:35:11 2016 UTC (0.000 )  Time stamp start 1477193711681667665 end 1477193711681663750  Run 311287, LB 64, lumi 0.05
Event Veto ['NoiseBurst'], Sun Oct 23 03:35:11 2016 UTC-Sun Oct 23 03:35:11 2016 UTC (0.010 )  Time stamp start 1477193711691668115 end 1477193711681667665  Run 311287, LB 64, lumi 122.92
Event Veto ['NoiseBurst'], Sun Oct 23 03:35:11 2016 UTC-Sun Oct 23 03:35:11 2016 UTC (0.000 )  Time stamp start 1477193711691687280 end 1477193711691668115  Run 311287, LB 64, lumi 0.24
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:35:14 2016 UTC-Sun Oct 23 03:35:14 2016 UTC (0.001 )  Time stamp start 1477193714244665305 end 1477193714243665305  Run 311287, LB 64, lumi 12.29
