Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336998 to 336998
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336998 to run 336998  lasting from Sun Oct  1 22:36:38 2017 UTC to Mon Oct  2 03:36:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:44 2017 UTC-Mon Oct  2 00:08:44 2017 UTC (0.001 )  Time stamp start 1506902924313532120 end 1506902924312532120  Run 336998, LB 105, lumi 14.67
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:47 2017 UTC-Mon Oct  2 00:08:47 2017 UTC (0.001 )  Time stamp start 1506902927061756755 end 1506902927060756380  Run 336998, LB 105, lumi 14.68
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:08:50 2017 UTC-Mon Oct  2 00:08:50 2017 UTC (0.001 )  Time stamp start 1506902930094377700 end 1506902930093377575  Run 336998, LB 105, lumi 14.68
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:09:59 2017 UTC-Mon Oct  2 00:09:59 2017 UTC (0.001 )  Time stamp start 1506902999671576985 end 1506902999670576985  Run 336998, LB 108, lumi 14.63
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:10:05 2017 UTC-Mon Oct  2 00:10:05 2017 UTC (0.001 )  Time stamp start 1506903005075553695 end 1506903005074553695  Run 336998, LB 108, lumi 14.63
Event Veto ['NoiseBurst'], Mon Oct  2 00:10:09 2017 UTC-Mon Oct  2 00:10:09 2017 UTC (0.001 )  Time stamp start 1506903009044988610 end 1506903009043988360  Run 336998, LB 108, lumi 14.63
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:10:15 2017 UTC-Mon Oct  2 00:10:15 2017 UTC (0.001 )  Time stamp start 1506903015574589795 end 1506903015573589795  Run 336998, LB 108, lumi 14.63
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:11:28 2017 UTC-Mon Oct  2 00:11:28 2017 UTC (0.001 )  Time stamp start 1506903088315839195 end 1506903088314839195  Run 336998, LB 110, lumi 14.57
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:12:41 2017 UTC-Mon Oct  2 00:12:41 2017 UTC (0.001 )  Time stamp start 1506903161807180430 end 1506903161806180430  Run 336998, LB 111, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:12:44 2017 UTC-Mon Oct  2 00:12:44 2017 UTC (0.001 )  Time stamp start 1506903164782942760 end 1506903164781942760  Run 336998, LB 111, lumi 14.55
