Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338897 to 338897
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338897 to run 338897  lasting from Sat Oct 21 23:29:34 2017 UTC to Sun Oct 22 11:06:38 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:17:09 2017 UTC-Sun Oct 22 00:17:09 2017 UTC (0.001 )  Time stamp start 1508631429450979915 end 1508631429449979915  Run 338897, LB 59, lumi 15.32
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:17:15 2017 UTC-Sun Oct 22 00:17:15 2017 UTC (0.001 )  Time stamp start 1508631435190847080 end 1508631435189847080  Run 338897, LB 60, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:18:01 2017 UTC-Sun Oct 22 00:18:01 2017 UTC (0.001 )  Time stamp start 1508631481289606235 end 1508631481288606235  Run 338897, LB 61, lumi 14.81
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:18:03 2017 UTC-Sun Oct 22 00:18:03 2017 UTC (0.001 )  Time stamp start 1508631483792595745 end 1508631483791595745  Run 338897, LB 61, lumi 14.81
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:18:04 2017 UTC-Sun Oct 22 00:18:04 2017 UTC (0.001 )  Time stamp start 1508631484687836635 end 1508631484686836635  Run 338897, LB 61, lumi 14.81
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:18:27 2017 UTC-Sun Oct 22 00:18:27 2017 UTC (0.001 )  Time stamp start 1508631507356653550 end 1508631507355653550  Run 338897, LB 61, lumi 14.81
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:18:42 2017 UTC-Sun Oct 22 00:18:42 2017 UTC (0.001 )  Time stamp start 1508631522326151340 end 1508631522325151340  Run 338897, LB 61, lumi 14.81
Event Veto ['NoiseBurst'], Sun Oct 22 00:19:35 2017 UTC-Sun Oct 22 00:19:35 2017 UTC (0.001 )  Time stamp start 1508631575952638360 end 1508631575951415175  Run 338897, LB 62, lumi 18.16
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:15 2017 UTC-Sun Oct 22 00:21:15 2017 UTC (0.001 )  Time stamp start 1508631675666393190 end 1508631675665393190  Run 338897, LB 64, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:15 2017 UTC-Sun Oct 22 00:21:15 2017 UTC (0.001 )  Time stamp start 1508631675907356410 end 1508631675906356410  Run 338897, LB 64, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:16 2017 UTC-Sun Oct 22 00:21:16 2017 UTC (0.001 )  Time stamp start 1508631676366987920 end 1508631676365987920  Run 338897, LB 64, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:17 2017 UTC-Sun Oct 22 00:21:17 2017 UTC (0.001 )  Time stamp start 1508631677111074305 end 1508631677110074305  Run 338897, LB 64, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:31 2017 UTC-Sun Oct 22 00:21:31 2017 UTC (0.001 )  Time stamp start 1508631691691453225 end 1508631691690453225  Run 338897, LB 64, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:21:51 2017 UTC-Sun Oct 22 00:21:51 2017 UTC (0.001 )  Time stamp start 1508631711246601360 end 1508631711245601360  Run 338897, LB 65, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:22:26 2017 UTC-Sun Oct 22 00:22:26 2017 UTC (0.001 )  Time stamp start 1508631746644751590 end 1508631746643751590  Run 338897, LB 66, lumi 15.00
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:22:28 2017 UTC-Sun Oct 22 00:22:28 2017 UTC (0.001 )  Time stamp start 1508631748246663885 end 1508631748245663885  Run 338897, LB 66, lumi 15.00
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:22:29 2017 UTC-Sun Oct 22 00:22:29 2017 UTC (0.001 )  Time stamp start 1508631749645414400 end 1508631749644414400  Run 338897, LB 66, lumi 15.00
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:23:11 2017 UTC-Sun Oct 22 00:23:11 2017 UTC (0.001 )  Time stamp start 1508631791059182690 end 1508631791058182690  Run 338897, LB 67, lumi 14.99
Event Veto ['NoiseBurst'], Sun Oct 22 00:23:31 2017 UTC-Sun Oct 22 00:23:31 2017 UTC (0.001 )  Time stamp start 1508631811286972840 end 1508631811285972715  Run 338897, LB 67, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:23:54 2017 UTC-Sun Oct 22 00:23:54 2017 UTC (0.001 )  Time stamp start 1508631834096939810 end 1508631834095939810  Run 338897, LB 67, lumi 14.99
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:24:05 2017 UTC-Sun Oct 22 00:24:05 2017 UTC (0.001 )  Time stamp start 1508631845491205500 end 1508631845490205500  Run 338897, LB 68, lumi 14.95
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:24:11 2017 UTC-Sun Oct 22 00:24:11 2017 UTC (0.001 )  Time stamp start 1508631851370836210 end 1508631851369836210  Run 338897, LB 68, lumi 14.95
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:24:13 2017 UTC-Sun Oct 22 00:24:13 2017 UTC (0.001 )  Time stamp start 1508631853452718380 end 1508631853451718080  Run 338897, LB 68, lumi 14.96
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:24:37 2017 UTC-Sun Oct 22 00:24:37 2017 UTC (0.001 )  Time stamp start 1508631877459119450 end 1508631877458119450  Run 338897, LB 68, lumi 14.95
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:25:20 2017 UTC-Sun Oct 22 00:25:20 2017 UTC (0.001 )  Time stamp start 1508631920906124710 end 1508631920905124710  Run 338897, LB 69, lumi 14.97
