Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339535 to 339535
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339535 to run 339535  lasting from Mon Oct 30 18:22:30 2017 UTC to Tue Oct 31 01:03:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:52:33 2017 UTC-Mon Oct 30 20:52:33 2017 UTC (0.001 )  Time stamp start 1509396753222766150 end 1509396753221766150  Run 339535, LB 164, lumi 15.49
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:53:37 2017 UTC-Mon Oct 30 20:53:37 2017 UTC (0.001 )  Time stamp start 1509396817195088045 end 1509396817194088045  Run 339535, LB 165, lumi 15.54
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:54:26 2017 UTC-Mon Oct 30 20:54:26 2017 UTC (0.001 )  Time stamp start 1509396866382502975 end 1509396866381502975  Run 339535, LB 166, lumi 15.53
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:54:28 2017 UTC-Mon Oct 30 20:54:28 2017 UTC (0.001 )  Time stamp start 1509396868252361760 end 1509396868251361760  Run 339535, LB 166, lumi 15.53
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:54:46 2017 UTC-Mon Oct 30 20:54:46 2017 UTC (0.001 )  Time stamp start 1509396886633346185 end 1509396886632346185  Run 339535, LB 167, lumi 15.85
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:54:53 2017 UTC-Mon Oct 30 20:54:53 2017 UTC (0.001 )  Time stamp start 1509396893696199185 end 1509396893695199185  Run 339535, LB 167, lumi 15.85
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:56:19 2017 UTC-Mon Oct 30 20:56:19 2017 UTC (0.001 )  Time stamp start 1509396979382665690 end 1509396979381665690  Run 339535, LB 169, lumi 15.52
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:56:22 2017 UTC-Mon Oct 30 20:56:22 2017 UTC (0.001 )  Time stamp start 1509396982924283170 end 1509396982923283170  Run 339535, LB 169, lumi 15.52
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:56:24 2017 UTC-Mon Oct 30 20:56:24 2017 UTC (0.001 )  Time stamp start 1509396984091207610 end 1509396984090207610  Run 339535, LB 169, lumi 15.52
Event Veto ['NoiseBurst'], Mon Oct 30 20:56:39 2017 UTC-Mon Oct 30 20:56:39 2017 UTC (0.001 )  Time stamp start 1509396999868669200 end 1509396999867440350  Run 339535, LB 169, lumi 19.07
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:56:53 2017 UTC-Mon Oct 30 20:56:53 2017 UTC (0.001 )  Time stamp start 1509397013938944465 end 1509397013937944465  Run 339535, LB 169, lumi 15.52
