Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349637 to 349637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349637 to run 349637  lasting from Sun May  6 09:48:54 2018 UTC to Mon May  7 00:18:06 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:08 2018 UTC-Sun May  6 11:12:08 2018 UTC (0.001 )  Time stamp start 1525605128605569725 end 1525605128604569425  Run 349637, LB 90, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:11 2018 UTC-Sun May  6 11:12:11 2018 UTC (0.001 )  Time stamp start 1525605131892009145 end 1525605131891009145  Run 349637, LB 90, lumi 19.57
Event Veto ['NoiseBurst'], Sun May  6 11:12:22 2018 UTC-Sun May  6 11:12:22 2018 UTC (0.001 )  Time stamp start 1525605142351931220 end 1525605142350807635  Run 349637, LB 90, lumi 21.99
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:37 2018 UTC-Sun May  6 11:12:37 2018 UTC (0.001 )  Time stamp start 1525605157768870960 end 1525605157767870960  Run 349637, LB 90, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:42 2018 UTC-Sun May  6 11:12:42 2018 UTC (0.001 )  Time stamp start 1525605162155806070 end 1525605162154806070  Run 349637, LB 90, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:47 2018 UTC-Sun May  6 11:12:47 2018 UTC (0.001 )  Time stamp start 1525605167821232395 end 1525605167820232395  Run 349637, LB 90, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sun May  6 11:12:49 2018 UTC-Sun May  6 11:12:49 2018 UTC (0.001 )  Time stamp start 1525605169954150995 end 1525605169953150820  Run 349637, LB 90, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:01 2018 UTC-Sun May  6 11:13:01 2018 UTC (0.001 )  Time stamp start 1525605181226304465 end 1525605181225304465  Run 349637, LB 90, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:03 2018 UTC-Sun May  6 11:13:03 2018 UTC (0.001 )  Time stamp start 1525605183122749820 end 1525605183121749820  Run 349637, LB 90, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:07 2018 UTC-Sun May  6 11:13:07 2018 UTC (0.001 )  Time stamp start 1525605187920906735 end 1525605187919906735  Run 349637, LB 91, lumi 19.53
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:11 2018 UTC-Sun May  6 11:13:11 2018 UTC (0.001 )  Time stamp start 1525605191160756020 end 1525605191159755720  Run 349637, LB 91, lumi 19.53
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:23 2018 UTC-Sun May  6 11:13:23 2018 UTC (0.001 )  Time stamp start 1525605203286891730 end 1525605203285891730  Run 349637, LB 91, lumi 19.53
Event Veto ['MiniNoiseBurst'], Sun May  6 11:13:25 2018 UTC-Sun May  6 11:13:25 2018 UTC (0.001 )  Time stamp start 1525605205560428550 end 1525605205559428550  Run 349637, LB 91, lumi 19.53
