Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:18 2017 UTC-Thu Aug 17 11:15:18 2017 UTC (0.000 )  Time stamp start 1502968518287417200 end 1502968518287416375  Run 333426, LB 80, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:18 2017 UTC-Thu Aug 17 11:15:18 2017 UTC (0.001 )  Time stamp start 1502968518288417200 end 1502968518287417200  Run 333426, LB 80, lumi 10.09
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:27 2017 UTC-Thu Aug 17 11:15:27 2017 UTC (0.001 )  Time stamp start 1502968527726024250 end 1502968527725023750  Run 333426, LB 81, lumi 10.09
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:36 2017 UTC-Thu Aug 17 11:15:36 2017 UTC (0.001 )  Time stamp start 1502968536935940480 end 1502968536934940480  Run 333426, LB 81, lumi 10.08
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:46 2017 UTC-Thu Aug 17 11:15:46 2017 UTC (0.001 )  Time stamp start 1502968546467775875 end 1502968546466775875  Run 333426, LB 82, lumi 10.10
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:15:55 2017 UTC-Thu Aug 17 11:15:55 2017 UTC (0.001 )  Time stamp start 1502968555482316160 end 1502968555481315515  Run 333426, LB 82, lumi 10.11
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:16:04 2017 UTC-Thu Aug 17 11:16:04 2017 UTC (0.001 )  Time stamp start 1502968564570337475 end 1502968564569337475  Run 333426, LB 82, lumi 10.10
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:17:06 2017 UTC-Thu Aug 17 11:17:06 2017 UTC (0.001 )  Time stamp start 1502968626677392305 end 1502968626676392305  Run 333426, LB 83, lumi 10.06
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:17:25 2017 UTC-Thu Aug 17 11:17:25 2017 UTC (0.001 )  Time stamp start 1502968645416557285 end 1502968645415556785  Run 333426, LB 83, lumi 10.06
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:17:34 2017 UTC-Thu Aug 17 11:17:34 2017 UTC (0.001 )  Time stamp start 1502968654337950100 end 1502968654336949600  Run 333426, LB 83, lumi 10.06
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:17:52 2017 UTC-Thu Aug 17 11:17:52 2017 UTC (0.001 )  Time stamp start 1502968672132313375 end 1502968672131313075  Run 333426, LB 84, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:18:01 2017 UTC-Thu Aug 17 11:18:01 2017 UTC (0.001 )  Time stamp start 1502968681735798635 end 1502968681734798635  Run 333426, LB 84, lumi 10.04
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:18:38 2017 UTC-Thu Aug 17 11:18:38 2017 UTC (0.001 )  Time stamp start 1502968718452183980 end 1502968718451183980  Run 333426, LB 84, lumi 10.04
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:18:41 2017 UTC-Thu Aug 17 11:18:41 2017 UTC (0.001 )  Time stamp start 1502968721304281730 end 1502968721303281730  Run 333426, LB 84, lumi 10.04
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:18:48 2017 UTC-Thu Aug 17 11:18:48 2017 UTC (0.001 )  Time stamp start 1502968728180055760 end 1502968728179055760  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:05 2017 UTC-Thu Aug 17 11:19:05 2017 UTC (0.001 )  Time stamp start 1502968745332615175 end 1502968745331615175  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:14 2017 UTC-Thu Aug 17 11:19:14 2017 UTC (0.001 )  Time stamp start 1502968754474201560 end 1502968754473200940  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:24 2017 UTC-Thu Aug 17 11:19:24 2017 UTC (0.001 )  Time stamp start 1502968764051282800 end 1502968764050282800  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:33 2017 UTC-Thu Aug 17 11:19:33 2017 UTC (0.001 )  Time stamp start 1502968773134303260 end 1502968773133302340  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:42 2017 UTC-Thu Aug 17 11:19:42 2017 UTC (0.001 )  Time stamp start 1502968782935688130 end 1502968782934687485  Run 333426, LB 85, lumi 10.02
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:46 2017 UTC-Thu Aug 17 11:19:46 2017 UTC (0.001 )  Time stamp start 1502968786321399820 end 1502968786320399820  Run 333426, LB 86, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:19:52 2017 UTC-Thu Aug 17 11:19:52 2017 UTC (0.001 )  Time stamp start 1502968792499631160 end 1502968792498631160  Run 333426, LB 86, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:20:27 2017 UTC-Thu Aug 17 11:20:27 2017 UTC (0.001 )  Time stamp start 1502968827276072550 end 1502968827275072550  Run 333426, LB 86, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:20:47 2017 UTC-Thu Aug 17 11:20:47 2017 UTC (0.001 )  Time stamp start 1502968847740457595 end 1502968847739457320  Run 333426, LB 87, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:20:57 2017 UTC-Thu Aug 17 11:20:57 2017 UTC (0.001 )  Time stamp start 1502968857002983135 end 1502968857001982985  Run 333426, LB 87, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:21:06 2017 UTC-Thu Aug 17 11:21:06 2017 UTC (0.001 )  Time stamp start 1502968866099543760 end 1502968866098543760  Run 333426, LB 87, lumi 9.96
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:21:10 2017 UTC-Thu Aug 17 11:21:10 2017 UTC (0.001 )  Time stamp start 1502968870585427430 end 1502968870584427430  Run 333426, LB 87, lumi 9.96
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:21:24 2017 UTC-Thu Aug 17 11:21:24 2017 UTC (0.001 )  Time stamp start 1502968884944597780 end 1502968884943597230  Run 333426, LB 87, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:21:43 2017 UTC-Thu Aug 17 11:21:43 2017 UTC (0.001 )  Time stamp start 1502968903143964955 end 1502968903142964155  Run 333426, LB 87, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:22:09 2017 UTC-Thu Aug 17 11:22:09 2017 UTC (0.001 )  Time stamp start 1502968929755136070 end 1502968929754135420  Run 333426, LB 88, lumi 9.96
