Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350144 to 350144
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350144 to run 350144  lasting from Sat May 12 18:24:25 2018 UTC to Sun May 13 08:35:36 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 19:26:27 2018 UTC-Sat May 12 19:26:27 2018 UTC (0.001 )  Time stamp start 1526153187583533300 end 1526153187582533300  Run 350144, LB 104, lumi 19.82
Event Veto ['MiniNoiseBurst'], Sat May 12 19:26:29 2018 UTC-Sat May 12 19:26:29 2018 UTC (0.001 )  Time stamp start 1526153189902808640 end 1526153189901808640  Run 350144, LB 104, lumi 19.82
Event Veto ['MiniNoiseBurst'], Sat May 12 19:26:50 2018 UTC-Sat May 12 19:26:50 2018 UTC (0.001 )  Time stamp start 1526153210701793885 end 1526153210700793885  Run 350144, LB 104, lumi 19.82
Event Veto ['MiniNoiseBurst'], Sat May 12 19:27:08 2018 UTC-Sat May 12 19:27:08 2018 UTC (0.001 )  Time stamp start 1526153228971666100 end 1526153228970666100  Run 350144, LB 105, lumi 19.79
Event Veto ['MiniNoiseBurst'], Sat May 12 19:27:18 2018 UTC-Sat May 12 19:27:18 2018 UTC (0.001 )  Time stamp start 1526153238358540650 end 1526153238357540650  Run 350144, LB 105, lumi 19.79
Event Veto ['MiniNoiseBurst'], Sat May 12 19:27:44 2018 UTC-Sat May 12 19:27:44 2018 UTC (0.001 )  Time stamp start 1526153264644510910 end 1526153264643510910  Run 350144, LB 105, lumi 19.79
Event Veto ['MiniNoiseBurst'], Sat May 12 19:28:37 2018 UTC-Sat May 12 19:28:37 2018 UTC (0.001 )  Time stamp start 1526153317092908050 end 1526153317091908050  Run 350144, LB 106, lumi 19.73
Event Veto ['MiniNoiseBurst'], Sat May 12 19:28:46 2018 UTC-Sat May 12 19:28:46 2018 UTC (0.001 )  Time stamp start 1526153326665120800 end 1526153326664120430  Run 350144, LB 106, lumi 19.74
Event Veto ['NoiseBurst'], Sat May 12 19:28:56 2018 UTC-Sat May 12 19:28:56 2018 UTC (0.001 )  Time stamp start 1526153336287692875 end 1526153336286692625  Run 350144, LB 106, lumi 19.74
Event Veto ['MiniNoiseBurst'], Sat May 12 19:29:29 2018 UTC-Sat May 12 19:29:29 2018 UTC (0.001 )  Time stamp start 1526153369422425350 end 1526153369421425350  Run 350144, LB 107, lumi 19.72
Event Veto ['MiniNoiseBurst'], Sat May 12 19:30:29 2018 UTC-Sat May 12 19:30:29 2018 UTC (0.001 )  Time stamp start 1526153429947008185 end 1526153429946008185  Run 350144, LB 109, lumi 19.63
Event Veto ['MiniNoiseBurst'], Sat May 12 19:30:32 2018 UTC-Sat May 12 19:30:32 2018 UTC (0.001 )  Time stamp start 1526153432533973920 end 1526153432532973920  Run 350144, LB 109, lumi 19.63
Event Veto ['MiniNoiseBurst'], Sat May 12 19:30:42 2018 UTC-Sat May 12 19:30:42 2018 UTC (0.001 )  Time stamp start 1526153442382644080 end 1526153442381644080  Run 350144, LB 109, lumi 19.63
Event Veto ['MiniNoiseBurst'], Sat May 12 19:31:20 2018 UTC-Sat May 12 19:31:20 2018 UTC (0.001 )  Time stamp start 1526153480607453335 end 1526153480606453335  Run 350144, LB 109, lumi 19.63
Event Veto ['MiniNoiseBurst'], Sat May 12 19:31:55 2018 UTC-Sat May 12 19:31:55 2018 UTC (0.001 )  Time stamp start 1526153515993032985 end 1526153515991720030  Run 350144, LB 110, lumi 25.70
Event Veto ['MiniNoiseBurst'], Sat May 12 19:32:00 2018 UTC-Sat May 12 19:32:00 2018 UTC (0.001 )  Time stamp start 1526153520607660530 end 1526153520606660530  Run 350144, LB 110, lumi 19.57
Event Veto ['MiniNoiseBurst'], Sat May 12 19:32:46 2018 UTC-Sat May 12 19:32:46 2018 UTC (0.001 )  Time stamp start 1526153566091214430 end 1526153566090214430  Run 350144, LB 111, lumi 19.54
Event Veto ['MiniNoiseBurst'], Sat May 12 19:33:11 2018 UTC-Sat May 12 19:33:11 2018 UTC (0.002 )  Time stamp start 1526153591658922245 end 1526153591657055605  Run 350144, LB 111, lumi 36.48
