Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333904 to 333904
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333904 to run 333904  lasting from Tue Aug 22 20:52:45 2017 UTC to Wed Aug 23 05:15:26 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:35:11 2017 UTC-Tue Aug 22 23:35:11 2017 UTC (0.001 )  Time stamp start 1503444911018805510 end 1503444911017805510  Run 333904, LB 176, lumi 8.83
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:35:33 2017 UTC-Tue Aug 22 23:35:33 2017 UTC (0.001 )  Time stamp start 1503444933750425345 end 1503444933749425220  Run 333904, LB 176, lumi 8.83
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:35:45 2017 UTC-Tue Aug 22 23:35:45 2017 UTC (0.001 )  Time stamp start 1503444945177670535 end 1503444945176670535  Run 333904, LB 176, lumi 8.83
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:36:19 2017 UTC-Tue Aug 22 23:36:19 2017 UTC (0.001 )  Time stamp start 1503444979665394165 end 1503444979664394165  Run 333904, LB 177, lumi 8.81
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:37:11 2017 UTC-Tue Aug 22 23:37:11 2017 UTC (0.001 )  Time stamp start 1503445031718045520 end 1503445031717045520  Run 333904, LB 178, lumi 8.80
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:37:30 2017 UTC-Tue Aug 22 23:37:30 2017 UTC (0.000 )  Time stamp start 1503445050655954635 end 1503445050655954260  Run 333904, LB 178, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:37:30 2017 UTC-Tue Aug 22 23:37:30 2017 UTC (0.001 )  Time stamp start 1503445050656954760 end 1503445050655954635  Run 333904, LB 178, lumi 8.80
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:37:46 2017 UTC-Tue Aug 22 23:37:46 2017 UTC (0.001 )  Time stamp start 1503445066033613340 end 1503445066032613340  Run 333904, LB 178, lumi 8.80
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:37:54 2017 UTC-Tue Aug 22 23:37:54 2017 UTC (0.001 )  Time stamp start 1503445074569861905 end 1503445074568861905  Run 333904, LB 179, lumi 8.78
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:38:06 2017 UTC-Tue Aug 22 23:38:06 2017 UTC (0.001 )  Time stamp start 1503445086564157785 end 1503445086563157785  Run 333904, LB 179, lumi 8.78
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:38:18 2017 UTC-Tue Aug 22 23:38:18 2017 UTC (0.001 )  Time stamp start 1503445098673650810 end 1503445098672650060  Run 333904, LB 179, lumi 8.79
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:39:14 2017 UTC-Tue Aug 22 23:39:14 2017 UTC (0.001 )  Time stamp start 1503445154722991990 end 1503445154721991990  Run 333904, LB 180, lumi 8.77
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:39:25 2017 UTC-Tue Aug 22 23:39:25 2017 UTC (0.001 )  Time stamp start 1503445165937435665 end 1503445165936435665  Run 333904, LB 180, lumi 8.77
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:41:19 2017 UTC-Tue Aug 22 23:41:19 2017 UTC (0.001 )  Time stamp start 1503445279878292935 end 1503445279877292935  Run 333904, LB 182, lumi 8.74
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:41:40 2017 UTC-Tue Aug 22 23:41:40 2017 UTC (0.001 )  Time stamp start 1503445300652916870 end 1503445300651916870  Run 333904, LB 182, lumi 8.74
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:41:48 2017 UTC-Tue Aug 22 23:41:48 2017 UTC (0.001 )  Time stamp start 1503445308684053605 end 1503445308683053605  Run 333904, LB 183, lumi 8.70
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:42:12 2017 UTC-Tue Aug 22 23:42:12 2017 UTC (0.001 )  Time stamp start 1503445332400545480 end 1503445332399544855  Run 333904, LB 183, lumi 8.71
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:42:37 2017 UTC-Tue Aug 22 23:42:37 2017 UTC (0.001 )  Time stamp start 1503445357760504500 end 1503445357759504105  Run 333904, LB 183, lumi 8.70
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:43:02 2017 UTC-Tue Aug 22 23:43:02 2017 UTC (0.000 )  Time stamp start 1503445382521303025 end 1503445382521302650  Run 333904, LB 185, lumi 0.00
