Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349842 to 349842
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349842 to run 349842  lasting from Wed May  9 00:48:51 2018 UTC to Wed May  9 06:01:57 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 01:32:29 2018 UTC-Wed May  9 01:32:29 2018 UTC (0.001 )  Time stamp start 1525829549170954960 end 1525829549169954960  Run 349842, LB 53, lumi 15.10
Event Veto ['MiniNoiseBurst'], Wed May  9 01:32:52 2018 UTC-Wed May  9 01:32:52 2018 UTC (0.001 )  Time stamp start 1525829572979235720 end 1525829572978235720  Run 349842, LB 53, lumi 15.10
Event Veto ['MiniNoiseBurst'], Wed May  9 01:33:31 2018 UTC-Wed May  9 01:33:31 2018 UTC (0.001 )  Time stamp start 1525829611269522885 end 1525829611268522885  Run 349842, LB 54, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  9 01:33:39 2018 UTC-Wed May  9 01:33:39 2018 UTC (0.001 )  Time stamp start 1525829619625681715 end 1525829619624681715  Run 349842, LB 54, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  9 01:35:02 2018 UTC-Wed May  9 01:35:02 2018 UTC (0.001 )  Time stamp start 1525829702836224355 end 1525829702835224355  Run 349842, LB 55, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed May  9 01:35:11 2018 UTC-Wed May  9 01:35:11 2018 UTC (0.001 )  Time stamp start 1525829711089109635 end 1525829711088109635  Run 349842, LB 56, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed May  9 01:35:49 2018 UTC-Wed May  9 01:35:49 2018 UTC (0.001 )  Time stamp start 1525829749223907540 end 1525829749222907540  Run 349842, LB 56, lumi 15.01
Event Veto ['MiniNoiseBurst'], Wed May  9 01:35:59 2018 UTC-Wed May  9 01:35:59 2018 UTC (0.001 )  Time stamp start 1525829759490198600 end 1525829759489198600  Run 349842, LB 56, lumi 15.01
Event Veto ['NoiseBurst'], Wed May  9 01:36:17 2018 UTC-Wed May  9 01:36:17 2018 UTC (0.001 )  Time stamp start 1525829777665420575 end 1525829777664270170  Run 349842, LB 57, lumi 17.24
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.002 )  Time stamp start 1525829823773828445 end 1525829823772228530  Run 349842, LB 57, lumi 23.98
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.002 )  Time stamp start 1525829823776675225 end 1525829823774270820  Run 349842, LB 57, lumi 36.03
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.002 )  Time stamp start 1525829823782881820 end 1525829823781188935  Run 349842, LB 57, lumi 25.37
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.001 )  Time stamp start 1525829823785083050 end 1525829823784082000  Run 349842, LB 57, lumi 15.00
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.002 )  Time stamp start 1525829823787533235 end 1525829823785419410  Run 349842, LB 57, lumi 31.68
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.010 )  Time stamp start 1525829823824974015 end 1525829823815004500  Run 349842, LB 57, lumi 149.40
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.003 )  Time stamp start 1525829823830894050 end 1525829823828319160  Run 349842, LB 57, lumi 38.59
Event Veto ['NoiseBurst'], Wed May  9 01:37:03 2018 UTC-Wed May  9 01:37:03 2018 UTC (0.005 )  Time stamp start 1525829823836630150 end 1525829823832038640  Run 349842, LB 57, lumi 68.81
Event Veto ['NoiseBurst'], Wed May  9 01:37:05 2018 UTC-Wed May  9 01:37:05 2018 UTC (0.001 )  Time stamp start 1525829825306852990 end 1525829825305418075  Run 349842, LB 57, lumi 21.50
