Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338183 to 338183
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338183 to run 338183  lasting from Fri Oct 13 17:08:29 2017 UTC to Sat Oct 14 09:33:18 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:58:09 2017 UTC-Fri Oct 13 19:58:09 2017 UTC (0.001 )  Time stamp start 1507924689264143360 end 1507924689263143360  Run 338183, LB 184, lumi 14.76
Event Veto ['NoiseBurst'], Fri Oct 13 19:58:38 2017 UTC-Fri Oct 13 19:58:38 2017 UTC (0.001 )  Time stamp start 1507924718360611770 end 1507924718359611520  Run 338183, LB 185, lumi 14.73
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:58:44 2017 UTC-Fri Oct 13 19:58:44 2017 UTC (0.001 )  Time stamp start 1507924724070923725 end 1507924724069923725  Run 338183, LB 185, lumi 14.72
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct 13 19:58:56 2017 UTC-Fri Oct 13 19:58:56 2017 UTC (0.001 )  Time stamp start 1507924736378380105 end 1507924736377380105  Run 338183, LB 185, lumi 14.72
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:59:04 2017 UTC-Fri Oct 13 19:59:04 2017 UTC (0.001 )  Time stamp start 1507924744507066095 end 1507924744506066095  Run 338183, LB 185, lumi 14.72
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:59:46 2017 UTC-Fri Oct 13 19:59:46 2017 UTC (0.001 )  Time stamp start 1507924786242982355 end 1507924786241982355  Run 338183, LB 186, lumi 14.67
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:59:48 2017 UTC-Fri Oct 13 19:59:48 2017 UTC (0.001 )  Time stamp start 1507924788455327450 end 1507924788454327450  Run 338183, LB 186, lumi 14.67
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:00:23 2017 UTC-Fri Oct 13 20:00:23 2017 UTC (0.001 )  Time stamp start 1507924823251036500 end 1507924823250036500  Run 338183, LB 187, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:00:24 2017 UTC-Fri Oct 13 20:00:24 2017 UTC (0.001 )  Time stamp start 1507924824099880470 end 1507924824098880470  Run 338183, LB 187, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:00:25 2017 UTC-Fri Oct 13 20:00:25 2017 UTC (0.001 )  Time stamp start 1507924825922506320 end 1507924825921506320  Run 338183, LB 187, lumi 14.95
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:01:33 2017 UTC-Fri Oct 13 20:01:33 2017 UTC (0.001 )  Time stamp start 1507924893271097375 end 1507924893270097375  Run 338183, LB 188, lumi 15.04
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:01:51 2017 UTC-Fri Oct 13 20:01:51 2017 UTC (0.001 )  Time stamp start 1507924911541816130 end 1507924911540816130  Run 338183, LB 188, lumi 15.04
Event Veto ['NoiseBurst'], Fri Oct 13 20:02:09 2017 UTC-Fri Oct 13 20:02:09 2017 UTC (0.001 )  Time stamp start 1507924929437368310 end 1507924929436247975  Run 338183, LB 188, lumi 16.85
Event Veto ['DataCorruption'], Fri Oct 13 20:03:28 2017 UTC-Fri Oct 13 20:03:29 2017 UTC (0.500 )  Time stamp start 1507925009194648750 end 1507925008694323490  Run 338183, LB 192, lumi 7461.00
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:03:49 2017 UTC-Fri Oct 13 20:03:49 2017 UTC (0.001 )  Time stamp start 1507925029296625200 end 1507925029295625200  Run 338183, LB 192, lumi 14.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:03:59 2017 UTC-Fri Oct 13 20:03:59 2017 UTC (0.001 )  Time stamp start 1507925039955072805 end 1507925039954072805  Run 338183, LB 193, lumi 14.91
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:04:55 2017 UTC-Fri Oct 13 20:04:55 2017 UTC (0.001 )  Time stamp start 1507925095160179805 end 1507925095159179805  Run 338183, LB 194, lumi 14.82
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:05 2017 UTC-Fri Oct 13 20:05:05 2017 UTC (0.001 )  Time stamp start 1507925105831692365 end 1507925105830692365  Run 338183, LB 194, lumi 14.82
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:12 2017 UTC-Fri Oct 13 20:05:12 2017 UTC (0.001 )  Time stamp start 1507925112688174830 end 1507925112687174830  Run 338183, LB 195, lumi 14.74
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:14 2017 UTC-Fri Oct 13 20:05:14 2017 UTC (0.001 )  Time stamp start 1507925114944383075 end 1507925114943383075  Run 338183, LB 195, lumi 14.74
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:23 2017 UTC-Fri Oct 13 20:05:23 2017 UTC (0.001 )  Time stamp start 1507925123803075180 end 1507925123802075180  Run 338183, LB 195, lumi 14.74
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:35 2017 UTC-Fri Oct 13 20:05:35 2017 UTC (0.001 )  Time stamp start 1507925135162627565 end 1507925135161627565  Run 338183, LB 195, lumi 14.74
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:38 2017 UTC-Fri Oct 13 20:05:38 2017 UTC (0.001 )  Time stamp start 1507925138193342000 end 1507925138192340875  Run 338183, LB 195, lumi 14.75
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:05:47 2017 UTC-Fri Oct 13 20:05:47 2017 UTC (0.001 )  Time stamp start 1507925147334547535 end 1507925147333547535  Run 338183, LB 195, lumi 14.74
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:06:19 2017 UTC-Fri Oct 13 20:06:19 2017 UTC (0.001 )  Time stamp start 1507925179919018745 end 1507925179918018745  Run 338183, LB 197, lumi 14.93
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:06:22 2017 UTC-Fri Oct 13 20:06:22 2017 UTC (0.001 )  Time stamp start 1507925182980180590 end 1507925182979180590  Run 338183, LB 197, lumi 14.93
Event Veto ['NoiseBurst'], Fri Oct 13 20:06:30 2017 UTC-Fri Oct 13 20:06:30 2017 UTC (0.001 )  Time stamp start 1507925190923838530 end 1507925190922838385  Run 338183, LB 197, lumi 14.93
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:06:45 2017 UTC-Fri Oct 13 20:06:45 2017 UTC (0.001 )  Time stamp start 1507925205867657145 end 1507925205866657145  Run 338183, LB 197, lumi 14.93
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:06:59 2017 UTC-Fri Oct 13 20:06:59 2017 UTC (0.001 )  Time stamp start 1507925219574120925 end 1507925219573120925  Run 338183, LB 197, lumi 14.93
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:07:14 2017 UTC-Fri Oct 13 20:07:14 2017 UTC (0.001 )  Time stamp start 1507925234252498795 end 1507925234251498795  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:07:24 2017 UTC-Fri Oct 13 20:07:24 2017 UTC (0.001 )  Time stamp start 1507925244512660140 end 1507925244511660140  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:07:25 2017 UTC-Fri Oct 13 20:07:25 2017 UTC (0.001 )  Time stamp start 1507925245938843190 end 1507925245937843190  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:07:35 2017 UTC-Fri Oct 13 20:07:35 2017 UTC (0.001 )  Time stamp start 1507925255307330080 end 1507925255306330080  Run 338183, LB 198, lumi 15.10
Event Veto ['NoiseBurst'], Fri Oct 13 20:07:36 2017 UTC-Fri Oct 13 20:07:36 2017 UTC (0.001 )  Time stamp start 1507925256402495755 end 1507925256401495630  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:07:48 2017 UTC-Fri Oct 13 20:07:48 2017 UTC (0.001 )  Time stamp start 1507925268411168500 end 1507925268410168500  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:08:00 2017 UTC-Fri Oct 13 20:08:00 2017 UTC (0.001 )  Time stamp start 1507925280068817075 end 1507925280067817075  Run 338183, LB 198, lumi 15.10
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:09:16 2017 UTC-Fri Oct 13 20:09:16 2017 UTC (0.001 )  Time stamp start 1507925356928162825 end 1507925356927162825  Run 338183, LB 200, lumi 14.94
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:09:17 2017 UTC-Fri Oct 13 20:09:17 2017 UTC (0.001 )  Time stamp start 1507925357025401495 end 1507925357024401495  Run 338183, LB 200, lumi 14.94
Event Veto ['MiniNoiseBurst'], Fri Oct 13 20:09:29 2017 UTC-Fri Oct 13 20:09:29 2017 UTC (0.001 )  Time stamp start 1507925369683044275 end 1507925369682044275  Run 338183, LB 200, lumi 14.94
