Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302053 to 302053
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302053 to run 302053  lasting from Tue Jun 14 14:57:24 2016 UTC to Wed Jun 15 11:15:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:12 2016 UTC-Tue Jun 14 16:49:12 2016 UTC (0.001 )  Time stamp start 1465922952470031970 end 1465922952469031970  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:38 2016 UTC-Tue Jun 14 16:49:38 2016 UTC (0.001 )  Time stamp start 1465922978501149610 end 1465922978500149610  Run 302053, LB 120, lumi 9.40
Event Veto ['NoiseBurst'], Tue Jun 14 16:49:43 2016 UTC-Tue Jun 14 16:49:43 2016 UTC (0.010 )  Time stamp start 1465922983165384060 end 1465922983155383185  Run 302053, LB 120, lumi 93.99
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:43 2016 UTC-Tue Jun 14 16:49:43 2016 UTC (0.001 )  Time stamp start 1465922983825964215 end 1465922983824964015  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:49 2016 UTC-Tue Jun 14 16:49:49 2016 UTC (0.001 )  Time stamp start 1465922989086396210 end 1465922989085396210  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:54 2016 UTC-Tue Jun 14 16:49:54 2016 UTC (0.001 )  Time stamp start 1465922994444400760 end 1465922994443400760  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:49:59 2016 UTC-Tue Jun 14 16:49:59 2016 UTC (0.001 )  Time stamp start 1465922999684003200 end 1465922999683003200  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:50:04 2016 UTC-Tue Jun 14 16:50:04 2016 UTC (0.001 )  Time stamp start 1465923004895825120 end 1465923004894825120  Run 302053, LB 120, lumi 9.40
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:50:10 2016 UTC-Tue Jun 14 16:50:10 2016 UTC (0.001 )  Time stamp start 1465923010056086330 end 1465923010055086330  Run 302053, LB 121, lumi 9.39
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:50:15 2016 UTC-Tue Jun 14 16:50:15 2016 UTC (0.001 )  Time stamp start 1465923015416815205 end 1465923015415814955  Run 302053, LB 121, lumi 9.39
