Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307306 to 307306
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307306 to run 307306  lasting from Sat Aug 27 08:42:12 2016 UTC to Sat Aug 27 15:42:35 2016 UTC
Event Veto ['NoiseBurst'], Sat Aug 27 09:27:36 2016 UTC-Sat Aug 27 09:27:36 2016 UTC (0.010 )  Time stamp start 1472290056949770905 end 1472290056939738345  Run 307306, LB 54, lumi 105.28
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:28:08 2016 UTC-Sat Aug 27 09:28:08 2016 UTC (0.010 )  Time stamp start 1472290088754465200 end 1472290088744465200  Run 307306, LB 55, lumi 104.76
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:28:31 2016 UTC-Sat Aug 27 09:28:31 2016 UTC (0.010 )  Time stamp start 1472290111963664920 end 1472290111953664920  Run 307306, LB 55, lumi 104.76
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:28:48 2016 UTC-Sat Aug 27 09:28:48 2016 UTC (0.010 )  Time stamp start 1472290128729241430 end 1472290128719241055  Run 307306, LB 55, lumi 104.76
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:29:01 2016 UTC-Sat Aug 27 09:29:01 2016 UTC (0.010 )  Time stamp start 1472290141986189950 end 1472290141976189950  Run 307306, LB 56, lumi 104.61
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:29:14 2016 UTC-Sat Aug 27 09:29:14 2016 UTC (0.010 )  Time stamp start 1472290154388307320 end 1472290154378307320  Run 307306, LB 56, lumi 104.61
Event Veto ['NoiseBurst'], Sat Aug 27 09:29:29 2016 UTC-Sat Aug 27 09:29:29 2016 UTC (0.010 )  Time stamp start 1472290169706721125 end 1472290169696720525  Run 307306, LB 56, lumi 104.61
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:29:34 2016 UTC-Sat Aug 27 09:29:34 2016 UTC (0.010 )  Time stamp start 1472290174192772110 end 1472290174182772110  Run 307306, LB 56, lumi 104.61
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:29:47 2016 UTC-Sat Aug 27 09:29:47 2016 UTC (0.010 )  Time stamp start 1472290187711484565 end 1472290187701484315  Run 307306, LB 56, lumi 104.61
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:30:09 2016 UTC-Sat Aug 27 09:30:09 2016 UTC (0.010 )  Time stamp start 1472290209205073715 end 1472290209195073465  Run 307306, LB 57, lumi 104.44
