Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303338 to 303338
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303338 to run 303338  lasting from Tue Jul  5 23:33:17 2016 UTC to Thu Jul  7 04:20:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:29 2016 UTC-Wed Jul  6 03:01:29 2016 UTC (0.001 )  Time stamp start 1467774089377162915 end 1467774089376161970  Run 303338, LB 219, lumi 10.02
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:32 2016 UTC-Wed Jul  6 03:01:32 2016 UTC (0.010 )  Time stamp start 1467774092988039455 end 1467774092978038830  Run 303338, LB 219, lumi 100.07
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:33 2016 UTC-Wed Jul  6 03:01:33 2016 UTC (0.001 )  Time stamp start 1467774093303154005 end 1467774093302154005  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 03:01:36 2016 UTC-Wed Jul  6 03:01:36 2016 UTC (0.001 )  Time stamp start 1467774096971250885 end 1467774096970250760  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:37 2016 UTC-Wed Jul  6 03:01:37 2016 UTC (0.010 )  Time stamp start 1467774097933342575 end 1467774097923342450  Run 303338, LB 219, lumi 100.07
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:42 2016 UTC-Wed Jul  6 03:01:42 2016 UTC (0.001 )  Time stamp start 1467774102952485700 end 1467774102951485450  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:44 2016 UTC-Wed Jul  6 03:01:44 2016 UTC (0.010 )  Time stamp start 1467774104972487020 end 1467774104962486395  Run 303338, LB 219, lumi 100.07
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:54 2016 UTC-Wed Jul  6 03:01:54 2016 UTC (0.001 )  Time stamp start 1467774114677787005 end 1467774114676786185  Run 303338, LB 219, lumi 10.01
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:01:54 2016 UTC-Wed Jul  6 03:01:54 2016 UTC (0.001 )  Time stamp start 1467774114864810135 end 1467774114863809635  Run 303338, LB 219, lumi 10.01
Event Veto ['NoiseBurst'], Wed Jul  6 03:01:55 2016 UTC-Wed Jul  6 03:01:55 2016 UTC (0.010 )  Time stamp start 1467774115441434915 end 1467774115431370545  Run 303338, LB 219, lumi 100.71
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:02:01 2016 UTC-Wed Jul  6 03:02:01 2016 UTC (0.001 )  Time stamp start 1467774121711456485 end 1467774121710455610  Run 303338, LB 220, lumi 9.98
Event Veto ['NoiseBurst'], Wed Jul  6 03:02:05 2016 UTC-Wed Jul  6 03:02:05 2016 UTC (0.010 )  Time stamp start 1467774125194126070 end 1467774125184123380  Run 303338, LB 220, lumi 99.79
Event Veto ['NoiseBurst'], Wed Jul  6 03:02:09 2016 UTC-Wed Jul  6 03:02:09 2016 UTC (0.010 )  Time stamp start 1467774129710878720 end 1467774129700878095  Run 303338, LB 220, lumi 99.77
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:02:10 2016 UTC-Wed Jul  6 03:02:10 2016 UTC (0.001 )  Time stamp start 1467774130104357750 end 1467774130103357625  Run 303338, LB 220, lumi 9.98
Event Veto ['NoiseBurst'], Wed Jul  6 03:02:14 2016 UTC-Wed Jul  6 03:02:14 2016 UTC (0.010 )  Time stamp start 1467774134367855445 end 1467774134357805120  Run 303338, LB 220, lumi 100.26
