Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:20 2016 UTC-Thu Aug 25 20:56:20 2016 UTC (0.010 )  Time stamp start 1472158580307327070 end 1472158580297327070  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:24 2016 UTC-Thu Aug 25 20:56:24 2016 UTC (0.010 )  Time stamp start 1472158584089002390 end 1472158584079002390  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:27 2016 UTC-Thu Aug 25 20:56:27 2016 UTC (0.010 )  Time stamp start 1472158587939324630 end 1472158587929324630  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:31 2016 UTC-Thu Aug 25 20:56:31 2016 UTC (0.010 )  Time stamp start 1472158591761510765 end 1472158591751510640  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:31 2016 UTC-Thu Aug 25 20:56:31 2016 UTC (0.000 )  Time stamp start 1472158591761511815 end 1472158591761510765  Run 307195, LB 261, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:35 2016 UTC-Thu Aug 25 20:56:35 2016 UTC (0.010 )  Time stamp start 1472158595607733575 end 1472158595597733050  Run 307195, LB 261, lumi 105.80
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:43 2016 UTC-Thu Aug 25 20:56:43 2016 UTC (0.010 )  Time stamp start 1472158603345850445 end 1472158603335850445  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:47 2016 UTC-Thu Aug 25 20:56:47 2016 UTC (0.010 )  Time stamp start 1472158607274886705 end 1472158607264886705  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:51 2016 UTC-Thu Aug 25 20:56:51 2016 UTC (0.010 )  Time stamp start 1472158611120339530 end 1472158611110338535  Run 307195, LB 261, lumi 105.80
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:54 2016 UTC-Thu Aug 25 20:56:54 2016 UTC (0.010 )  Time stamp start 1472158614977675425 end 1472158614967675425  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:56:58 2016 UTC-Thu Aug 25 20:56:58 2016 UTC (0.010 )  Time stamp start 1472158618914022200 end 1472158618904022200  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:02 2016 UTC-Thu Aug 25 20:57:02 2016 UTC (0.010 )  Time stamp start 1472158622795096700 end 1472158622785096550  Run 307195, LB 261, lumi 105.79
Event Veto ['NoiseBurst'], Thu Aug 25 20:57:04 2016 UTC-Thu Aug 25 20:57:04 2016 UTC (0.010 )  Time stamp start 1472158624706434710 end 1472158624696434585  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:06 2016 UTC-Thu Aug 25 20:57:06 2016 UTC (0.010 )  Time stamp start 1472158626555159735 end 1472158626545159735  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:10 2016 UTC-Thu Aug 25 20:57:10 2016 UTC (0.010 )  Time stamp start 1472158630368797455 end 1472158630358797455  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:14 2016 UTC-Thu Aug 25 20:57:14 2016 UTC (0.000 )  Time stamp start 1472158634194855975 end 1472158634194855850  Run 307195, LB 261, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:14 2016 UTC-Thu Aug 25 20:57:14 2016 UTC (0.010 )  Time stamp start 1472158634204856125 end 1472158634194855975  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:14 2016 UTC-Thu Aug 25 20:57:14 2016 UTC (0.000 )  Time stamp start 1472158634204856250 end 1472158634204856125  Run 307195, LB 261, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:18 2016 UTC-Thu Aug 25 20:57:18 2016 UTC (0.010 )  Time stamp start 1472158638057784595 end 1472158638047784595  Run 307195, LB 261, lumi 105.79
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:21 2016 UTC-Thu Aug 25 20:57:21 2016 UTC (0.010 )  Time stamp start 1472158641856107195 end 1472158641846107195  Run 307195, LB 262, lumi 105.70
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:25 2016 UTC-Thu Aug 25 20:57:25 2016 UTC (0.010 )  Time stamp start 1472158645704178705 end 1472158645694178505  Run 307195, LB 262, lumi 105.71
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:29 2016 UTC-Thu Aug 25 20:57:29 2016 UTC (0.010 )  Time stamp start 1472158649518603215 end 1472158649508603215  Run 307195, LB 262, lumi 105.70
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:57:37 2016 UTC-Thu Aug 25 20:57:37 2016 UTC (0.010 )  Time stamp start 1472158657194158525 end 1472158657184158525  Run 307195, LB 262, lumi 105.70
