Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339500 to 339500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339500 to run 339500  lasting from Mon Oct 30 10:56:22 2017 UTC to Mon Oct 30 15:38:55 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:15:03 2017 UTC-Mon Oct 30 12:15:03 2017 UTC (0.001 )  Time stamp start 1509365703709049500 end 1509365703708049500  Run 339500, LB 113, lumi 15.10
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:15:35 2017 UTC-Mon Oct 30 12:15:35 2017 UTC (0.001 )  Time stamp start 1509365735460003080 end 1509365735459003080  Run 339500, LB 114, lumi 15.09
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:16:15 2017 UTC-Mon Oct 30 12:16:15 2017 UTC (0.001 )  Time stamp start 1509365775087466895 end 1509365775086466895  Run 339500, LB 115, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:16:39 2017 UTC-Mon Oct 30 12:16:39 2017 UTC (0.001 )  Time stamp start 1509365799115180115 end 1509365799114180115  Run 339500, LB 115, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:16:50 2017 UTC-Mon Oct 30 12:16:50 2017 UTC (0.001 )  Time stamp start 1509365810122234835 end 1509365810121234835  Run 339500, LB 115, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:16:58 2017 UTC-Mon Oct 30 12:16:58 2017 UTC (0.001 )  Time stamp start 1509365818699295790 end 1509365818698295790  Run 339500, LB 115, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:17:04 2017 UTC-Mon Oct 30 12:17:04 2017 UTC (0.001 )  Time stamp start 1509365824443161725 end 1509365824442161725  Run 339500, LB 115, lumi 15.04
Event Veto ['NoiseBurst'], Mon Oct 30 12:17:16 2017 UTC-Mon Oct 30 12:17:16 2017 UTC (0.001 )  Time stamp start 1509365836211723415 end 1509365836210722420  Run 339500, LB 116, lumi 15.05
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:17:24 2017 UTC-Mon Oct 30 12:17:24 2017 UTC (0.001 )  Time stamp start 1509365844934981530 end 1509365844933981530  Run 339500, LB 116, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:18:03 2017 UTC-Mon Oct 30 12:18:03 2017 UTC (0.001 )  Time stamp start 1509365883741663015 end 1509365883740663015  Run 339500, LB 116, lumi 15.04
Event Veto ['NoiseBurst'], Mon Oct 30 12:18:20 2017 UTC-Mon Oct 30 12:18:20 2017 UTC (0.001 )  Time stamp start 1509365900661517040 end 1509365900660315660  Run 339500, LB 117, lumi 18.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:18:40 2017 UTC-Mon Oct 30 12:18:40 2017 UTC (0.001 )  Time stamp start 1509365920872439850 end 1509365920871439850  Run 339500, LB 117, lumi 15.02
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:18:56 2017 UTC-Mon Oct 30 12:18:56 2017 UTC (0.001 )  Time stamp start 1509365936002584665 end 1509365936001584665  Run 339500, LB 117, lumi 15.02
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:17 2017 UTC-Mon Oct 30 12:19:17 2017 UTC (0.001 )  Time stamp start 1509365957936368540 end 1509365957935368540  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:21 2017 UTC-Mon Oct 30 12:19:21 2017 UTC (0.001 )  Time stamp start 1509365961620211670 end 1509365961619211670  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:32 2017 UTC-Mon Oct 30 12:19:32 2017 UTC (0.001 )  Time stamp start 1509365972145696560 end 1509365972144696560  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:35 2017 UTC-Mon Oct 30 12:19:35 2017 UTC (0.001 )  Time stamp start 1509365975400010460 end 1509365975399010460  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:49 2017 UTC-Mon Oct 30 12:19:49 2017 UTC (0.001 )  Time stamp start 1509365989197434080 end 1509365989196434080  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:55 2017 UTC-Mon Oct 30 12:19:55 2017 UTC (0.001 )  Time stamp start 1509365995220134035 end 1509365995219134035  Run 339500, LB 118, lumi 15.04
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:19:58 2017 UTC-Mon Oct 30 12:19:58 2017 UTC (0.001 )  Time stamp start 1509365998461726375 end 1509365998460726375  Run 339500, LB 118, lumi 15.04
