Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306714 to 306714
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306714 to run 306714  lasting from Sat Aug 20 17:54:07 2016 UTC to Sun Aug 21 04:37:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:56:59 2016 UTC-Sat Aug 20 21:56:59 2016 UTC (0.026 )  Time stamp start 1471730219643516645 end 1471730219617978645  Run 306714, LB 248, lumi 282.49
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:02 2016 UTC-Sat Aug 20 21:57:02 2016 UTC (0.010 )  Time stamp start 1471730222183977855 end 1471730222173977855  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:06 2016 UTC-Sat Aug 20 21:57:06 2016 UTC (0.010 )  Time stamp start 1471730226629868375 end 1471730226619868375  Run 306714, LB 248, lumi 110.62
Event Veto ['NoiseBurst'], Sat Aug 20 21:57:09 2016 UTC-Sat Aug 20 21:57:09 2016 UTC (0.013 )  Time stamp start 1471730229427491825 end 1471730229414030085  Run 306714, LB 248, lumi 148.91
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:10 2016 UTC-Sat Aug 20 21:57:11 2016 UTC (0.031 )  Time stamp start 1471730231021366475 end 1471730230990537545  Run 306714, LB 248, lumi 341.02
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:15 2016 UTC-Sat Aug 20 21:57:15 2016 UTC (0.010 )  Time stamp start 1471730235432651460 end 1471730235422651460  Run 306714, LB 248, lumi 110.62
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:24 2016 UTC-Sat Aug 20 21:57:24 2016 UTC (0.010 )  Time stamp start 1471730244237258675 end 1471730244227258675  Run 306714, LB 249, lumi 110.40
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:28 2016 UTC-Sat Aug 20 21:57:28 2016 UTC (0.013 )  Time stamp start 1471730248611298670 end 1471730248598235940  Run 306714, LB 249, lumi 144.22
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:32 2016 UTC-Sat Aug 20 21:57:32 2016 UTC (0.010 )  Time stamp start 1471730252994855350 end 1471730252984855350  Run 306714, LB 249, lumi 110.40
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:57:34 2016 UTC-Sat Aug 20 21:57:34 2016 UTC (0.012 )  Time stamp start 1471730254698127920 end 1471730254685636540  Run 306714, LB 249, lumi 137.91
