Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351455 to 351455
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351455 to run 351455  lasting from Wed May 30 08:07:58 2018 UTC to Wed May 30 18:18:40 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May 30 09:24:40 2018 UTC-Wed May 30 09:24:40 2018 UTC (0.001 )  Time stamp start 1527672280949245620 end 1527672280948245470  Run 351455, LB 84, lumi 18.45
Event Veto ['NoiseBurst'], Wed May 30 09:25:57 2018 UTC-Wed May 30 09:25:57 2018 UTC (0.001 )  Time stamp start 1527672357370691560 end 1527672357369370020  Run 351455, LB 86, lumi 23.64
Event Veto ['MiniNoiseBurst'], Wed May 30 09:26:08 2018 UTC-Wed May 30 09:26:08 2018 UTC (0.001 )  Time stamp start 1527672368809304460 end 1527672368808304460  Run 351455, LB 86, lumi 17.89
Event Veto ['MiniNoiseBurst'], Wed May 30 09:26:20 2018 UTC-Wed May 30 09:26:20 2018 UTC (0.002 )  Time stamp start 1527672380934082090 end 1527672380932555235  Run 351455, LB 86, lumi 27.31
Event Veto ['MiniNoiseBurst'], Wed May 30 09:26:25 2018 UTC-Wed May 30 09:26:25 2018 UTC (0.001 )  Time stamp start 1527672385415945485 end 1527672385414945485  Run 351455, LB 86, lumi 17.89
Event Veto ['MiniNoiseBurst'], Wed May 30 09:26:42 2018 UTC-Wed May 30 09:26:42 2018 UTC (0.001 )  Time stamp start 1527672402559979790 end 1527672402558979790  Run 351455, LB 86, lumi 17.89
Event Veto ['MiniNoiseBurst'], Wed May 30 09:26:46 2018 UTC-Wed May 30 09:26:46 2018 UTC (0.001 )  Time stamp start 1527672406741383855 end 1527672406740383855  Run 351455, LB 86, lumi 17.89
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:01 2018 UTC-Wed May 30 09:27:01 2018 UTC (0.001 )  Time stamp start 1527672421084963860 end 1527672421083963860  Run 351455, LB 87, lumi 16.92
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:04 2018 UTC-Wed May 30 09:27:04 2018 UTC (0.001 )  Time stamp start 1527672424289979010 end 1527672424288979010  Run 351455, LB 87, lumi 16.92
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:17 2018 UTC-Wed May 30 09:27:17 2018 UTC (0.001 )  Time stamp start 1527672437119401915 end 1527672437118401915  Run 351455, LB 87, lumi 16.92
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:33 2018 UTC-Wed May 30 09:27:33 2018 UTC (0.001 )  Time stamp start 1527672453634085570 end 1527672453633085570  Run 351455, LB 87, lumi 16.92
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:40 2018 UTC-Wed May 30 09:27:40 2018 UTC (0.001 )  Time stamp start 1527672460699282500 end 1527672460698282200  Run 351455, LB 87, lumi 16.93
Event Veto ['MiniNoiseBurst'], Wed May 30 09:27:56 2018 UTC-Wed May 30 09:27:56 2018 UTC (0.001 )  Time stamp start 1527672476097151705 end 1527672476096151705  Run 351455, LB 88, lumi 18.55
Event Veto ['MiniNoiseBurst'], Wed May 30 09:28:03 2018 UTC-Wed May 30 09:28:03 2018 UTC (0.001 )  Time stamp start 1527672483496358425 end 1527672483495358425  Run 351455, LB 88, lumi 18.55
Event Veto ['MiniNoiseBurst'], Wed May 30 09:28:19 2018 UTC-Wed May 30 09:28:19 2018 UTC (0.001 )  Time stamp start 1527672499463871560 end 1527672499462871560  Run 351455, LB 88, lumi 18.55
Event Veto ['MiniNoiseBurst'], Wed May 30 09:28:30 2018 UTC-Wed May 30 09:28:30 2018 UTC (0.001 )  Time stamp start 1527672510269949125 end 1527672510268949125  Run 351455, LB 88, lumi 18.55
Event Veto ['MiniNoiseBurst'], Wed May 30 09:28:53 2018 UTC-Wed May 30 09:28:53 2018 UTC (0.001 )  Time stamp start 1527672533816954390 end 1527672533815954390  Run 351455, LB 89, lumi 18.52
Event Veto ['MiniNoiseBurst'], Wed May 30 09:29:00 2018 UTC-Wed May 30 09:29:00 2018 UTC (0.001 )  Time stamp start 1527672540051097865 end 1527672540049934090  Run 351455, LB 89, lumi 21.55
