Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349114 to 349114
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349114 to run 349114  lasting from Sun Apr 29 02:02:34 2018 UTC to Sun Apr 29 13:41:54 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:02:00 2018 UTC-Sun Apr 29 04:02:00 2018 UTC (0.001 )  Time stamp start 1524974520528780080 end 1524974520527780080  Run 349114, LB 168, lumi 10.11
Event Veto ['NoiseBurst'], Sun Apr 29 04:04:19 2018 UTC-Sun Apr 29 04:04:19 2018 UTC (0.003 )  Time stamp start 1524974659542121420 end 1524974659539595730  Run 349114, LB 170, lumi 25.47
Event Veto ['NoiseBurst'], Sun Apr 29 04:04:19 2018 UTC-Sun Apr 29 04:04:19 2018 UTC (0.002 )  Time stamp start 1524974659545884090 end 1524974659543426765  Run 349114, LB 170, lumi 24.78
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:31 2018 UTC-Sun Apr 29 04:04:31 2018 UTC (0.001 )  Time stamp start 1524974671003149135 end 1524974671002149135  Run 349114, LB 170, lumi 10.09
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:34 2018 UTC-Sun Apr 29 04:04:34 2018 UTC (0.001 )  Time stamp start 1524974674286560685 end 1524974674285560685  Run 349114, LB 170, lumi 10.09
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:35 2018 UTC-Sun Apr 29 04:04:35 2018 UTC (0.001 )  Time stamp start 1524974675565569710 end 1524974675564569710  Run 349114, LB 170, lumi 10.09
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:38 2018 UTC-Sun Apr 29 04:04:38 2018 UTC (0.001 )  Time stamp start 1524974678020277575 end 1524974678019277575  Run 349114, LB 171, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:39 2018 UTC-Sun Apr 29 04:04:39 2018 UTC (0.002 )  Time stamp start 1524974679675664410 end 1524974679673742930  Run 349114, LB 171, lumi 19.30
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:42 2018 UTC-Sun Apr 29 04:04:42 2018 UTC (0.001 )  Time stamp start 1524974682609154660 end 1524974682608154360  Run 349114, LB 171, lumi 10.05
Event Veto ['MiniNoiseBurst'], Sun Apr 29 04:04:43 2018 UTC-Sun Apr 29 04:04:43 2018 UTC (0.001 )  Time stamp start 1524974683245162000 end 1524974683244162000  Run 349114, LB 171, lumi 10.04
