Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334907 to 334907
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334907 to run 334907  lasting from Wed Sep  6 00:43:31 2017 UTC to Wed Sep  6 10:11:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:45:29 2017 UTC-Wed Sep  6 02:45:29 2017 UTC (0.001 )  Time stamp start 1504665929250983570 end 1504665929249983570  Run 334907, LB 135, lumi 9.96
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:47:33 2017 UTC-Wed Sep  6 02:47:33 2017 UTC (0.001 )  Time stamp start 1504666053772609690 end 1504666053771609690  Run 334907, LB 137, lumi 9.93
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:47:34 2017 UTC-Wed Sep  6 02:47:34 2017 UTC (0.001 )  Time stamp start 1504666054721270165 end 1504666054720270165  Run 334907, LB 137, lumi 9.93
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:48:28 2017 UTC-Wed Sep  6 02:48:28 2017 UTC (0.001 )  Time stamp start 1504666108634313685 end 1504666108633313685  Run 334907, LB 138, lumi 9.92
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:49:36 2017 UTC-Wed Sep  6 02:49:36 2017 UTC (0.001 )  Time stamp start 1504666176027010605 end 1504666176026010605  Run 334907, LB 140, lumi 9.90
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:49:48 2017 UTC-Wed Sep  6 02:49:48 2017 UTC (0.001 )  Time stamp start 1504666188560976985 end 1504666188559976985  Run 334907, LB 140, lumi 9.90
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:50:07 2017 UTC-Wed Sep  6 02:50:07 2017 UTC (0.001 )  Time stamp start 1504666207659246135 end 1504666207658246135  Run 334907, LB 140, lumi 9.90
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:59:16 2017 UTC-Wed Sep  6 02:59:16 2017 UTC (0.001 )  Time stamp start 1504666756534078365 end 1504666756533078365  Run 334907, LB 150, lumi 9.75
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:02:29 2017 UTC-Wed Sep  6 03:02:29 2017 UTC (0.001 )  Time stamp start 1504666949555582965 end 1504666949554582965  Run 334907, LB 153, lumi 9.71
Event Veto ['NoiseBurst'], Wed Sep  6 03:05:49 2017 UTC-Wed Sep  6 03:05:49 2017 UTC (0.001 )  Time stamp start 1504667149077766910 end 1504667149076603130  Run 334907, LB 156, lumi 11.24
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:06:48 2017 UTC-Wed Sep  6 03:06:48 2017 UTC (0.001 )  Time stamp start 1504667208226265805 end 1504667208225265805  Run 334907, LB 157, lumi 9.64
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:08:34 2017 UTC-Wed Sep  6 03:08:34 2017 UTC (0.001 )  Time stamp start 1504667314497601930 end 1504667314496601930  Run 334907, LB 159, lumi 9.61
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:09:05 2017 UTC-Wed Sep  6 03:09:05 2017 UTC (0.001 )  Time stamp start 1504667345360811540 end 1504667345359811540  Run 334907, LB 160, lumi 9.60
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:09:19 2017 UTC-Wed Sep  6 03:09:19 2017 UTC (0.001 )  Time stamp start 1504667359401288705 end 1504667359400288705  Run 334907, LB 160, lumi 9.60
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:12:02 2017 UTC-Wed Sep  6 03:12:02 2017 UTC (0.001 )  Time stamp start 1504667522017284510 end 1504667522016284510  Run 334907, LB 163, lumi 9.52
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:13:35 2017 UTC-Wed Sep  6 03:13:35 2017 UTC (0.001 )  Time stamp start 1504667615297348385 end 1504667615296348385  Run 334907, LB 164, lumi 9.53
Event Veto ['NoiseBurst'], Wed Sep  6 03:14:24 2017 UTC-Wed Sep  6 03:14:24 2017 UTC (0.001 )  Time stamp start 1504667664891188815 end 1504667664890106080  Run 334907, LB 165, lumi 10.31
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:14:41 2017 UTC-Wed Sep  6 03:14:41 2017 UTC (0.001 )  Time stamp start 1504667681109763050 end 1504667681108763050  Run 334907, LB 165, lumi 9.52
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:14:46 2017 UTC-Wed Sep  6 03:14:46 2017 UTC (0.001 )  Time stamp start 1504667686955783955 end 1504667686954783955  Run 334907, LB 165, lumi 9.52
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:17:33 2017 UTC-Wed Sep  6 03:17:33 2017 UTC (0.001 )  Time stamp start 1504667853043326030 end 1504667853042326030  Run 334907, LB 168, lumi 9.47
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:18:06 2017 UTC-Wed Sep  6 03:18:06 2017 UTC (0.001 )  Time stamp start 1504667886131134285 end 1504667886130134285  Run 334907, LB 169, lumi 9.46
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:19:32 2017 UTC-Wed Sep  6 03:19:32 2017 UTC (0.001 )  Time stamp start 1504667972933057670 end 1504667972932057670  Run 334907, LB 170, lumi 9.45
Event Veto ['NoiseBurst'], Wed Sep  6 03:20:40 2017 UTC-Wed Sep  6 03:20:40 2017 UTC (0.001 )  Time stamp start 1504668040491590375 end 1504668040490589750  Run 334907, LB 171, lumi 9.44
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:24:19 2017 UTC-Wed Sep  6 03:24:19 2017 UTC (0.001 )  Time stamp start 1504668259683706120 end 1504668259682706120  Run 334907, LB 175, lumi 9.37
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:24:39 2017 UTC-Wed Sep  6 03:24:39 2017 UTC (0.001 )  Time stamp start 1504668279768591860 end 1504668279767591860  Run 334907, LB 176, lumi 9.36
Event Veto ['MiniNoiseBurst'], Wed Sep  6 03:26:28 2017 UTC-Wed Sep  6 03:26:28 2017 UTC (0.001 )  Time stamp start 1504668388701208635 end 1504668388700208635  Run 334907, LB 178, lumi 9.35
