Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337371 to 337371
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337371 to run 337371  lasting from Fri Oct  6 20:23:03 2017 UTC to Sat Oct  7 04:30:44 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:02 2017 UTC-Fri Oct  6 22:26:02 2017 UTC (0.001 )  Time stamp start 1507328762711262670 end 1507328762710262545  Run 337371, LB 133, lumi 15.19
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:26:03 2017 UTC-Fri Oct  6 22:26:03 2017 UTC (0.001 )  Time stamp start 1507328763863294290 end 1507328763862294290  Run 337371, LB 133, lumi 15.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:04 2017 UTC-Fri Oct  6 22:26:04 2017 UTC (0.001 )  Time stamp start 1507328764762758355 end 1507328764761758355  Run 337371, LB 133, lumi 15.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:07 2017 UTC-Fri Oct  6 22:26:07 2017 UTC (0.001 )  Time stamp start 1507328767343255680 end 1507328767342255555  Run 337371, LB 133, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:10 2017 UTC-Fri Oct  6 22:26:10 2017 UTC (0.001 )  Time stamp start 1507328770295791790 end 1507328770294791790  Run 337371, LB 133, lumi 15.18
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:26:11 2017 UTC-Fri Oct  6 22:26:11 2017 UTC (0.001 )  Time stamp start 1507328771881149070 end 1507328771880149070  Run 337371, LB 133, lumi 15.18
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:26:12 2017 UTC-Fri Oct  6 22:26:12 2017 UTC (0.001 )  Time stamp start 1507328772765464495 end 1507328772764463945  Run 337371, LB 133, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:14 2017 UTC-Fri Oct  6 22:26:14 2017 UTC (0.001 )  Time stamp start 1507328774937445180 end 1507328774936445055  Run 337371, LB 133, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:18 2017 UTC-Fri Oct  6 22:26:18 2017 UTC (0.001 )  Time stamp start 1507328778041853200 end 1507328778040853075  Run 337371, LB 133, lumi 15.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:26:21 2017 UTC-Fri Oct  6 22:26:21 2017 UTC (0.001 )  Time stamp start 1507328781697305715 end 1507328781696305715  Run 337371, LB 133, lumi 15.18
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:26:35 2017 UTC-Fri Oct  6 22:26:35 2017 UTC (0.001 )  Time stamp start 1507328795804873335 end 1507328795803873335  Run 337371, LB 133, lumi 15.18
