Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304243 to 304243
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304243 to run 304243  lasting from Fri Jul 22 16:46:25 2016 UTC to Sat Jul 23 11:02:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:16:15 2016 UTC-Fri Jul 22 18:16:15 2016 UTC (0.001 )  Time stamp start 1469211375439853695 end 1469211375438853695  Run 304243, LB 98, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:16:20 2016 UTC-Fri Jul 22 18:16:20 2016 UTC (0.001 )  Time stamp start 1469211380793181195 end 1469211380792181195  Run 304243, LB 98, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:16:31 2016 UTC-Fri Jul 22 18:16:31 2016 UTC (0.001 )  Time stamp start 1469211391312221830 end 1469211391311221830  Run 304243, LB 99, lumi 10.14
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:16:37 2016 UTC-Fri Jul 22 18:16:37 2016 UTC (0.001 )  Time stamp start 1469211397161399610 end 1469211397160399610  Run 304243, LB 99, lumi 10.14
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:16:48 2016 UTC-Fri Jul 22 18:16:48 2016 UTC (0.001 )  Time stamp start 1469211408052842330 end 1469211408051842330  Run 304243, LB 99, lumi 10.14
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:17:04 2016 UTC-Fri Jul 22 18:17:04 2016 UTC (0.001 )  Time stamp start 1469211424576309580 end 1469211424575309580  Run 304243, LB 99, lumi 10.14
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:17:26 2016 UTC-Fri Jul 22 18:17:26 2016 UTC (0.001 )  Time stamp start 1469211446105263910 end 1469211446104263910  Run 304243, LB 100, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:17:46 2016 UTC-Fri Jul 22 18:17:46 2016 UTC (0.001 )  Time stamp start 1469211466134422770 end 1469211466133422770  Run 304243, LB 100, lumi 10.12
Event Veto ['NoiseBurst'], Fri Jul 22 18:17:49 2016 UTC-Fri Jul 22 18:17:49 2016 UTC (0.010 )  Time stamp start 1469211469938286170 end 1469211469928148520  Run 304243, LB 100, lumi 102.58
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:18:07 2016 UTC-Fri Jul 22 18:18:07 2016 UTC (0.001 )  Time stamp start 1469211487409310430 end 1469211487408310430  Run 304243, LB 100, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:18:12 2016 UTC-Fri Jul 22 18:18:12 2016 UTC (0.001 )  Time stamp start 1469211492758975060 end 1469211492757974935  Run 304243, LB 100, lumi 10.12
Event Veto ['NoiseBurst'], Fri Jul 22 18:18:25 2016 UTC-Fri Jul 22 18:18:25 2016 UTC (0.010 )  Time stamp start 1469211505869714955 end 1469211505859548155  Run 304243, LB 101, lumi 102.72
