Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306384 to 306384
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306384 to run 306384  lasting from Mon Aug 15 18:22:31 2016 UTC to Tue Aug 16 08:30:40 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:25:58 2016 UTC-Mon Aug 15 23:25:58 2016 UTC (0.010 )  Time stamp start 1471303558938362660 end 1471303558928362285  Run 306384, LB 310, lumi 83.23
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:26:03 2016 UTC-Mon Aug 15 23:26:03 2016 UTC (0.010 )  Time stamp start 1471303563275380175 end 1471303563265379680  Run 306384, LB 310, lumi 83.23
Event Veto ['NoiseBurst'], Mon Aug 15 23:26:11 2016 UTC-Mon Aug 15 23:26:11 2016 UTC (0.010 )  Time stamp start 1471303571096498340 end 1471303571086482270  Run 306384, LB 310, lumi 83.36
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:26:17 2016 UTC-Mon Aug 15 23:26:17 2016 UTC (0.010 )  Time stamp start 1471303577768180125 end 1471303577758180125  Run 306384, LB 310, lumi 83.22
Event Veto ['NoiseBurst'], Mon Aug 15 23:26:26 2016 UTC-Mon Aug 15 23:26:26 2016 UTC (0.014 )  Time stamp start 1471303586286302275 end 1471303586271873070  Run 306384, LB 311, lumi 119.79
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:26:52 2016 UTC-Mon Aug 15 23:26:52 2016 UTC (0.023 )  Time stamp start 1471303612687320370 end 1471303612664199770  Run 306384, LB 311, lumi 191.94
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:26:57 2016 UTC-Mon Aug 15 23:26:57 2016 UTC (0.014 )  Time stamp start 1471303617120850190 end 1471303617106409360  Run 306384, LB 311, lumi 119.89
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:27:06 2016 UTC-Mon Aug 15 23:27:06 2016 UTC (0.016 )  Time stamp start 1471303626300360320 end 1471303626284159185  Run 306384, LB 311, lumi 134.50
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:27:07 2016 UTC-Mon Aug 15 23:27:07 2016 UTC (0.010 )  Time stamp start 1471303627349842410 end 1471303627339842410  Run 306384, LB 311, lumi 83.02
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:27:10 2016 UTC-Mon Aug 15 23:27:10 2016 UTC (0.010 )  Time stamp start 1471303630729316720 end 1471303630719315550  Run 306384, LB 311, lumi 83.03
