Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340072 to 340072
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340072 to run 340072  lasting from Sun Nov  5 20:44:26 2017 UTC to Tue Nov  7 06:10:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:59:34 2017 UTC-Mon Nov  6 02:59:34 2017 UTC (0.001 )  Time stamp start 1509937174431702300 end 1509937174430702300  Run 340072, LB 389, lumi 14.94
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:01:35 2017 UTC-Mon Nov  6 03:01:35 2017 UTC (0.001 )  Time stamp start 1509937295866643785 end 1509937295865643785  Run 340072, LB 391, lumi 14.96
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:02:03 2017 UTC-Mon Nov  6 03:02:03 2017 UTC (0.001 )  Time stamp start 1509937323318429975 end 1509937323317429975  Run 340072, LB 391, lumi 14.96
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:02:14 2017 UTC-Mon Nov  6 03:02:14 2017 UTC (0.001 )  Time stamp start 1509937334659814870 end 1509937334658814870  Run 340072, LB 392, lumi 15.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:02:48 2017 UTC-Mon Nov  6 03:02:48 2017 UTC (0.001 )  Time stamp start 1509937368079632480 end 1509937368078632480  Run 340072, LB 392, lumi 15.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:03:04 2017 UTC-Mon Nov  6 03:03:04 2017 UTC (0.001 )  Time stamp start 1509937384194766835 end 1509937384193766835  Run 340072, LB 392, lumi 15.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:03:14 2017 UTC-Mon Nov  6 03:03:14 2017 UTC (0.001 )  Time stamp start 1509937394718350185 end 1509937394717350185  Run 340072, LB 393, lumi 14.98
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:03:14 2017 UTC-Mon Nov  6 03:03:14 2017 UTC (0.001 )  Time stamp start 1509937394989585485 end 1509937394988585485  Run 340072, LB 393, lumi 14.98
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:03:39 2017 UTC-Mon Nov  6 03:03:39 2017 UTC (0.001 )  Time stamp start 1509937419432498100 end 1509937419431498100  Run 340072, LB 393, lumi 14.98
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:03:52 2017 UTC-Mon Nov  6 03:03:52 2017 UTC (0.001 )  Time stamp start 1509937432616301940 end 1509937432615301940  Run 340072, LB 393, lumi 14.98
Event Veto ['NoiseBurst'], Mon Nov  6 03:04:14 2017 UTC-Mon Nov  6 03:04:14 2017 UTC (0.002 )  Time stamp start 1509937454614801195 end 1509937454612359065  Run 340072, LB 394, lumi 36.48
Event Veto ['NoiseBurst'], Mon Nov  6 03:04:45 2017 UTC-Mon Nov  6 03:04:45 2017 UTC (0.001 )  Time stamp start 1509937485508586630 end 1509937485507585755  Run 340072, LB 394, lumi 14.95
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:04:51 2017 UTC-Mon Nov  6 03:04:51 2017 UTC (0.001 )  Time stamp start 1509937491032605785 end 1509937491031605785  Run 340072, LB 394, lumi 14.94
Event Veto ['NoiseBurst'], Mon Nov  6 03:04:51 2017 UTC-Mon Nov  6 03:04:51 2017 UTC (0.001 )  Time stamp start 1509937491802997955 end 1509937491801759925  Run 340072, LB 394, lumi 18.49
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:04:54 2017 UTC-Mon Nov  6 03:04:54 2017 UTC (0.001 )  Time stamp start 1509937494646336765 end 1509937494645336765  Run 340072, LB 394, lumi 14.94
Event Veto ['NoiseBurst'], Mon Nov  6 03:05:05 2017 UTC-Mon Nov  6 03:05:05 2017 UTC (0.001 )  Time stamp start 1509937505418467330 end 1509937505417437140  Run 340072, LB 394, lumi 15.39
Event Veto ['NoiseBurst'], Mon Nov  6 03:05:31 2017 UTC-Mon Nov  6 03:05:31 2017 UTC (0.001 )  Time stamp start 1509937531110600660 end 1509937531109600010  Run 340072, LB 395, lumi 14.92
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:06:06 2017 UTC-Mon Nov  6 03:06:06 2017 UTC (0.001 )  Time stamp start 1509937566394927115 end 1509937566393927115  Run 340072, LB 396, lumi 14.99
Event Veto ['NoiseBurst'], Mon Nov  6 03:06:27 2017 UTC-Mon Nov  6 03:06:27 2017 UTC (0.001 )  Time stamp start 1509937587801312795 end 1509937587800311895  Run 340072, LB 396, lumi 15.00
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:06:38 2017 UTC-Mon Nov  6 03:06:38 2017 UTC (0.001 )  Time stamp start 1509937598998665390 end 1509937598997665390  Run 340072, LB 396, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:06:40 2017 UTC-Mon Nov  6 03:06:40 2017 UTC (0.001 )  Time stamp start 1509937600247452290 end 1509937600246452290  Run 340072, LB 396, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:08:14 2017 UTC-Mon Nov  6 03:08:14 2017 UTC (0.001 )  Time stamp start 1509937694095475320 end 1509937694094475320  Run 340072, LB 398, lumi 15.07
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:08:23 2017 UTC-Mon Nov  6 03:08:23 2017 UTC (0.001 )  Time stamp start 1509937703700282515 end 1509937703699282515  Run 340072, LB 398, lumi 15.07
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:09:20 2017 UTC-Mon Nov  6 03:09:20 2017 UTC (0.001 )  Time stamp start 1509937760262275110 end 1509937760261275110  Run 340072, LB 399, lumi 15.06
Event Veto ['MiniNoiseBurst'], Mon Nov  6 03:09:26 2017 UTC-Mon Nov  6 03:09:26 2017 UTC (0.001 )  Time stamp start 1509937766349808300 end 1509937766348808300  Run 340072, LB 399, lumi 15.06
